task,model,fraction,seed,rmse_target,mae_target,r2_target,rmse_raw,mae_raw,medape_percent,p95ape_percent,param_count,train_time_s,wall_time_s,n_train,n_test
I_dark,dkan,0.01,42,0.18849177705494488,0.14283785107786076,-0.035862117513353775,1.434496858793706e-07,9.87486903337764e-08,24.354399233739557,122.29526892726184,952,1.8135364999761805,2.0983005000744015,16,720
I_dark,bkan,0.01,42,0.1674176272185082,0.13623739703411653,0.18281667148701175,1.1427732025754081e-07,8.911919693817195e-08,25.97752656409869,86.29224905301182,1664,1.4515427000587806,1.5903946999460459,16,720
I_dark,mlp_n,0.01,42,0.05061159586486249,0.03662764265472162,0.9253177839897081,3.0216831257468913e-08,2.2420575080759946e-08,5.746999972426648,24.252187221394877,769,0.2533753999741748,0.25700599991250783,16,720
I_dark,mlp_l,0.01,42,0.05416659140016148,0.03897200293453264,0.9144578528062525,3.118391639151364e-08,2.3718395707004985e-08,6.5632080443820895,24.26637484884862,2561,0.24939799995627254,0.2523269000230357,16,720
I_dark,dkan,0.01,43,6.9631729285146315,2.6007457743901647,-1412.616139106457,1800861211922087.8,180907227254246.66,35.44661699011484,5.51897257835635e+16,952,1.3220862000016496,1.3326685000211,16,720
I_dark,bkan,0.01,43,0.1897950950120284,0.1578841553262511,-0.05023648627102384,1.3218966346686864e-07,1.0209725833400911e-07,29.99881065522645,70.53774430458846,1664,1.424819500069134,1.5460519000189379,16,720
I_dark,mlp_n,0.01,43,0.05670789326745854,0.043621329894028844,0.9062429013226507,3.434340605008608e-08,2.6985951502521584e-08,8.032708398314917,25.773809825259036,769,0.2295406999764964,0.2318314000731334,16,720
I_dark,mlp_l,0.01,43,0.05881438796434502,0.04660737162414349,0.8991480506441266,5.106620290294429e-08,3.381151726244214e-08,8.786163739710215,28.464867320998927,2561,0.23789880005642772,0.2406609000172466,16,720
I_dark,dkan,0.01,44,0.17641318464227299,0.11953047445751103,0.09264087104661756,1.9627052381691371e-07,8.719520764226677e-08,17.79574115508173,81.28461414531894,952,1.2627297000726685,1.2723874999210238,16,720
I_dark,bkan,0.01,44,0.1611971493653389,0.1285763182067877,0.24241416147858086,1.053595405369864e-07,8.355044719095749e-08,23.793521172006695,97.41127128381922,1664,1.3988510000053793,1.538109700079076,16,720
I_dark,mlp_n,0.01,44,0.07722569066879123,0.05211188918658184,0.8261235617949809,3.999914385430615e-08,2.9557664196665593e-08,7.497543487707026,39.77731759990243,769,0.26052839995827526,0.26401939999777824,16,720
I_dark,mlp_l,0.01,44,0.06561529877935318,0.045561205751809435,0.8744758311251142,3.542481846620703e-08,2.655357769985091e-08,7.096883022819144,32.51089896128909,2561,0.2222053000004962,0.2245252999709919,16,720
I_dark,dkan,0.05,42,0.05383767737838619,0.03796882401874217,0.9154935682259566,3.31221537183637e-08,2.400908987659571e-08,6.22843398502911,24.47562041238433,952,1.8104177999775857,1.8225091000786051,84,720
I_dark,bkan,0.05,42,0.0687019505132104,0.04482074739448428,0.862388329286131,3.946247793124078e-08,2.7042271966282268e-08,6.165345320955478,39.83591428574229,1664,3.7264774999348447,3.8590987999923527,84,720
I_dark,mlp_n,0.05,42,0.02312527277181981,0.015482690467995466,0.9844083936538035,1.1920376147116889e-08,8.801681601205714e-09,2.2377386168163778,12.791837060693707,769,0.26070009998511523,0.2635461000027135,84,720
I_dark,mlp_l,0.05,42,0.019681866621495903,0.012523382552543373,0.9887059501109564,8.821784435625543e-09,6.5211506101008854e-09,1.6473032659264328,11.500350524190393,2561,0.26324759994167835,0.2657575999619439,84,720
I_dark,dkan,0.05,43,0.05560892757108146,0.03960696932553805,0.909841604866205,3.2351069745379393e-08,2.3985985875293684e-08,6.3303098011336925,28.576508994396452,952,1.893244400038384,1.9045318000717089,84,720
I_dark,bkan,0.05,43,0.10707805989926097,0.07941759390408,0.6657140523179153,6.58281641096982e-08,5.0430997797816137e-08,13.465720606627348,64.48769590203375,1664,3.9626753999618813,4.100155199994333,84,720
I_dark,mlp_n,0.05,43,0.022794105941898082,0.01636570886083159,0.9848517571848836,1.2211997786971124e-08,9.33045675902421e-09,2.5319352594569065,11.634245689511664,769,0.2734865000238642,0.27588990004733205,84,720
I_dark,mlp_l,0.05,43,0.0173753291976543,0.012002037612987583,0.9911979624647066,8.908531731019076e-09,6.7786370496015065e-09,1.7147510591676065,9.468370979303758,2561,0.3207623999333009,0.3237409999128431,84,720
I_dark,dkan,0.05,44,0.06133314156659209,0.042547901589802664,0.8903250225334552,3.390677321830076e-08,2.6040634070918876e-08,7.230561312476571,29.736100484165508,952,1.737140699988231,1.7501872000284493,84,720
I_dark,bkan,0.05,44,0.08989729672775815,0.05303820104674556,0.7643809515066297,3.907216880173987e-08,2.7899553930898018e-08,5.801135332259141,64.49621172757602,1664,3.7903054000344127,3.935016099945642,84,720
I_dark,mlp_n,0.05,44,0.01948934995862701,0.013030570782243655,0.9889258132974871,8.956145425542768e-09,6.8089136220298344e-09,1.7864058702366274,11.061980536361137,769,0.24989199999254197,0.25399300002027303,84,720
I_dark,mlp_l,0.05,44,0.018693885659428977,0.01288281124185363,0.9898113581307885,9.048638494358604e-09,6.934018020784092e-09,1.9708870434067127,10.25866309876963,2561,0.24938900000415742,0.2516115999314934,84,720
I_dark,dkan,0.1,42,0.04713535199945829,0.03173304384036547,0.935224519628186,3.10482903643617e-08,2.0520646944235393e-08,5.263087378037021,20.809065492479476,952,2.1419840999878943,2.150901799905114,168,720
I_dark,bkan,0.1,42,0.03750712284046969,0.02330838149076048,0.9589848187856308,1.9981034562630858e-08,1.3558103833133578e-08,3.3191068780461777,18.309927481880294,1664,7.0474468000466,7.173301699920557,168,720
I_dark,mlp_n,0.1,42,0.021400889331931256,0.014727506837114095,0.986646940769332,1.1330139576182444e-08,8.497357928108828e-09,2.1555312958424193,11.580192321320272,769,0.2438315999461338,0.24612460006028414,168,720
