task,draw_index,draw_seed,active_terms,formula_to_sampled_teacher_rmse,formula_to_sampled_teacher_r2,sampled_teacher_to_tcad_rmse,sampled_teacher_to_tcad_r2,formula_to_tcad_rmse,formula_to_tcad_r2
I_dark,0,26000,36,0.01482605764228239,0.9924227663158827,0.014569005211442282,0.9935700052232135,0.017138881454388355,0.9911015211490197
I_dark,1,26001,36,0.013640267916861189,0.9936851108284951,0.015923093421137888,0.9923192132217442,0.01689106164972597,0.99135699594214
I_dark,2,26002,36,0.013223023771986092,0.9948199497785102,0.01621100466846243,0.9920389438958834,0.019492452579443875,0.9884897754685982
I_dark,3,26003,36,0.017034843844184955,0.9908358107429649,0.01850741816835697,0.9896237005056311,0.019573277037952492,0.9883941244572275
I_dark,4,26004,36,0.016303746285939016,0.9912130186228717,0.014211105542166737,0.9938820411361056,0.016339084596931907,0.9919126494990487
I_dark,5,26005,36,0.017621813199710852,0.9882383489546323,0.022334591143539792,0.9848885257227417,0.019434543430390368,0.9885580641766859
I_dark,6,26006,36,0.0164605546734483,0.9909495728209652,0.014228271679771297,0.9938672519765596,0.017335298065604545,0.9908963940795606
I_dark,7,26007,36,0.019221105435582527,0.9880807628860268,0.017462900580227304,0.9907618802866437,0.017513516534172706,0.9907082495739074
I_dark,8,26008,36,0.018725156619088742,0.9895643929453484,0.009692933878220136,0.9971538268120007,0.01813758841166316,0.9900342518500463
I_dark,9,26009,36,0.013587262283443759,0.9939388017497346,0.013578853308239705,0.9944143075941995,0.01392400718884269,0.9941267390032976
I_dark,10,26010,36,0.014467777721578775,0.9927634869368908,0.022434875998762607,0.9847525165810201,0.022350579638944264,0.9848668825043676
I_dark,11,26011,36,0.01430379880415745,0.9937740941282672,0.017623059089654336,0.9905916510306944,0.015408247812397241,0.9928078732573397
I_dark,12,26012,36,0.02018584235952402,0.9870876282964144,0.015224961215985678,0.9929779613941316,0.01609689846715089,0.9921506222082733
I_dark,13,26013,36,0.01678296446005985,0.9919709875606019,0.012390528347375546,0.995349169904947,0.015871853536529503,0.9923685666210297
I_dark,14,26014,36,0.01703261679966055,0.9909917758026711,0.01199622611481333,0.9956404655987364,0.014433669434053603,0.9936889106005466
I_dark,15,26015,36,0.015734658750507335,0.9919225383192032,0.01283364183924554,0.9950105732336191,0.016616173024164307,0.9916360229101756
I_dark,16,26016,36,0.0161509812854199,0.9920182609234443,0.012011280855674414,0.995629516681553,0.01657204790772419,0.9916803858849047
I_dark,17,26017,36,0.015223926432705894,0.9921955819232512,0.012196488642251133,0.9954936963332783,0.015728023927791056,0.9925062509525724
I_dark,18,26018,36,0.016557957650529666,0.9905162714909522,0.022413999038295777,0.9847808807226714,0.016615979641791515,0.9916362175923471
I_dark,19,26019,36,0.014347158827131556,0.9937644964967592,0.01287691233282192,0.9949768713550393,0.01659683675075415,0.9916554779370205
I_photo,0,26000,72,0.004625074957242328,0.9558354850174592,0.003905931844235804,0.970733703526617,0.005439091967901462,0.9432492963819441
I_photo,1,26001,72,0.0037587039593233737,0.9693042285512677,0.004443601811221915,0.962121853777689,0.004832062515151053,0.955209745025265
I_photo,2,26002,72,0.005474793276007014,0.9454551168674982,0.004284206169747059,0.9647905557137401,0.007396049285300809,0.8950655624488782
I_photo,3,26003,72,0.004351419332056533,0.9668235632885391,0.004677154906589489,0.9580355095772449,0.005756069602570137,0.9364419565444064
I_photo,4,26004,72,0.007151515899572753,0.8868707540126273,0.005710171575701886,0.9374515197971621,0.009187786166133322,0.838065194495502
I_photo,5,26005,72,0.006794988796132921,0.8967768422082154,0.004531250312960562,0.9606128502875276,0.007991932057307907,0.8774757614355108
I_photo,6,26006,72,0.003833037589728984,0.9685243829253872,0.005010720006872916,0.9518364248188059,0.006316698533708466,0.9234581866061464
I_photo,7,26007,72,0.004102116838852347,0.965852956464728,0.005103448711369678,0.9500372936299829,0.006762616459177948,0.9122700341402353
I_photo,8,26008,72,0.004091436485490649,0.9705260449271921,0.004482218271087359,0.9614606443576813,0.004934319040049172,0.9532939759306034
I_photo,9,26009,72,0.005384969921157199,0.9433049304278541,0.005048902438544762,0.9510996009085244,0.007806281558686997,0.8831020570616909
I_photo,10,26010,72,0.004165782580581713,0.96160554187143,0.0055906557858359535,0.9400424396121949,0.006478256424143662,0.9194928014087651
I_photo,11,26011,72,0.004007744455751002,0.9735071103862145,0.00557694484911858,0.9403361676791002,0.006941202296752263,0.9075753425523494
I_photo,12,26012,72,0.004440298795741746,0.9647790819253581,0.004841493258214804,0.9550347400083854,0.00651624781600686,0.9185457722174358
I_photo,13,26013,72,0.0034555445872177476,0.9797294470754672,0.005047122779516114,0.9511340680823902,0.005639320604442919,0.9389940748905663
I_photo,14,26014,72,0.004586094738507512,0.9591351383589016,0.0041462014657948545,0.9670223846825191,0.006376840968599214,0.9219937108328145
I_photo,15,26015,72,0.015266709745211863,0.4857572849473675,0.005069492160689546,0.9506999502397717,0.01717440789017169,0.43417518218765305
I_photo,16,26016,72,0.004286767234050555,0.9687946705515391,0.004620016705132175,0.9590545604362383,0.006144014092213327,0.9275859475410604
I_photo,17,26017,72,0.0037112755624818,0.9697426918063039,0.004489674372473305,0.961332318457618,0.005649075078460278,0.9387828454123497
I_photo,18,26018,72,0.003651454717795782,0.9737751068111662,0.00463969507415818,0.9587050138898927,0.0059219065340547095,0.9327268841359366
I_photo,19,26019,72,0.004224411646950539,0.9678169171293506,0.004032687923912899,0.9688033704782414,0.006073618947650148,0.9292358118511477
AC_Response,0,26000,10,0.09562172470545459,0.9983623339018695,0.1326262891512226,0.9970320831480328,0.1555271871022431,0.9959186378957904
AC_Response,1,26001,10,0.09281143867973989,0.9985169499777975,0.09500624755815423,0.9984770108006813,0.13461775421730607,0.9969422837925743
AC_Response,2,26002,10,0.08642467881215724,0.9986820946907744,0.11359325850646064,0.9978228035946313,0.14859423366512636,0.9962743984452384
AC_Response,3,26003,10,0.09909689844592962,0.9983028611901702,0.07983328499925156,0.9989246236199831,0.12318324179108205,0.9974396711414678
AC_Response,4,26004,10,0.08179546137062013,0.9988669737880169,0.08939189692999915,0.9986516929679119,0.13162073587097947,0.9970769171685987
AC_Response,5,26005,10,0.08943065196195721,0.9986623665019514,0.08802195035320391,0.9986927023889796,0.12959974744962618,0.9971659937511972
AC_Response,6,26006,10,0.09246892637784106,0.9985328561273477,0.09165097304025857,0.9985826841192703,0.12933696140460654,0.9971774749811545
AC_Response,7,26007,10,0.11497101650167178,0.9977262903110999,0.10127633818297685,0.9982693530805687,0.13577590668727438,0.996889444774718
AC_Response,8,26008,10,0.08495536689796308,0.998759930000481,0.0896893460598492,0.9986427051286696,0.13094642069338702,0.9971067913372935
AC_Response,9,26009,10,0.11756387040486188,0.997746526871009,0.11554127845626064,0.997747489467405,0.14273041696263167,0.996562635700486
AC_Response,10,26010,10,0.10254962007062353,0.9982603525684294,0.11006191919288885,0.9979560669976087,0.14372521771385616,0.9965145533193137
AC_Response,11,26011,10,0.10393643833984902,0.9981428484857289,0.09440805293861776,0.9984961290341127,0.13894651465227376,0.9967424746221716
AC_Response,12,26012,10,0.10394710226140082,0.9981868978001771,0.08881769247638598,0.9986689589036134,0.1253722752947002,0.9973478657241569
AC_Response,13,26013,10,0.09434906858657086,0.9984685561066328,0.10095088658038823,0.9982804580797127,0.13665754939819905,0.9968489176722732
AC_Response,14,26014,10,0.08663132555346235,0.9986963750953451,0.08859230544673843,0.9986757057295209,0.1346486204638955,0.9969408814360554
AC_Response,15,26015,10,0.09053764204622074,0.9985822014040149,0.0911999429352087,0.99859659950227,0.13514668368754365,0.9969182083125032
AC_Response,16,26016,10,0.08725683961730872,0.9986854393514141,0.09859621410335055,0.998359738952516,0.14043557250901445,0.9966722801968326
AC_Response,17,26017,10,0.09638603788272676,0.9984450622657797,0.08653047847919038,0.9987366295824829,0.1273521654830268,0.9972634388246183
AC_Response,18,26018,10,0.08453142645016933,0.9987682772877505,0.09094845067389992,0.9986043288432107,0.13355407253803228,0.9969904139544666
AC_Response,19,26019,10,0.09436388196729066,0.9984811296564128,0.08609632012103499,0.9987492754572249,0.1272027159344922,0.9972698578416809
