stage,step,temperature,train_total,train_value,train_bayesian_distillation,train_derivative,train_curve_shape,train_kan_residual,train_complexity,train_binary,validation_total,validation_value,validation_bayesian_distillation,validation_derivative,validation_curve_shape,validation_kan_residual,validation_complexity,validation_binary,active_terms
numerical_stability,1,2.0,0.8622903823852539,0.8614556789398193,0.0,0.01669403165578842,0.0,0.002262523863464594,0.5064409375190735,0.24961163103580475,0.8689513206481934,0.8681617379188538,0.0,0.015792110934853554,0.0,0.001821152400225401,0.5064409375190735,0.24961163103580475,19
numerical_stability,25,2.0,0.725627064704895,0.7249718308448792,0.0,0.013104092329740524,0.0,0.02401057444512844,0.5064409375190735,0.24961163103580475,0.7292439341545105,0.7286075353622437,0.0,0.012728066183626652,0.0,0.022647464647889137,0.5064409375190735,0.24961163103580475,19
numerical_stability,50,2.0,0.5493089556694031,0.548426628112793,0.0,0.017647143453359604,0.0,0.10907889157533646,0.5064409375190735,0.24961163103580475,0.548589289188385,0.5477009415626526,0.0,0.01776743493974209,0.0,0.10932575911283493,0.5064409375190735,0.24961163103580475,19
numerical_stability,75,2.0,0.30210059881210327,0.30047938227653503,0.0,0.0324241928756237,0.0,0.3362112045288086,0.5064409375190735,0.24961163103580475,0.2968902587890625,0.29524534940719604,0.0,0.032898131757974625,0.0,0.34175631403923035,0.5064409375190735,0.24961163103580475,19
numerical_stability,100,2.0,0.09073439985513687,0.08822997659444809,0.0,0.05008852109313011,0.0,0.7787813544273376,0.5064409375190735,0.24961163103580475,0.08090697973966599,0.0783541202545166,0.0,0.051057118922472,0.0,0.783457338809967,0.5064409375190735,0.24961163103580475,19
numerical_stability,125,2.0,0.04073140397667885,0.03920229151844978,0.0,0.030582265928387642,0.0,0.7653730511665344,0.5064409375190735,0.24961163103580475,0.032911162823438644,0.03147146478295326,0.0,0.02879399061203003,0.0,0.7781485319137573,0.5064409375190735,0.24961163103580475,19
numerical_stability,150,2.0,0.021421609446406364,0.01992492750287056,0.0,0.029933640733361244,0.0,0.787922203540802,0.5064409375190735,0.24961163103580475,0.01761740818619728,0.016189059242606163,0.0,0.028566988185048103,0.0,0.8132603168487549,0.5064409375190735,0.24961163103580475,19
numerical_stability,175,2.0,0.01593570038676262,0.014620405621826649,0.0,0.026305878534913063,0.0,0.7891561985015869,0.5064409375190735,0.24961163103580475,0.014396634884178638,0.013121980242431164,0.0,0.025493096560239792,0.0,0.8176336884498596,0.5064409375190735,0.24961163103580475,19
numerical_stability,200,2.0,0.013007216155529022,0.01183913554996252,0.0,0.023361606523394585,0.0,0.7905187010765076,0.5064409375190735,0.24961163103580475,0.012625880539417267,0.01148700900375843,0.0,0.022777430713176727,0.0,0.8206186890602112,0.5064409375190735,0.24961163103580475,19
numerical_stability,225,2.0,0.01094834879040718,0.009879989549517632,0.0,0.021367192268371582,0.0,0.7922060489654541,0.5064409375190735,0.24961163103580475,0.011386307887732983,0.010347663424909115,0.0,0.020772891119122505,0.0,0.8223800659179688,0.5064409375190735,0.24961163103580475,19
numerical_stability,250,2.0,0.009329126216471195,0.008367239497601986,0.0,0.019237738102674484,0.0,0.7935718894004822,0.5064409375190735,0.24961163103580475,0.010333438403904438,0.009406681172549725,0.0,0.01853514090180397,0.0,0.8234961628913879,0.5064409375190735,0.24961163103580475,19
numerical_stability,275,2.0,0.007969402708113194,0.00711477966979146,0.0,0.01709246262907982,0.0,0.7946788668632507,0.5064409375190735,0.24961163103580475,0.009363798424601555,0.008551839739084244,0.0,0.01623917929828167,0.0,0.8240222334861755,0.5064409375190735,0.24961163103580475,19
numerical_stability,300,2.0,0.006787306163460016,0.006039022468030453,0.0,0.014965671114623547,0.0,0.7955678701400757,0.5064409375190735,0.24961163103580475,0.008439688943326473,0.007743513211607933,0.0,0.013923515565693378,0.0,0.8240868449211121,0.5064409375190735,0.24961163103580475,19
numerical_stability,325,2.0,0.0057424092665314674,0.00509633170440793,0.0,0.01292155496776104,0.0,0.7963448762893677,0.5064409375190735,0.24961163103580475,0.007575585972517729,0.00699169747531414,0.0,0.011677769012749195,0.0,0.8239526152610779,0.5064409375190735,0.24961163103580475,19
numerical_stability,350,2.0,0.004810531158000231,0.004257442429661751,0.0,0.011061775498092175,0.0,0.7970741987228394,0.5064409375190735,0.24961163103580475,0.006782142445445061,0.006300770677626133,0.0,0.00962743442505598,0.0,0.8237243294715881,0.5064409375190735,0.24961163103580475,19
numerical_stability,375,2.0,0.003980298060923815,0.0035058811772614717,0.0,0.009488334879279137,0.0,0.797737717628479,0.5064409375190735,0.24961163103580475,0.006046443711966276,0.005652104504406452,0.0,0.007886783219873905,0.0,0.8233327865600586,0.5064409375190735,0.24961163103580475,19
numerical_stability,400,2.0,0.0032688721548765898,0.0028565104585140944,0.0,0.00824723206460476,0.0,0.7981683015823364,0.5064409375190735,0.24961163103580475,0.005318277049809694,0.004992061294615269,0.0,0.006524317432194948,0.0,0.8223852515220642,0.5064409375190735,0.24961163103580475,19
numerical_stability,425,2.0,0.002688887296244502,0.002322942251339555,0.0,0.007318900898098946,0.0,0.7984749674797058,0.5064409375190735,0.24961163103580475,0.004633001983165741,0.004357472062110901,0.0,0.005510597489774227,0.0,0.8210346698760986,0.5064409375190735,0.24961163103580475,19
numerical_stability,450,2.0,0.0022251431364566088,0.0018935299012809992,0.0,0.006632265634834766,0.0,0.7987045049667358,0.5064409375190735,0.24961163103580475,0.004023462068289518,0.0037852595560252666,0.0,0.0047640493139624596,0.0,0.8195218443870544,0.5064409375190735,0.24961163103580475,19
numerical_stability,475,2.0,0.0018575949361547828,0.0015521980822086334,0.0,0.006107936147600412,0.0,0.7988807559013367,0.5064409375190735,0.24961163103580475,0.003488190472126007,0.003278094343841076,0.0,0.004201922100037336,0.0,0.8179203867912292,0.5064409375190735,0.24961163103580475,19
numerical_stability,500,2.0,0.0015691604930907488,0.0012848339974880219,0.0,0.005686530377715826,0.0,0.7990119457244873,0.5064409375190735,0.24961163103580475,0.003023657016456127,0.002835620893165469,0.0,0.00376072246581316,0.0,0.8162940144538879,0.5064409375190735,0.24961163103580475,19
symbolic_competition,1,2.0,0.03243507444858551,0.029599051922559738,0.0,0.056545522063970566,0.0,0.7990166544914246,0.5064409375190735,0.24961163103580475,0.023674096912145615,0.02142699621617794,0.0,0.044763870537281036,0.0,0.8150650858879089,0.5063688158988953,0.249612957239151,19
symbolic_competition,25,1.9449593315124356,0.001611020416021347,0.0012897745473310351,0.0,0.0062498366460204124,0.0,0.7998653650283813,0.5057603120803833,0.24959787726402283,0.0018887375481426716,0.0017240530578419566,0.0,0.003116387641057372,0.0,0.8109851479530334,0.5057477951049805,0.24959799647331238,19
symbolic_competition,50,1.889235405642173,0.0007782483589835465,0.0006277731154114008,0.0,0.0028348250780254602,0.0,0.7978687882423401,0.5057023763656616,0.2495732307434082,0.001247035339474678,0.0011700971517711878,0.0,0.0013625086285173893,0.0,0.8057460188865662,0.505698561668396,0.24957318603992462,19
symbolic_competition,75,1.8351079943437496,0.000476013810839504,0.00032602527062408626,0.0,0.002825523028150201,0.0,0.7957059144973755,0.5058319568634033,0.24954624474048615,0.0008438541553914547,0.0007632246124558151,0.0,0.0014372689183801413,0.0,0.8010693192481995,0.5058315396308899,0.24954624474048615,19
symbolic_competition,100,1.7825313567843315,0.000352447823388502,0.0002367293054703623,0.0,0.0021405117586255074,0.0,0.7937425374984741,0.5060018301010132,0.24951858818531036,0.0006757904775440693,0.0006162213976494968,0.0,0.001016666297800839,0.0,0.798021137714386,0.5060016512870789,0.24951857328414917,19
symbolic_competition,125,1.7314610626257239,0.0002724585065152496,0.00017241622845176607,0.0,0.0018273280002176762,0.0,0.7920225858688354,0.5061821341514587,0.24948948621749878,0.0005515500088222325,0.0004990246379747987,0.0,0.000876269128639251,0.0,0.7956300377845764,0.5061821937561035,0.2494894564151764,19
symbolic_competition,150,1.6818539544781337,0.00021628376271110028,0.0001297131966566667,0.0,0.0015581764746457338,0.0,0.7905927300453186,0.5063692927360535,0.24945874512195587,0.0004623651911970228,0.00041474017780274153,0.0,0.0007786432979628444,0.0,0.7937008142471313,0.506369411945343,0.24945874512195587,19
symbolic_competition,175,1.633668111429647,0.00017584166198503226,0.00010005426884163171,0.0,0.0013427505036816,0.0,0.7893890738487244,0.5065614581108093,0.2494262456893921,0.00039767881389707327,0.0003535128489602357,0.0,0.0007097729831002653,0.0,0.7921345233917236,0.5065615773200989,0.2494262456893921,19
symbolic_competition,200,1.5868628136206036,0.00014634944091085345,7.891828863648698e-05,0.0,0.0011758259497582912,0.0,0.7883702516555786,0.5067588686943054,0.2493918538093567,0.0003484495682641864,0.0003065417695324868,0.0,0.0006648659473285079,0.0,0.7908366322517395,0.5067589282989502,0.2493918538093567,19
