task,task_key,primary_task,seed,model,rmse_target,mae_target,r2_target,rmse_raw,mae_raw,medape_percent,p95ape_percent,group_macro_rmse_target,group_macro_mae_target,param_count,train_time_s,epochs_completed,best_val_loss,checkpoint,wall_time_s,reused,train_groups,validation_groups,calibration_groups,test_groups,train_rows,test_rows
APD_I_dark,dark_current,True,42,bkan,0.0971589030258047,0.06629769896143119,0.9936606154183303,2.0749079246745334e-07,3.594411507136422e-08,9.676183285004734,50.62507712670166,0.0955106810011326,0.0662976989614312,1664,182.08278089994565,300.0,-1.4949477513631184,<REPO_ROOT>/artifacts\results\apd_second_device\predictions\seed_42\dark_current\bkan\model_checkpoint.pt,182.57104460010305,False,51,8,11,8,4029,632
APD_I_dark,dark_current,True,42,dkan,0.13032291334147186,0.10164812827251654,0.988594260359822,2.0978577892329073e-07,4.84304309358661e-08,17.944022173220944,72.27333722302767,0.12457448771590668,0.10164812827251656,952,5.789738900028169,,,,5.824392999988049,False,51,8,11,8,4029,632
APD_I_dark,dark_current,True,42,mlp_l,0.2765455933549023,0.2140582321522072,0.9486411395743746,4.3165470683882584e-07,1.077958075393384e-07,43.620176070173954,117.5406585710908,0.2743632596157592,0.2140582321522072,2561,1.301170599879697,,,,1.3046101999934763,False,51,8,11,8,4029,632
APD_I_dark,dark_current,True,42,poly3_ridge,0.6747925551060092,0.417172967641225,0.6942105775975407,8.966862595720967e-06,1.6882285419709124e-06,58.231497759583675,6460.85398690203,0.450036298917641,0.41717296764122513,84,,,,,0.005045499885454774,False,51,8,11,8,4029,632
APD_I_dark,dark_current,True,42,spline_ridge,0.13928187775193743,0.0965937303771935,0.9869721988805411,1.5371079006806616e-07,3.940524650107729e-08,15.569983525991129,64.8938476234623,0.1385514252512638,0.09659373037719352,43,,,,,0.0048958000261336565,False,51,8,11,8,4029,632
APD_I_dark,dark_current,True,43,bkan,0.10005663862877531,0.0663198229801502,0.9930040492817347,3.5906300300722596e-07,5.517321716063956e-08,9.655463530702857,48.785017202215336,0.09905314002619395,0.0663198229801502,1664,177.34633970004506,300.0,-1.5213563044865925,<REPO_ROOT>/artifacts\results\apd_second_device\predictions\seed_43\dark_current\bkan\model_checkpoint.pt,177.66262690001167,False,51,8,11,8,4029,632
APD_I_dark,dark_current,True,43,dkan,0.10633696340321264,0.0770296925178017,0.9920982473189757,3.7331162474890224e-07,6.446693383787287e-08,12.997609030924778,46.129973176043634,0.1047150911743985,0.0770296925178017,952,5.562811099924147,,,,5.594274899922311,False,51,8,11,8,4029,632
APD_I_dark,dark_current,True,43,mlp_l,0.2772248789008321,0.2021742620980449,0.9462944301893509,6.356200314251915e-07,1.4438487236057657e-07,39.14878064501967,82.7798667093858,0.2756245472136177,0.20217426209804487,2561,1.2366276001557708,,,,1.2401052999775857,False,51,8,11,8,4029,632
APD_I_dark,dark_current,True,43,poly3_ridge,0.273448574946753,0.20350982238715476,0.9477475988001296,3.528913428103682e-07,1.0728824309986219e-07,34.26786145481712,291.98048243200356,0.24785404320212034,0.20350982238715476,84,,,,,0.004322399850934744,False,51,8,11,8,4029,632
APD_I_dark,dark_current,True,43,spline_ridge,0.14802721107365668,0.11225764242006513,0.9846877843257693,3.517915573996048e-07,7.445272771203738e-08,20.221820785351277,66.0176817743512,0.1460823561924841,0.11225764242006514,43,,,,,0.004617099883034825,False,51,8,11,8,4029,632
APD_I_dark,dark_current,True,44,bkan,0.08487657057490083,0.05472689782028563,0.9951039658155657,1.8763202212661715e-07,3.6731062715632726e-08,7.744222053393556,40.05635372182209,0.0840827944140968,0.05472689782028562,1664,175.51378949987702,300.0,-1.6386645237604778,<REPO_ROOT>/artifacts\results\apd_second_device\predictions\seed_44\dark_current\bkan\model_checkpoint.pt,175.8259771000594,False,51,8,11,8,4029,632
APD_I_dark,dark_current,True,44,dkan,0.1013836273857185,0.06568210907750952,0.99301438823362,2.3113481128055146e-07,4.6701636134243764e-08,9.244792445278591,54.62044786633098,0.09756342947989927,0.06568210907750953,952,5.540253299986944,,,,5.573643499985337,False,51,8,11,8,4029,632
