task,model,rmse_target_mean,rmse_target_std,mae_target_mean,mae_target_std,r2_target_mean,r2_target_std,rmse_raw_mean,rmse_raw_std,mae_raw_mean,mae_raw_std,medape_percent_mean,medape_percent_std,p95ape_percent_mean,p95ape_percent_std,group_macro_rmse_target_mean,group_macro_rmse_target_std,group_macro_mae_target_mean,group_macro_mae_target_std,wall_time_s_mean,wall_time_s_std,param_count_mean,param_count_std
APD_I_dark,bkan,0.10713466382908185,0.019190698750198836,0.06794543321187312,0.009474682826263063,0.9919673514836491,0.0032144506787559314,3.005594759557823e-07,1.1308453146035121e-07,4.964431905420745e-08,1.533516269711464e-08,9.488292865860839,2.03944572598185,54.249120349745304,10.326899232941116,0.1044643716997558,0.017299148738372027,0.06794543321187312,0.009474682826263061,175.31692728996276,3.2220516162265125,1664.0,0.0
APD_I_dark,dkan,0.12747844589574614,0.024346243087298578,0.09360050292626543,0.02178665140135222,0.9885801979490921,0.004546090260053652,3.096788563991472e-07,7.931255639914969e-08,6.2862567158092e-08,1.2924331150871778e-08,15.707748674899747,4.655157558587117,61.899435046629435,15.057508673799248,0.12401488273155907,0.023372653861236083,0.09360050292626543,0.021786651401352223,5.508321269974113,0.155833382925006,952.0,0.0
APD_I_dark,mlp_l,0.27910774995646936,0.029258182704820373,0.21099020236833388,0.026450998910281184,0.9464438585357827,0.011036553511429664,5.652208231448335e-07,9.519912281691989e-08,1.388302178670741e-07,1.8834655751526805e-08,42.81722858462471,6.62735478551056,105.45859855522887,21.037770792915605,0.2776733069708736,0.029268036652547142,0.21099020236833388,0.02645099891028118,1.2076711500296369,0.04592996361063902,2561.0,0.0
APD_I_dark,poly3_ridge,0.3576213073829515,0.20880882443835982,0.2506904592349893,0.11770361448136736,0.8861466719271809,0.13697547462783258,1.213682669865849e-06,2.72632382418064e-06,2.6600672234799274e-07,5.007208102820922e-07,40.18772024613502,13.897806609865816,802.5363581988487,1990.2743918186482,0.29268623240437275,0.11349779065754004,0.2506904592349893,0.1177036144813674,0.004586830036714673,0.0006401610441382579,84.0,0.0
APD_I_dark,spline_ridge,0.14299279437795204,0.00594693578528165,0.10288791431966882,0.0053897082263001835,0.9860667288672303,0.0012268586902103125,2.3063982910831484e-07,6.56060451865411e-08,5.47889227811335e-08,1.0427256367361346e-08,17.017176451380813,1.4921042375184972,68.65213771295042,4.6676194732252325,0.14118165363476287,0.005183499793674715,0.10288791431966882,0.0053897082263001835,0.00515003998298198,0.001175983179457049,43.0,0.0
APD_I_photo,bkan,0.04836339897132414,0.009471757081323046,0.03153614630388309,0.004665816374486586,0.9964217647545025,0.001616425816032713,2.6476062332555926e-07,4.769054073594149e-08,4.645199722668269e-08,6.53782012028596e-09,5.004225152041725,0.7675692210519621,20.800518411238716,2.8347087969205913,0.047301355899046,0.008992937338520949,0.03153614630388309,0.004665816374486588,289.5555800099857,69.98275476774344,1872.0,0.0
APD_I_photo,dkan,0.08100873565177148,0.011925358335732132,0.054641562494955755,0.009314145757898799,0.9901233316680257,0.0030428230275831554,4.5410299399503615e-07,7.035110018551923e-08,8.321206281713577e-08,1.1748527522735213e-08,8.802360716292512,1.9836586786888146,34.86691155575826,6.6844295867633665,0.07834444804071476,0.010070713381555126,0.054641562494955755,0.009314145757898799,4.526220169966109,1.2883232957149942,1088.0,0.0
APD_I_photo,mlp_l,0.2581919672271808,0.007464989376888824,0.1916251155139058,0.005682124217442263,0.901659574334008,0.004983667362704683,8.598965142881407e-07,9.051387505587594e-08,2.2080488042707087e-07,1.8315015518903114e-08,36.92036819242736,2.3972655155144342,99.7440477050049,5.12170030979514,0.2578131639672988,0.007603288723970145,0.1916251155139058,0.005682124217442263,1.0066392299951985,0.30880102613713406,2625.0,0.0
APD_I_photo,poly3_ridge,0.20828652733761127,0.15105916575760164,0.14692904044947347,0.08803828979116002,0.9069532384995197,0.15328791098399303,7.565005465804279e-07,8.079652091102755e-07,1.8100524953621289e-07,1.6218069514076708e-07,22.725777925818967,5.091148464175238,178.03864858748082,232.65849276391486,0.17663540002891034,0.08621803989035111,0.14692904044947347,0.08803828979116003,0.012707359995692969,0.005502863957496046,120.0,0.0
APD_I_photo,spline_ridge,0.09821562458396141,0.008197298986529065,0.07158107045813915,0.005355572031250657,0.9857274544474794,0.002153140338608259,2.924300531795714e-07,6.153762411125523e-08,7.592920170073367e-08,1.0635073263408876e-08,12.263281421192065,0.8816197492177495,45.59267002849285,3.053938484706464,0.09605397427527737,0.00686479109668039,0.07158107045813915,0.0053555720312506525,0.009155070013366639,0.002125687141523373,50.0,0.0
