task,seed,model,rmse_target,mae_target,r2_target,rmse_raw,mae_raw,medape_percent,p95ape_percent,reused,reuse_source,wall_time_s,train_groups,validation_groups,calibration_groups,test_groups
I_dark,44,autopinn,0.012818904563028513,0.009511166400536609,0.9939397967602195,9.178209622744216e-09,7.003809787654771e-09,1.4761367429076282,6.316297178720562,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_44/I_dark/autopinn/test_predictions.csv,0.03127053199999352,104,16,24,16
I_dark,44,curve_lut,0.0545429850093939,0.04293421354749507,0.8902857180385821,4.8243791523246306e-08,3.4820818007499226e-08,8.223984412219448,22.358061322235326,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_44/I_dark/curve_lut/test_predictions.csv,0.03030628700000193,104,16,24,16
I_dark,45,bkan,0.009679944266962793,0.0033017685295135602,0.9973968277940645,2.652497292442357e-09,1.8280582329758393e-09,0.4635084412278613,1.6535798035411808,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_45/I_dark/bkan/test_predictions.csv,0.03929181099999823,104,16,24,16
I_dark,45,dkan,0.012684861636953615,0.0073579307888929045,0.9955297825058576,5.875823245984927e-09,4.221573090705659e-09,1.0388213167005111,5.458974963902036,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_45/I_dark/dkan/test_predictions.csv,0.029872515999997518,104,16,24,16
I_dark,45,mlp_l,0.016804149813581238,0.012383553589901841,0.9921550482925522,8.984446736740562e-09,7.419166235612835e-09,2.0579171722164276,9.850123256047661,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_45/I_dark/mlp_l/test_predictions.csv,0.02907900600000346,104,16,24,16
I_dark,45,spline_ridge,0.004323553834587832,0.0032330296523116844,0.99948067536219,2.7931461280646397e-09,2.1622156799637862e-09,0.6206862195553791,1.8801618783969296,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_45/I_dark/spline_ridge/test_predictions.csv,0.029651055000002202,104,16,24,16
I_dark,45,gmls,0.037446329587364595,0.01656383726250125,0.9610438799135345,1.7324245817567426e-08,8.66752980302925e-09,0.9875244416798303,14.880234194936861,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_45/I_dark/gmls/test_predictions.csv,0.02922738099999833,104,16,24,16
I_dark,45,autopinn,0.025738139204377442,0.016822845902456595,0.9815960317295724,1.129962207216917e-08,9.35155832864392e-09,2.5126208485325803,11.869951908308819,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_45/I_dark/autopinn/test_predictions.csv,0.029579346000005557,104,16,24,16
I_dark,45,curve_lut,0.06048391619028876,0.040816237062519044,0.8983664744820105,4.223998063459174e-08,2.819631363399872e-08,5.753790850927233,44.71041292619623,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_45/I_dark/curve_lut/test_predictions.csv,0.029316496000006964,104,16,24,16
I_dark,46,bkan,0.003042088654289037,0.0020177805791276077,0.9996263441617994,2.7064918236451997e-09,1.4953409814548624e-09,0.27634518842061284,1.655129567829726,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_46/I_dark/bkan/test_predictions.csv,0.0387043170000112,104,16,24,16
I_dark,46,dkan,0.013751360037931646,0.010449111169983793,0.9923648188509213,1.1585092046281742e-08,7.519807304312581e-09,1.9836250953807677,5.581416228528948,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_46/I_dark/dkan/test_predictions.csv,0.02905866200001128,104,16,24,16
I_dark,46,mlp_l,0.01729934436837623,0.012724456017329884,0.9879166507678548,9.21356257761152e-09,7.65356980189385e-09,2.1362451747037836,11.151899257608584,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_46/I_dark/mlp_l/test_predictions.csv,0.029043928000007213,104,16,24,16
I_dark,46,spline_ridge,0.003202318292603702,0.002202240054173062,0.9995859459548027,2.276443970678049e-09,1.5687058053412609e-09,0.3694500514698912,1.2580827698390793,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_46/I_dark/spline_ridge/test_predictions.csv,0.029590478999992342,104,16,24,16
I_dark,46,gmls,0.027920545271057945,0.012615938943810693,0.9685242685944756,1.842878851130338e-08,7.661238028498183e-09,0.8588760153995074,9.409703384364303,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_46/I_dark/gmls/test_predictions.csv,0.02911522499999819,104,16,24,16
I_dark,46,autopinn,0.018200532524030123,0.01189511339635844,0.9866249248852645,9.330397641932987e-09,6.920323498223396e-09,1.570889207219161,8.904924513386517,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_46/I_dark/autopinn/test_predictions.csv,0.029532716999995046,104,16,24,16
I_dark,46,curve_lut,0.043733245350926056,0.031642397326721326,0.9227761494332842,3.7784450717754756e-08,2.444279691187938e-08,5.547290529143318,22.305508885278957,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_46/I_dark/curve_lut/test_predictions.csv,0.0309143559999967,104,16,24,16
I_dark,47,bkan,0.004504036797750175,0.002923375351236357,0.9993468833419985,5.538342958789105e-09,2.7721337197202103e-09,0.4071042783647534,2.12981672166206,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_47/I_dark/bkan/test_predictions.csv,0.03937817000000621,104,16,24,16
