task,baseline,n_pairs,bkan_rmse_mean,baseline_rmse_mean,paired_delta_mean,paired_delta_median,naive_paired_bootstrap_ci95_low,naive_paired_bootstrap_ci95_high,corrected_repeated_split_ci95_low,corrected_repeated_split_ci95_high,corrected_standard_error,corrected_p_value_raw,wins,ties,losses,standardized_effect_dz,corrected_p_value_holm,comparison_family,selection_rule
I_dark,spline_ridge,10,0.0076924587876957455,0.0062314324241857805,0.0014610263635099644,3.550513175464942e-05,-0.00011783898213192854,0.0032168062935631855,-0.0017468269699395672,0.004668879696959496,0.0014180506050261664,0.32975821504433767,5,0,5,0.519100702872015,0.32975821504433767,6 BKAN-vs-baseline contrasts,architecture-independent Spline-Ridge reference used consistently across tasks
I_photo,spline_ridge,10,0.005028813565285842,0.005409837479738555,-0.0003810239144527134,-0.0005890596692964909,-0.0007489091652334921,2.259791070531039e-05,-0.0011296053683228276,0.00036755753941740085,0.00033091487459945105,0.2792265720569904,7,0,3,-0.5801245427518854,1.0,6 BKAN-vs-baseline contrasts,architecture-independent Spline-Ridge reference used consistently across tasks
AC_Response,spline_ridge,10,0.06463518902027296,0.11175311467042323,-0.04711792565015027,-0.05000998639964292,-0.05275393796530811,-0.04097409730157885,-0.0585855750296033,-0.035650276270697244,0.005069342469992059,6.554936603270551e-06,10,0,0,-4.6829532738110355,2.6219746413082205e-05,6 BKAN-vs-baseline contrasts,architecture-independent Spline-Ridge reference used consistently across tasks
Capacitance,spline_ridge,10,6.853725098931587e-17,2.726179725200733e-16,-2.0408072153075747e-16,-2.0743507874410413e-16,-2.1474363022430543e-16,-1.9272125324117974e-16,-2.2529369332894853e-16,-1.828677497325664e-16,9.377320084793424e-18,4.304415363935479e-09,10,0,0,-10.964997434641933,2.1522076819677393e-08,6 BKAN-vs-baseline contrasts,architecture-independent Spline-Ridge reference used consistently across tasks
