task,model,n_seeds,rmse_mean,rmse_sample_std,rmse_median,r2_mean
I_dark,bkan,10,0.0076924587876957455,0.009288921792482412,0.0036664822473495354,0.9969394448301452
I_dark,dkan,10,0.019848723531226208,0.008249515484492138,0.018163688363765893,0.98706050774804
I_dark,mlp_l,10,0.016123891152565815,0.0009113136710306262,0.016450881731841692,0.9916280644615144
I_dark,spline_ridge,10,0.0062314324241857805,0.0071963036977746335,0.0039720349539790695,0.9980748035902982
I_dark,gmls,10,0.028941269553312977,0.009363861493460426,0.028312222680816464,0.9725219546553963
I_dark,autopinn,10,0.019267900366266032,0.0061472102519677186,0.017538007933092226,0.9875613649788091
I_dark,curve_lut,10,0.062155869288244125,0.012505631016736095,0.060864565789269215,0.8775000681751262
I_photo,bkan,10,0.005028813565285842,0.001144600278346753,0.00490484134911293,0.949147193078786
I_photo,dkan,10,0.005355385643821321,0.001351818564353283,0.0053010025521582635,0.9416859440366865
I_photo,mlp_l,10,0.004673966725361732,0.0006742007841752222,0.004789813335956654,0.9572644823705051
I_photo,spline_ridge,10,0.005409837479738555,0.0010727143891599168,0.005520831626095258,0.9417293027124464
I_photo,gmls,10,0.011177714559074797,0.0029956589016363437,0.010837350401813838,0.744257183596468
I_photo,autopinn,10,0.005143862130773313,0.0008121066662520863,0.004993357011411776,0.9480300938771699
I_photo,curve_lut,10,0.005413437577110543,0.0014215991710287126,0.005214936985302664,0.9405759064803062
AC_Response,bkan,10,0.06463518902027296,0.019634000168122487,0.055913109896644345,0.9992401926105151
AC_Response,dkan,10,0.15749478423228813,0.08874693207941815,0.1379606391900015,0.9946239255330456
AC_Response,mlp_l,10,0.17470123278366315,0.005319997520506141,0.17594110328285156,0.9948619570642206
AC_Response,spline_ridge,10,0.11175311467042323,0.010355302004706583,0.1078175947562897,0.9978839176178687
AC_Response,gmls,10,0.17515604631287449,0.12161500177730339,0.12334060271693081,0.9926030471481297
AC_Response,autopinn,10,0.17416050761857768,0.023448786288848927,0.17389015778868377,0.9948154497353185
AC_Response,curve_lut,10,0.05130222465561861,0.01071573645868214,0.047518557387580845,0.9995402511807819
Capacitance,bkan,10,6.853725098931587e-17,4.898693979275219e-17,5.4132226803772156e-17,0.9993970866208267
Capacitance,dkan,10,2.212204186208839e-16,9.548047559827024e-17,1.7942522129126675e-16,0.9949260037466965
Capacitance,mlp_l,10,4.4392174170071376e-16,3.0390288176499554e-17,4.381941689008964e-16,0.9820976156928038
Capacitance,spline_ridge,10,2.726179725200733e-16,3.662895303562449e-17,2.6336700585909006e-16,0.9931888418435996
Capacitance,gmls,10,5.061693013287707e-16,9.405590168778466e-17,5.07260605981877e-16,0.9763104712265172
Capacitance,autopinn,10,3.163423570189565e-16,2.96388048496523e-17,3.1386421076046213e-16,0.9908806581382572
Capacitance,curve_lut,10,7.32854751908407e-16,1.0826334922615731e-16,7.094493189657597e-16,0.950789385625877
