task,seed,split_mode,group_columns,train_rows,test_rows,train_curves,test_curves,total_curves,overlap_groups
I_photo,42,point,"trap_assisted_recomb_A,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature",1792,768,160,160,160,160
I_photo,43,point,"trap_assisted_recomb_A,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature",1792,768,160,160,160,160
I_photo,44,point,"trap_assisted_recomb_A,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature",1792,768,160,160,160,160
