task,seed,model,rmse_target,mae_target,r2_target,rmse_raw,mae_raw,medape_percent,p95ape_percent,de_cost,de_nfev,de_time_s,final_cost,nfev_ls,ls_time_s,fit_time_s,param_count,wall_time_s,n_train,n_test,split_mode,train_curves,test_curves,overlap_groups,train_time_s,n_fit,n_val,n_fit_curves,n_val_curves,validation_overlap_groups
I_photo,42,physics_simple,0.023023972328175733,0.018842488850712658,0.008038372033743357,2.570388917844986e-05,2.1281775681107296e-05,3.7409119006894005,11.652509236990289,0.0004863926157183571,6480.0,0.45158100000116974,0.00048639261571474426,5.0,0.0028760999557562172,0.45445889997063205,3,0.4556014999980107,1792,768,point,160,160,160,,,,,,
I_photo,42,physics_full,0.023023972328175733,0.018842488850712658,0.008038372033743357,2.570388917844986e-05,2.1281775681107296e-05,3.7409119006894005,11.652509236990289,0.0004863926157183571,6480.0,0.4359171999967657,0.00048639261571474426,5.0,0.0019607999711297452,0.4378796999808401,3,0.4388541000080295,1792,768,point,160,160,160,,,,,,
I_photo,42,pdk_lut_knn,0.00747460833889273,0.004240728168105704,0.8954530793532292,7.984605589438048e-06,4.654321406242414e-06,0.46053848641348355,4.845504559269416,,,,,,,,12544,0.00787030003266409,1792,768,point,160,160,160,,,,,,
I_photo,42,poly3_ridge,0.0037050955275615334,0.0030804622082285607,0.9743118290360603,4.208699997735191e-06,3.5020716399311717e-06,0.6526401270997946,1.6224542853404915,,,,,,,,84,0.004648900008760393,1792,768,point,160,160,160,,,,,,
I_photo,42,spline_ridge,0.004028503757291141,0.0032226087466702778,0.9696316001146827,4.584491496815638e-06,3.664507593763932e-06,0.6311766894284632,1.8374440329648578,,,,,,,,43,0.004816600005142391,1792,768,point,160,160,160,,,,,,
I_photo,42,rbf_nystroem,0.003371319497566681,0.0026138577207251404,0.9787316309346774,3.797352414602166e-06,2.958112413128197e-06,0.4613382035178407,1.5168766664428595,,,,,,,,1793,0.041884100006427616,1792,768,point,160,160,160,,,,,,
I_photo,42,mlp_n,0.004521274458475138,0.0037329681713481155,0.9617478274871574,5.0986160367763895e-06,4.23233344701864e-06,0.7764437950643079,1.9472992070983837,,,,,,,,769,1.4224570999504067,1792,768,point,160,160,160,0.5459685999667272,,,,,
I_photo,42,mlp_l,0.004543338498842538,0.0037546679089699424,0.961373571572941,5.128064491508993e-06,4.258684668316704e-06,0.7879796809890767,1.9709619837612553,,,,,,,,2561,0.5820214999839664,1792,768,point,160,160,160,0.578301300003659,,,,,
I_photo,42,dkan,0.0034085154320902308,0.002607420074951673,0.9782597320421921,3.8065404779958576e-06,2.9405246390105767e-06,0.47907351257660513,1.495326002685754,,,,,,,,952,3.933319100004155,1792,768,point,160,160,160,3.866436899988912,,,,,
I_photo,42,bkan,0.003928091888018793,0.003148534046439869,0.971126619083981,4.451784695622105e-06,3.575823145089184e-06,0.6001209421821623,1.619734693038584,,,,,,,,1664,84.29809739999473,1792,768,point,160,160,160,84.03134490002412,1523.0,269.0,,,
I_photo,43,physics_simple,0.022721295797074454,0.018601686148693595,0.02696205850645339,2.5427804305614964e-05,2.106069029040375e-05,3.798698765881712,11.204227066940112,0.0004913692630621227,7020.0,0.5619925000355579,0.0004913692630617358,2.0,0.0009700000518932939,0.5629638999816962,3,0.5644778999849223,1792,768,point,160,160,160,,,,,,
I_photo,43,physics_full,0.022721295797074454,0.018601686148693595,0.02696205850645339,2.5427804305614964e-05,2.106069029040375e-05,3.798698765881712,11.204227066940112,0.0004913692630621227,7020.0,0.5200278999982402,0.0004913692630617358,2.0,0.0010669000330381095,0.5210964999860153,3,0.5220268000266515,1792,768,point,160,160,160,,,,,,
I_photo,43,pdk_lut_knn,0.006775923423302691,0.0038788787680422206,0.9134632536599341,7.237636095762104e-06,4.269898071185367e-06,0.5052747832424953,4.170478865547293,,,,,,,,12544,0.0075462000095285475,1792,768,point,160,160,160,,,,,,
I_photo,43,poly3_ridge,0.0036569806250886364,0.002970898960818013,0.974793711503279,4.175059805661219e-06,3.3899455787712895e-06,0.5833641637163076,1.6429232262567832,,,,,,,,84,0.004211799998302013,1792,768,point,160,160,160,,,,,,
I_photo,43,spline_ridge,0.0039662021643383965,0.0032011152318881125,0.9703507796200148,4.52743647290813e-06,3.6487554182249114e-06,0.6239155649227364,1.8419143950880217,,,,,,,,43,0.0053456000168807805,1792,768,point,160,160,160,,,,,,
I_photo,43,rbf_nystroem,0.0030137011146593997,0.002265100550813142,0.9828815696063589,3.4208696574371174e-06,2.5762359675811325e-06,0.39641801753540706,1.4062613518480909,,,,,,,,1793,0.03422629996202886,1792,768,point,160,160,160,,,,,,
I_photo,43,mlp_n,0.0045116488875589465,0.0037562054126978254,0.9616350910619769,5.10218545577324e-06,4.265697109782496e-06,0.8100102145908132,1.9515345123397363,,,,,,,,769,0.5844663000316359,1792,768,point,160,160,160,0.581560000020545,,,,,
I_photo,43,mlp_l,0.0044932942345497695,0.0037460011093455726,0.9619466145067019,5.0882689754786395e-06,4.25685305932151e-06,0.8072541913489839,1.9390941382525544,,,,,,,,2561,0.838930900034029,1792,768,point,160,160,160,0.834830800013151,,,,,
I_photo,43,dkan,0.003242189357350543,0.0025263356956207236,0.9801874518279705,3.662366480209526e-06,2.8641044501165853e-06,0.4696586003315714,1.4644914642381204,,,,,,,,952,3.9373230000492185,1792,768,point,160,160,160,3.9205610000062734,,,,,
I_photo,43,bkan,0.003718404826452465,0.0029494795543258336,0.9739398492313812,4.237281510463246e-06,3.359719418266566e-06,0.5767673167934737,1.6907540710697009,,,,,,,,1664,86.12993319996167,1792,768,point,160,160,160,85.83284460002324,1523.0,269.0,,,
I_photo,44,physics_simple,0.022815144787551655,0.018814867143853168,0.04971894583760861,2.5560846896573994e-05,2.1313705573853982e-05,3.8865956948909712,11.063473304344392,0.0004895735717488019,6210.0,0.5393718000268564,0.0004895735717473839,9.0,0.003620099974796176,0.5429939000168815,3,0.5444542999612167,1792,768,point,160,160,160,,,,,,
I_photo,44,physics_full,0.022815144787551655,0.018814867143853168,0.04971894583760861,2.5560846896573994e-05,2.1313705573853982e-05,3.8865956948909712,11.063473304344392,0.0004895735717488019,6210.0,0.5828164999838918,0.0004895735717473839,9.0,0.0036023000138811767,0.5864206000114791,3,0.5875352000002749,1792,768,point,160,160,160,,,,,,
I_photo,44,pdk_lut_knn,0.007041802336632312,0.0040151740569442365,0.9094740121038475,7.4985216353159595e-06,4.422808739973189e-06,0.5051121871538595,4.333972936421619,,,,,,,,12544,0.008226800011470914,1792,768,point,160,160,160,,,,,,
I_photo,44,poly3_ridge,0.0037865395384797944,0.0031417670947113917,0.9738247640969165,4.332019174543889e-06,3.593498056527792e-06,0.675826292721994,1.6456014862154307,,,,,,,,84,0.005109800025820732,1792,768,point,160,160,160,,,,,,
I_photo,44,spline_ridge,0.0038553557564887145,0.0031269089857485274,0.9728647060405634,4.401209891032196e-06,3.5692220524920804e-06,0.5882541203205747,1.6406897423071582,,,,,,,,43,0.006798200018238276,1792,768,point,160,160,160,,,,,,
I_photo,44,rbf_nystroem,0.0034215712007591974,0.002529791319037902,0.97862742862892,3.824120090282817e-06,2.8690342301082502e-06,0.42960907966673934,1.4978670224089436,,,,,,,,1793,0.03787250001914799,1792,768,point,160,160,160,,,,,,
I_photo,44,mlp_n,0.004454080058814416,0.003656701753922562,0.9637822346918589,5.050186299572258e-06,4.164190808838763e-06,0.7643609077590009,1.8777049080880965,,,,,,,,769,0.6646173999761231,1792,768,point,160,160,160,0.6614968000212684,,,,,
I_photo,44,mlp_l,0.004498758687009265,0.003709360465789798,0.9630519937058861,5.103731629251897e-06,4.223913445030404e-06,0.7819498014724321,1.9400464908849908,,,,,,,,2561,0.6428451000247151,1792,768,point,160,160,160,0.6385991999995895,,,,,
I_photo,44,dkan,0.0038410729531777035,0.0031253459710638945,0.9730653879935808,4.360807982309436e-06,3.560644237076533e-06,0.6304757676742471,1.6611626285025076,,,,,,,,952,4.260063099965919,1792,768,point,160,160,160,4.237585099996068,,,,,
