task,model,n_seeds,rmse_target_mean,rmse_target_std,mae_target_mean,mae_target_std,r2_target_mean,r2_target_std,rmse_raw_mean,rmse_raw_std,mae_raw_mean,mae_raw_std,medape_percent_mean,medape_percent_std,p95ape_percent_mean,p95ape_percent_std,param_count_mean,param_count_std,train_time_s_mean,train_time_s_std,fit_time_s_mean,fit_time_s_std
I_photo,physics_simple,3,0.02285347097093395,0.00012650413134061606,0.018753014047753137,0.0001075975199459846,0.02823979212593512,0.017039992381779008,2.5564180126879603e-05,1.1273581823675974e-07,2.121872384845501e-05,1.1250432174057184e-07,3.808735453820695,0.05989709676787232,11.306736536091597,0.2511599436432159,3.0,0.0,,,0.5201388999897366,0.0471529216240864
I_photo,physics_full,3,0.02285347097093395,0.00012650413134061606,0.018753014047753137,0.0001075975199459846,0.02823979212593512,0.017039992381779008,2.5564180126879603e-05,1.1273581823675974e-07,2.121872384845501e-05,1.1250432174057184e-07,3.808735453820695,0.05989709676787232,11.306736536091597,0.2511599436432159,3.0,0.0,,,0.5151322666594448,0.06078804051707542
I_photo,pdk_lut_knn,3,0.007097444699609244,0.0002879377331258818,0.004044926997697387,0.0001492150019137286,0.9061301150390036,0.007723463399480719,7.57358777350537e-06,3.095341122263456e-07,4.4490094058003235e-06,1.5802991552537224e-07,0.4903084856032795,0.021050672961409837,4.449985453746109,0.2875286651544297,12544.0,0.0,,,,
I_photo,poly3_ridge,3,0.003716205230376655,5.3472404922256416e-05,0.0030643760879193217,7.067791849889134e-05,0.9743101015454186,0.0003955730082147192,4.238592992646766e-06,6.747470750139939e-08,3.4951717584100845e-06,8.324305406041049e-08,0.6372768611793654,0.03927962813700773,1.6369929992709018,0.010338404814549588,84.0,0.0,,,,
I_photo,spline_ridge,3,0.003950020559372751,7.160745212577369e-05,0.003183544321435639,4.099726601223283e-05,0.9709490285917536,0.0013860422927965564,4.504379286918655e-06,7.658007627729396e-08,3.627495021493641e-06,4.170401216306557e-08,0.6144487915572581,0.01875813749052862,1.7733493901200126,0.09382228822886726,43.0,0.0,,,,
I_photo,rbf_nystroem,3,0.0032688639376617593,0.0001815899374971666,0.002469583196858728,0.00014860833169445418,0.9800802097233188,0.001981317310252798,3.6807807207740335e-06,1.8410947422485882e-07,2.801127536939193e-06,1.6312754549489255e-07,0.4291217669066623,0.02650579486694742,1.4736683468999647,0.048291606434359105,1793.0,0.0,,,,
I_photo,mlp_n,3,0.004495667801616167,2.966836887297179e-05,0.0037152917793228345,4.250165215368757e-05,0.9623883844136644,0.0009866749967805265,5.083662597373962e-06,2.3716127759748524e-08,4.220740455213299e-06,4.2242793287288946e-08,0.7836049724713741,0.019311941900420796,1.925512875842072,0.03384952769927263,769.0,0.0,0.5963418000028469,0.04830850484126723,,
I_photo,mlp_l,3,0.004511797140133857,2.2414400758779385e-05,0.003736676494701771,1.9636741592773772e-05,0.9621240599285098,0.0006966062361575601,5.106688365413177e-06,1.6380425118132087e-08,4.246483724222872e-06,1.5977104973415466e-08,0.7923945579368309,0.010791860840590103,1.9500342042996002,0.014803281365537015,2561.0,0.0,0.6839104333387999,0.10951918247144429,,
I_photo,dkan,3,0.0034972592475394928,0.0002524176287069861,0.0027530339138787632,0.0002653373577001417,0.9771708572879145,0.003007788167203925,3.943238313504939e-06,3.010756899724116e-07,3.1217577754012316e-06,3.119038377438872e-07,0.5264026268608079,0.07369113072921724,1.5403266984754607,0.08636621129217023,952.0,0.0,4.008194333330418,0.16370185790895048,,
I_photo,bkan,3,0.0037753026919567973,0.00010920478134883267,0.003002683428652099,0.00010438147030072115,0.9734504574240006,0.0017325244637798167,4.2895974185003e-06,1.1706605662115724e-07,3.4167256052982546e-06,1.139947028529977e-07,0.5803062763620107,0.014944829991013294,1.643350596282173,0.033519391740206954,1664.0,0.0,87.54058443333876,3.7615604542226753,,
