task,model,n_seeds,rmse_model_space_mean,rmse_model_space_std,rmse_model_space_ci95_low,rmse_model_space_ci95_high,r2_model_space_mean,r2_model_space_std,r2_model_space_ci95_low,r2_model_space_ci95_high,raw_gaussian_nll_task_space_mean,raw_gaussian_nll_task_space_std,raw_gaussian_nll_task_space_ci95_low,raw_gaussian_nll_task_space_ci95_high,raw_gaussian_crps_task_space_mean,raw_gaussian_crps_task_space_std,raw_gaussian_crps_task_space_ci95_low,raw_gaussian_crps_task_space_ci95_high,raw_picp_95_mean,raw_picp_95_std,raw_picp_95_ci95_low,raw_picp_95_ci95_high,raw_group_coverage_95_mean,raw_group_coverage_95_std,raw_group_coverage_95_ci95_low,raw_group_coverage_95_ci95_high,raw_group_calibration_error_pp_mean,raw_group_calibration_error_pp_std,raw_group_calibration_error_pp_ci95_low,raw_group_calibration_error_pp_ci95_high,raw_mpiw_log_mean,raw_mpiw_log_std,raw_mpiw_log_ci95_low,raw_mpiw_log_ci95_high,raw_interval_score_95_mean,raw_interval_score_95_std,raw_interval_score_95_ci95_low,raw_interval_score_95_ci95_high,no_shrink_conformal_picp_95_mean,no_shrink_conformal_picp_95_std,no_shrink_conformal_picp_95_ci95_low,no_shrink_conformal_picp_95_ci95_high,no_shrink_conformal_group_coverage_95_mean,no_shrink_conformal_group_coverage_95_std,no_shrink_conformal_group_coverage_95_ci95_low,no_shrink_conformal_group_coverage_95_ci95_high,no_shrink_group_calibration_error_pp_mean,no_shrink_group_calibration_error_pp_std,no_shrink_group_calibration_error_pp_ci95_low,no_shrink_group_calibration_error_pp_ci95_high,no_shrink_conformal_mpiw_log_mean,no_shrink_conformal_mpiw_log_std,no_shrink_conformal_mpiw_log_ci95_low,no_shrink_conformal_mpiw_log_ci95_high,no_shrink_conformal_interval_score_95_mean,no_shrink_conformal_interval_score_95_std,no_shrink_conformal_interval_score_95_ci95_low,no_shrink_conformal_interval_score_95_ci95_high,calibration_raw_quantile_mean,calibration_raw_quantile_std,calibration_raw_quantile_ci95_low,calibration_raw_quantile_ci95_high
I_dark,bkan_vi_frozen,10,0.00769245738486517,0.009288916446042801,0.0010475668562039695,0.01433734791352637,0.9969394470415208,0.006878870607621893,0.9920185994470799,1.0018602946359618,-2.898723315931547,0.20445407222746698,-3.044980948453291,-2.7524656834098034,0.0059411513058895485,0.002130126387619141,0.004417350683915851,0.007464951927863246,99.375,1.976423537605237,97.96115177325112,100.78884822674888,99.375,1.976423537605237,97.96115177325112,100.78884822674888,4.625,1.1858541225631423,3.776691063950673,5.473308936049326,0.08322888336658488,0.009761118165447545,0.07624620007693628,0.09021156665623348,0.10182534085698278,0.055608144040809875,0.06204567098917797,0.1416050107247876,99.375,1.976423537605237,97.96115177325112,100.78884822674888,99.375,1.976423537605237,97.96115177325112,100.78884822674888,4.625,1.1858541225631423,3.776691063950673,5.473308936049326,0.09673182111384664,0.02808090042827769,0.0766439550666036,0.11681968716108967,0.11532827860424473,0.05681116172209795,0.07468802173012568,0.15596853547836378,1.4726016019769883,1.1797114419802974,0.6286868749037714,2.3165163290502053
I_dark,mc_dropout_mlp,10,0.004791966457819667,0.0012239568559804,0.003916400468283945,0.005667532447355388,0.9992717135617072,0.00025183039231614434,0.9990915649514305,0.9994518621719839,-3.1632921739108166,0.08499465709223929,-3.2240936888323586,-3.1024906589892747,0.004900885138724258,0.00050178351684869,0.0045419308346443,0.0052598394428042166,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,5.0,0.0,5.0,5.0,0.07517421171069145,0.005785362649582235,0.07103561258576806,0.07931281083561485,0.0751742136399415,0.005785372741952123,0.07103560729537162,0.0793128199845114,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,5.0,0.0,5.0,5.0,0.07517421171069145,0.005785362649582235,0.07103561258576806,0.07931281083561485,0.07517421558333334,0.005785360839597034,0.07103561775319536,0.07931281341347132,1.0014247528194533,0.21595727689130623,0.8469382234006384,1.1559112822382682
I_dark,equal_budget_deep_ensemble_mlp,10,0.013904684030994083,0.0013094296819165447,0.012967974465152111,0.014841393596836054,0.99377168653398,0.0015853914359219364,0.9926375658216264,0.9949058072463335,-2.3633215105133254,0.7309421899407609,-2.88620605395277,-1.840436967073881,0.012566674325903627,0.006267767769865709,0.008082983366709841,0.017050365285097412,99.5,0.5826715823167508,99.08318185967686,99.91681814032314,93.75,6.588078458684124,89.03717257750374,98.46282742249626,6.25,1.3176156917368247,5.3074345155007485,7.1925654844992515,0.17883058339357377,0.11954787057145098,0.09331118858619912,0.2643499782009484,0.18044539459565923,0.11795576727928794,0.09606492187335204,0.2648258673179664,99.95833333333333,0.13176156917368395,99.86407678488341,100.05258988178325,99.375,1.976423537605237,97.96115177325112,100.78884822674888,4.625,1.1858541225631423,3.776691063950673,5.473308936049326,0.1973573312163353,0.10141496134581908,0.12480943824885561,0.269905224183815,0.19761358178062668,0.10119919298773121,0.1252200401981951,0.27000712336305827,2.021005573055769,1.2190778321763254,1.1489298268926875,2.89308131921885
I_photo,bkan_vi_frozen,10,0.00502881388711707,0.001144601497975248,0.004210015300956108,0.005847612473278032,0.9491471820848032,0.021307062540215443,0.9339050277507113,0.9643893364188951,-3.492467406702584,0.3615549260891144,-3.7511082199681454,-3.2338265934370227,0.0036293504720641286,0.0009553872003900258,0.0029459076403891447,0.0043127933037391125,97.109375,5.120350618013271,93.44649682441305,100.77225317558695,96.25,6.718548123582124,91.44384020169927,101.05615979830073,5.75,3.1841621957571333,3.4721875835344194,8.027812416465581,0.04169953668213627,0.021557514804935205,0.02627821959086103,0.057120853773411515,0.04410084246983814,0.019389239069741798,0.03023061639978212,0.057971068539894165,99.453125,1.7293705954045824,98.21600780159473,100.69024219840527,99.375,1.976423537605237,97.96115177325112,100.78884822674888,4.625,1.1858541225631423,3.776691063950673,5.473308936049326,0.04770500809949061,0.016120009681596475,0.036173447849446594,0.05923656834953463,0.04805978031593883,0.01554158512614701,0.0369420000662186,0.05917756056565905,2.013854119680621,1.3782226562369697,1.0279330245762712,2.9997752147849703
I_photo,mc_dropout_mlp,10,0.005425138105642785,0.0009123241707236722,0.004772500709631646,0.006077775501653924,0.9420007521899049,0.017624311296161422,0.929393079391219,0.9546084249885908,-3.3297273131013227,0.3862885403276634,-3.6060614881220445,-3.053393138080601,0.004139855066173569,0.0010881379739599445,0.003361448051852395,0.0049182620804947424,93.0078125,7.963918912745453,87.31076810717715,98.70485689282285,85.625,16.93789718681487,73.5083582747909,97.7416417252091,14.375,12.44780770524138,5.470374793860728,23.279625206139272,0.04673255123198032,0.030034324995612875,0.0252472894302013,0.06821781303375934,0.05254555369348457,0.02440318669693569,0.03508856556214017,0.07000254182482897,99.4921875,1.6058441243042552,98.34343581576654,100.64093918423346,99.375,1.976423537605237,97.96115177325112,100.78884822674888,4.625,1.1858541225631423,3.776691063950673,5.473308936049326,0.05651396606117487,0.02077299872586177,0.041653857964909835,0.0713740741574399,0.056879415738006166,0.02020644878453801,0.042424593054844355,0.07133423842116797,2.4427089641701274,1.8134484629512129,1.1454460825760904,3.739971845764164
I_photo,equal_budget_deep_ensemble_mlp,10,0.005259266961973553,0.0008672999921262434,0.004638837923057742,0.005879696000889364,0.945602609047711,0.016106422913429695,0.9340807681861049,0.9571244499093171,-3.3280541577980465,0.2596588676056807,-3.5138029219362927,-3.1423053936598,0.004027477483107655,0.0007452355583169271,0.0034943680798907376,0.004560586886324573,97.2265625,8.77037944812324,90.95261099380185,103.50051400619815,94.375,17.787811838447134,81.6503659592601,107.0996340407399,9.625,14.625534178278754,-0.8374768779416968,20.087476877941697,0.04981120862066746,0.021295118764789737,0.03457759834880963,0.06504481889252528,0.051530091928234614,0.018613214009841398,0.038215000743984644,0.06484518311248458,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,5.0,0.0,5.0,5.0,0.052904147654771805,0.01735438288009747,0.04048957001263501,0.0653187252969086,0.05290414695312501,0.017354382807866078,0.04048956936265943,0.06531872454359058,1.7659155122291676,1.600941603944394,0.6206708797917928,2.9111601446665425
AC_Response,bkan_vi_frozen,10,0.06463519948303577,0.019634012357502912,0.05058987315118269,0.07868052581488885,0.9992401923118542,0.00047221683926347395,0.9989023887347714,0.999577995888937,-1.226216354241074,0.08691026161289327,-1.2883882100855744,-1.1640444983965736,0.03751534785177134,0.004417547303036515,0.034355224881092085,0.04067547082245059,99.70982142857142,0.47116488687463187,99.37277037289476,100.04687248424807,98.125,3.0190368221228,95.96531115991472,100.28468884008528,3.875,1.8114220932736798,2.579186695948836,5.170813304051164,0.5127039888729752,0.03693721875508738,0.48628069434917426,0.5391272833967761,0.5196853649455331,0.03805682527572504,0.49246115216522424,0.5469095777258419,99.70982142857142,0.47116488687463187,99.37277037289476,100.04687248424807,98.125,3.0190368221228,95.96531115991472,100.28468884008528,3.875,1.8114220932736798,2.579186695948836,5.170813304051164,0.512703988872975,0.03693721875508736,0.4862806943491741,0.5391272833967758,0.5196853649455331,0.03805682527572504,0.49246115216522424,0.5469095777258419,0.9791892136753398,0.25267305104767984,0.7984378016557038,1.159940625694976
AC_Response,mc_dropout_mlp,10,0.09074517754308979,0.01017053619054668,0.08346961424175765,0.09802074084442193,0.9985995794635845,0.0003180954781229019,0.9983720276665512,0.9988271312606177,-0.09196828244265395,0.10534399923953004,-0.1673268398012202,-0.016609725084087687,0.09276299094953092,0.009826827279818205,0.08573330219113204,0.0997926797079298,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,5.0,0.0,5.0,5.0,1.419299066066742,0.14861582663743195,1.312985708145116,1.525612423988368,1.4192990801427512,0.14861582786293806,1.312985721344451,1.5256124389410515,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,5.0,0.0,5.0,5.0,1.419299066066742,0.14861582663743195,1.312985708145116,1.525612423988368,1.4192991088540625,0.14861583070554377,1.3129857480222846,1.5256124696858404,0.7247296909419384,0.12733182040393473,0.6336419938661673,0.8158173880177095
AC_Response,equal_budget_deep_ensemble_mlp,10,0.07458515632950047,0.008710582019048282,0.06835398132715038,0.08081633133185055,0.9990523752782648,0.000223526973703793,0.9988924737139551,0.9992122768425746,-0.9159210999479308,0.6346363307518441,-1.3699125819311453,-0.4619296179647162,0.05990851987075015,0.0550259591143137,0.02054532001066641,0.0992717197308339,97.29910714285714,2.1524720222121125,95.75932141685907,98.83889286885521,75.0,16.137430609197573,63.45597756908813,86.54402243091187,21.0,14.658141461696674,10.51419727668035,31.48580272331965,0.6661982446908951,1.0229755690256472,-0.06559439325087213,1.3979908826326621,0.7234589042628158,1.005299111585664,0.004311242223837164,1.4426065663017944,99.19642857142858,0.9124827212354705,98.54367775521388,99.84917938764329,91.875,7.246886304552536,86.69088983525411,97.05911016474589,7.125,2.6385233664979273,5.237514088210741,9.012485911789259,0.8415765106678009,0.9728470950843855,0.14564362274568599,1.5375093985899158,0.8546085693212995,0.9687836046405263,0.161582527350545,1.5476346112920538,2.819210048127369,1.3145905168867928,1.8788086433488562,3.759611452905882
Capacitance,bkan_vi_frozen,10,6.853730079602549e-17,4.898701878316049e-17,3.349409860657697e-17,1.0358050298547402e-16,0.9993970854273078,0.0010659721885126236,0.9986345348606825,1.0001596359939329,-36.556919646956594,0.798768888626831,-37.12832448771031,-35.98551480620288,2.5073348212505765e-17,1.9714156377593442e-17,1.0970690302408674e-17,3.9176006122602853e-17,98.6390625,3.926713413722339,95.83006094172607,101.44806405827391,82.5,12.0761472884912,73.8612446396589,91.1387553603411,14.5,9.264628073124864,7.8724843266404365,21.127515673359564,2.451917719339899e-16,4.0746431781629306e-17,2.160435305653388e-16,2.74340013302641e-16,4.011617263387696e-16,5.171091089779503e-16,3.124415409105581e-17,7.710792985864834e-16,98.8484375,3.641560368037649,96.2434221422152,101.45345285778481,98.75,3.952847075210474,95.92230354650225,101.57769645349775,5.25,0.7905694150420949,4.684460709300449,5.815539290699551,4.0275815295587517e-16,9.04901852828748e-17,3.380253739912057e-16,4.674909319205446e-16,5.316259623106747e-16,4.194433220380165e-16,2.3157428522750216e-16,8.316776393938473e-16,3.2780486503556836,0.8643019856645047,2.659764256066422,3.8963330446449453
