light_voltage,trap_assisted_recomb_A,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature,model_prediction,exported_formula_prediction,formula_minus_model
-0.4,1.0991618704794608e-09,2475.161456337068,505.0064403774024,34.84085283436253,301.39850617403,-3.335893154144287,-3.335893112503572,4.164071532031244e-08
-2.6,1.0976147775803618e-09,2495.918019735696,486.14991613464105,39.05845567786759,297.2376267822416,-3.2849504947662354,-3.2849503007300704,1.9403616491331377e-07
-1.0,1.0976147775803618e-09,2495.918019735696,486.14991613464105,39.05845567786759,297.2376267822416,-3.31065034866333,-3.3106502359725725,1.12690757614331e-07
-0.6000000000000001,1.1425395479879979e-09,2554.3812528255967,503.27354733950745,40.19858533526689,297.9110382121584,-3.321185827255249,-3.3211856501744363,1.77080812679975e-07
0.0,1.0727653122619132e-09,2512.3283017034155,474.34077412964,42.74916053103488,290.5746947786968,-3.3426082134246826,-3.3426079796608943,2.3376378832651312e-07
-3.0,9.973807555784963e-10,2483.6702561944007,499.2076886794748,40.248277237816566,302.09732544564235,-3.2793872356414795,-3.2793875375576356,-3.019161560757766e-07
-0.6000000000000001,9.973807555784963e-10,2483.6702561944007,499.2076886794748,40.248277237816566,302.09732544564235,-3.321530342102051,-3.3215300857480208,2.563540300037914e-07
-0.6000000000000001,1.050818199825069e-09,2510.995503216453,520.189852554912,38.50508417894045,294.1262317171733,-3.3236143589019775,-3.323614078624376,2.8027760157200987e-07
-2.4000000000000004,8.058950792540601e-10,2412.212725535436,472.1154567367515,38.858183000543626,295.7855807653235,-3.2876391410827637,-3.287639304710666,-1.6362790233870328e-07
-0.8,8.595939611542648e-10,2643.7199291480506,484.396762738386,41.95641496228942,305.9180523366615,-3.31980299949646,-3.3198025982786588,4.0121780120472295e-07
-0.8,8.920412889937107e-10,2700.220283946353,481.8164609958477,41.48473029075561,294.1535226587993,-3.317474365234375,-3.317474472014968,-1.0678059281232777e-07
-0.6000000000000001,8.595939611542648e-10,2643.7199291480506,484.396762738386,41.95641496228942,305.9180523366615,-3.3266055583953857,-3.3266055903219454,-3.192655961825608e-08
0.0,8.920412889937107e-10,2700.220283946353,481.8164609958477,41.48473029075561,294.1535226587993,-3.354775905609131,-3.3547758066852724,9.89238584381269e-08
-2.4000000000000004,9.973807555784963e-10,2483.6702561944007,499.2076886794748,40.248277237816566,302.09732544564235,-3.28544545173645,-3.2854450231297982,4.2860665194766057e-07
-1.6,1.0991618704794608e-09,2475.161456337068,505.0064403774024,34.84085283436253,301.39850617403,-3.305985927581787,-3.305985745806521,1.817752659505345e-07
-1.0,9.454134520298419e-10,2570.8338282332857,490.849029568548,38.28868089781682,299.0569098093356,-3.315617084503174,-3.315617296039378,-2.115362041088531e-07
-0.4,9.973807555784963e-10,2483.6702561944007,499.2076886794748,40.248277237816566,302.09732544564235,-3.3293728828430176,-3.3293724038576658,4.789853518261111e-07
-1.2000000000000002,1.0727653122619132e-09,2512.3283017034155,474.34077412964,42.74916053103488,290.5746947786968,-3.2964625358581543,-3.2964626289534578,-9.30953034661286e-08
-0.2,1.050818199825069e-09,2510.995503216453,520.189852554912,38.50508417894045,294.1262317171733,-3.3404932022094727,-3.340493400039347,-1.9782987425998044e-07
0.0,1.0976147775803618e-09,2495.918019735696,486.14991613464105,39.05845567786759,297.2376267822416,-3.3531928062438965,-3.353192347908322,4.5833557438257344e-07
-0.4,8.058950792540601e-10,2412.212725535436,472.1154567367515,38.858183000543626,295.7855807653235,-3.3306093215942383,-3.3306089433471615,3.782470767710322e-07
-2.2,1.0284216851224184e-09,2501.257472196243,454.39559500401634,39.58517778577758,297.0863250737395,-3.2898848056793213,-3.2898849460759787,-1.403966574109461e-07
-1.2000000000000002,9.973807555784963e-10,2483.6702561944007,499.2076886794748,40.248277237816566,302.09732544564235,-3.304431676864624,-3.3044318043395715,-1.27474947486661e-07
-1.0,8.058950792540601e-10,2412.212725535436,472.1154567367515,38.858183000543626,295.7855807653235,-3.311077833175659,-3.3110774089111903,4.2426446889010094e-07
-3.0,1.1154637147520875e-09,2350.383805501934,499.6014506673355,39.64774721352306,306.8220229508652,-3.278350591659546,-3.2783505339312318,5.772831412897972e-08
-2.6,1.058962492367367e-09,2306.068264987093,513.3151002778768,40.55455133934368,303.4784744400111,-3.277472972869873,-3.277472960397639,1.2472233912319552e-08
-0.2,9.663377701466595e-10,2642.527368087266,478.3559331791431,43.40306406282464,301.888862689621,-3.3394322395324707,-3.3394317857142832,4.5381818747358693e-07
-2.0,1.0976147775803618e-09,2495.918019735696,486.14991613464105,39.05845567786759,297.2376267822416,-3.2921805381774902,-3.2921803045601155,2.3361737477856082e-07
0.0,1.1425395479879979e-09,2554.3812528255967,503.27354733950745,40.19858533526689,297.9110382121584,-3.352038860321045,-3.352038654655744,2.056653007898035e-07
-1.4,9.973807555784963e-10,2483.6702561944007,499.2076886794748,40.248277237816566,302.09732544564235,-3.300290107727051,-3.3002903117707243,-2.040436735128992e-07
-0.6000000000000001,1.0727653122619132e-09,2512.3283017034155,474.34077412964,42.74916053103488,290.5746947786968,-3.312727451324463,-3.3127276720077568,-2.2068329386115693e-07
-2.8000000000000003,1.1425395479879979e-09,2554.3812528255967,503.27354733950745,40.19858533526689,297.9110382121584,-3.2808291912078857,-3.280829265818587,-7.46107011728725e-08
-0.6000000000000001,1.1065063764088472e-09,2603.202340784687,488.6799605874269,40.68035124967265,296.73843693227377,-3.321974754333496,-3.321974577583781,1.7674971530823314e-07
-1.0,1.1065063764088472e-09,2603.202340784687,488.6799605874269,40.68035124967265,296.73843693227377,-3.3098127841949463,-3.309812924339355,-1.4014440852250232e-07
0.0,9.454134520298419e-10,2570.8338282332857,490.849029568548,38.28868089781682,299.0569098093356,-3.3587214946746826,-3.3587216826290947,-1.8795441203423024e-07
-2.4000000000000004,1.0727653122619132e-09,2512.3283017034155,474.34077412964,42.74916053103488,290.5746947786968,-3.2781341075897217,-3.2781339645819303,1.430077913866512e-07
-0.4,9.454134520298419e-10,2570.8338282332857,490.849029568548,38.28868089781682,299.0569098093356,-3.335569143295288,-3.335569142252443,1.0428449215282853e-09
-1.8,1.1065063764088472e-09,2603.202340784687,488.6799605874269,40.68035124967265,296.73843693227377,-3.294009208679199,-3.294009157807495,5.087170418249798e-08
-1.6,9.973807555784963e-10,2483.6702561944007,499.2076886794748,40.248277237816566,302.09732544564235,-3.296671152114868,-3.2966712920010797,-1.398862115031818e-07
-2.2,1.050818199825069e-09,2510.995503216453,520.189852554912,38.50508417894045,294.1262317171733,-3.290464401245117,-3.290464687035647,-2.8579052990806986e-07
-2.6,1.0284216851224184e-09,2501.257472196243,454.39559500401634,39.58517778577758,297.0863250737395,-3.2852420806884766,-3.28524156654926,5.14139216534204e-07
-1.4,8.920412889937107e-10,2700.220283946353,481.8164609958477,41.48473029075561,294.1535226587993,-3.302809715270996,-3.3028095767517938,1.3851920233065584e-07
-1.2000000000000002,1.0284216851224184e-09,2501.257472196243,454.39559500401634,39.58517778577758,297.0863250737395,-3.306259870529175,-3.3062597411527834,1.2937639137788892e-07
-1.8,1.050818199825069e-09,2510.995503216453,520.189852554912,38.50508417894045,294.1262317171733,-3.2960100173950195,-3.2960099793389372,3.8056082285464754e-08
-2.6,1.050818199825069e-09,2510.995503216453,520.189852554912,38.50508417894045,294.1262317171733,-3.2858147621154785,-3.285814403166426,3.589490527033945e-07
-1.8,9.454134520298419e-10,2570.8338282332857,490.849029568548,38.28868089781682,299.0569098093356,-3.2996840476989746,-3.2996839676296035,8.006937113336221e-08
-2.6,1.1154637147520875e-09,2350.383805501934,499.6014506673355,39.64774721352306,306.8220229508652,-3.281809091567993,-3.281808763629479,3.279385141219393e-07
-0.4,8.920412889937107e-10,2700.220283946353,481.8164609958477,41.48473029075561,294.1535226587993,-3.331807851791382,-3.3318078008735994,5.091778243482281e-08
-3.0,1.1621717411232646e-09,2521.3696634346124,503.94444076752967,42.25069338145754,304.38892783295006,-3.2763307094573975,-3.276330626115953,8.33414444123548e-08
-0.6000000000000001,1.0284216851224184e-09,2501.257472196243,454.39559500401634,39.58517778577758,297.0863250737395,-3.3230602741241455,-3.323060242962915,3.1161230484855196e-08
-1.6,1.0727653122619132e-09,2512.3283017034155,474.34077412964,42.74916053103488,290.5746947786968,-3.289073944091797,-3.289073713996662,2.3009513494542944e-07
-1.0,9.663377701466595e-10,2642.527368087266,478.3559331791431,43.40306406282464,301.888862689621,-3.309119701385498,-3.3091193964192573,3.049662407050846e-07
-1.8,1.1621717411232646e-09,2521.3696634346124,503.94444076752967,42.25069338145754,304.38892783295006,-3.2898993492126465,-3.2898994264742445,-7.726159800824917e-08
-0.4,9.663377701466595e-10,2642.527368087266,478.3559331791431,43.40306406282464,301.888862689621,-3.329253911972046,-3.329253634793134,2.77178911822773e-07
-1.6,1.058962492367367e-09,2306.068264987093,513.3151002778768,40.55455133934368,303.4784744400111,-3.290208339691162,-3.290208418474811,-7.878364893798562e-08
-1.8,1.1154637147520875e-09,2350.383805501934,499.6014506673355,39.64774721352306,306.8220229508652,-3.291475534439087,-3.2914752906587155,2.4378037144501263e-07
-1.8,8.920412889937107e-10,2700.220283946353,481.8164609958477,41.48473029075561,294.1535226587993,-3.2958030700683594,-3.295803087891304,-1.7822944453627088e-08
-2.8000000000000003,1.0976147775803618e-09,2495.918019735696,486.14991613464105,39.05845567786759,297.2376267822416,-3.282961368560791,-3.282960937437598,4.311231931453108e-07
-2.0,1.0284216851224184e-09,2501.257472196243,454.39559500401634,39.58517778577758,297.0863250737395,-3.29252552986145,-3.2925254920348053,3.782664492746335e-08
-2.2,1.1154637147520875e-09,2350.383805501934,499.6014506673355,39.64774721352306,306.8220229508652,-3.28615665435791,-3.286156894911849,-2.4055393899047317e-07
-3.0,1.1065063764088472e-09,2603.202340784687,488.6799605874269,40.68035124967265,296.73843693227377,-3.2794747352600098,-3.2794746483785033,8.688150643365589e-08
-1.8,1.0727653122619132e-09,2512.3283017034155,474.34077412964,42.74916053103488,290.5746947786968,-3.285982370376587,-3.2859820407319424,3.296446444700507e-07
-2.8000000000000003,1.0284216851224184e-09,2501.257472196243,454.39559500401634,39.58517778577758,297.0863250737395,-3.2832231521606445,-3.283222792299518,3.5986112667529824e-07
-1.4,8.595939611542648e-10,2643.7199291480506,484.396762738386,41.95641496228942,305.9180523366615,-3.3048861026763916,-3.3048858978986986,2.0477769302473803e-07
0.0,8.595939611542648e-10,2643.7199291480506,484.396762738386,41.95641496228942,305.9180523366615,-3.3591415882110596,-3.359141237263886,3.5094717354411387e-07
