stage,step,temperature,train_total,train_value,train_observed_weight,train_bayesian_distillation,train_derivative,train_curve_shape,train_kan_residual,train_complexity,train_binary,validation_total,validation_value,validation_observed_weight,validation_bayesian_distillation,validation_derivative,validation_curve_shape,validation_kan_residual,validation_complexity,validation_binary,active_terms
symbolic_warmup,1,2.0,0.34817010164260864,0.27855345606803894,1.0,0.2784666121006012,0.0,0.09301955252885818,0.004772660322487354,0.3309127390384674,0.16301405429840088,0.3260810375213623,0.26085740327835083,1.0,0.2608945965766907,0.0,0.07951110601425171,0.0048836600035429,0.33090940117836,0.16301430761814117,68
symbolic_warmup,25,2.0,0.20273350179195404,0.16220058500766754,1.0,0.1621316820383072,0.0,0.37637507915496826,0.004772660322487354,0.3312526345252991,0.1630050390958786,0.18105553090572357,0.1448025405406952,1.0,0.14501196146011353,0.0,0.38445430994033813,0.0048836600035429,0.3312641382217407,0.1630040854215622,68
symbolic_warmup,50,2.0,0.12479614466428757,0.0998430997133255,1.0,0.09981218725442886,0.0,0.28074735403060913,0.004772660322487354,0.3312045931816101,0.16298827528953552,0.09907134622335434,0.07923556864261627,1.0,0.07934311032295227,0.0,0.27611228823661804,0.0048836600035429,0.3312198221683502,0.16298715770244598,68
symbolic_warmup,75,2.0,0.05960550159215927,0.04769039526581764,1.0,0.04766041785478592,0.0,0.22371222078800201,0.004772660322487354,0.33163920044898987,0.16296499967575073,0.05329020693898201,0.04260008782148361,1.0,0.04276047646999359,0.0,0.21472415328025818,0.0048836600035429,0.33165085315704346,0.16296443343162537,68
symbolic_warmup,100,2.0,0.013245519250631332,0.010602016933262348,1.0,0.010574008338153362,0.0,0.024036206305027008,0.004772660322487354,0.33198991417884827,0.16294942796230316,0.010994111187756062,0.008787683211266994,1.0,0.008825711905956268,0.0,0.020433317869901657,0.0048836600035429,0.33200886845588684,0.16294871270656586,68
symbolic_warmup,125,2.0,0.0013992796884849668,0.0011196931591257453,1.0,0.001118346001021564,0.0,0.00022798284771852195,0.004772660322487354,0.33233362436294556,0.16293448209762573,0.0013226473238319159,0.001065484480932355,1.0,0.0010286516044288874,0.0,0.00018261844525113702,0.0048836600035429,0.332332968711853,0.1629345715045929,68
symbolic_warmup,150,2.0,0.00014092215860728174,0.00011391732550691813,1.0,0.00010801932512549683,0.0,2.2067801182856783e-05,0.004772660322487354,0.33219102025032043,0.16293965280056,0.00013438353198580444,0.00011194738908670843,1.0,8.97445497685112e-05,0.0,3.6593159165931866e-05,0.0048836600035429,0.3321865200996399,0.16293975710868835,68
symbolic_warmup,175,2.0,6.186730024637654e-05,5.0552975153550506e-05,1.0,4.525730400928296e-05,0.0,1.9722556316992268e-05,0.004772660322487354,0.3321506977081299,0.16294004023075104,5.3633983043255284e-05,4.5990076614543796e-05,1.0,3.057562935282476e-05,0.0,2.319752638868522e-05,0.0048836600035429,0.33215081691741943,0.16293999552726746,68
symbolic_warmup,200,2.0,5.4696796723874286e-05,4.4783722842112184e-05,1.0,3.965229552704841e-05,0.0,1.5419815099448897e-05,0.004772660322487354,0.33213934302330017,0.16293959319591522,5.660807801177725e-05,4.906055619358085e-05,1.0,3.01900854537962e-05,0.0,1.5264777175616473e-05,0.0048836600035429,0.332138329744339,0.1629396229982376,68
symbolic_warmup,225,2.0,5.0991402531508356e-05,4.191589687252417e-05,1.0,3.630201535997912e-05,0.0,1.4270986866904423e-05,0.004772660322487354,0.33211883902549744,0.16293972730636597,5.0216469389852136e-05,4.3702330003725365e-05,1.0,2.605655936349649e-05,0.0,1.4456984899879899e-05,0.0048836600035429,0.3321182131767273,0.16293972730636597,68
symbolic_warmup,250,2.0,4.808161611435935e-05,3.9627619116799906e-05,1.0,3.381599162821658e-05,0.0,1.3207689335104078e-05,0.004772660322487354,0.3321056365966797,0.16293968260288239,4.749749496113509e-05,4.15703616454266e-05,1.0,2.370852598687634e-05,0.0,1.3460279660648666e-05,0.0048836600035429,0.3321051597595215,0.16293968260288239,68
symbolic_warmup,275,2.0,4.557200372801162e-05,3.766845111385919e-05,1.0,3.161421409458853e-05,0.0,1.2249876817804761e-05,0.004772660322487354,0.3320949375629425,0.16293965280056,4.4782296754419804e-05,3.9378628571284935e-05,1.0,2.1614672732539475e-05,0.0,1.2242461707501207e-05,0.0048836600035429,0.3320945203304291,0.16293965280056,68
symbolic_warmup,300,2.0,4.336131678428501e-05,3.5940400266554207e-05,1.0,2.9683664251933806e-05,0.0,1.1379631359886844e-05,0.004772660322487354,0.3320872187614441,0.1629396229982376,4.2547671910142526e-05,3.7581245123874396e-05,1.0,1.986570714507252e-05,0.0,1.1095353329437785e-05,0.0048836600035429,0.332086980342865,0.16293960809707642,68
symbolic_competition,1,2.0,4.8276560846716166e-05,3.5875793400919065e-05,1.0,2.961109930765815e-05,0.0,1.1347638064762577e-05,0.004772660322487354,0.332086980342865,0.16293960809707642,0.00015973711560945958,0.00012754721683450043,1.0,0.0001087645796360448,0.0,2.466894147801213e-05,0.0048836600035429,0.3320513069629669,0.1629401594400406,68
symbolic_competition,25,1.9449593315124356,7.071531581459567e-05,5.328444967744872e-05,1.0,4.9739792302716523e-05,0.0,1.0634466889314353e-05,0.004772660322487354,0.3319016993045807,0.1629182994365692,8.085534500423819e-05,6.491650856332853e-05,1.0,4.376772994874045e-05,0.0,1.0350296179240104e-05,0.0048836600035429,0.3318881690502167,0.1629183441400528,68
symbolic_competition,50,1.889235405642173,4.1092898754868656e-05,3.0155953936628066e-05,1.0,2.3772052372805774e-05,0.0,7.610573447891511e-06,0.004772660322487354,0.3317272365093231,0.16289325058460236,3.9932740037329495e-05,3.169316551066004e-05,1.0,1.2978689483134076e-05,0.0,6.298644166236045e-06,0.0048836600035429,0.3317132592201233,0.16289325058460236,68
symbolic_competition,75,1.8351079943437496,3.735315112862736e-05,2.728556137299165e-05,1.0,2.0303901692386717e-05,0.0,7.183317393355537e-06,0.004772660322487354,0.3315221071243286,0.16286639869213104,3.7644091207766905e-05,2.9530930987675674e-05,1.0,1.2482338206609711e-05,0.0,5.88892680752906e-06,0.0048836600035429,0.33150753378868103,0.16286636888980865,68
symbolic_competition,100,1.7825313567843315,3.502374966046773e-05,2.546012183302082e-05,1.0,1.8298811482964084e-05,0.0,5.963150670140749e-06,0.004772660322487354,0.33128243684768677,0.1628374606370926,3.680746885947883e-05,2.9017281121923588e-05,1.0,1.1201245797565207e-05,0.0,4.818694378627697e-06,0.0048836600035429,0.33126673102378845,0.16283740103244781,68
