task,seed,source,source_kind,family,budget,fit_rows,validation_rows,calibration_rows_untouched,test_rows,selected_alpha,validation_source_rmse,fit_time_selected_candidate_s,candidate_fit_time_total_s,terms,formula_chars,veriloga_lines,json_path,veriloga_path,formula_to_network_rmse,formula_to_network_r2,formula_to_network_p95_abs_error,formula_to_network_max_abs_error,formula_to_tcad_rmse,formula_to_tcad_r2,formula_to_tcad_p95_abs_error,formula_to_tcad_max_abs_error,test_finite_rate,dense_train_envelope_points,dense_finite_rate,swept_axis_derivative_finite_rate,independent_json_replay_max_abs_error,latency_per_point_s,calibration_used,test_used_for_selection,pareto_rmse_terms,pareto_rmse_chars
Capacitance,45,tcad_direct,direct_tcad,polynomial,1,41600,6400,9600,6400,1e-08,2.011860165712979e-15,0.004320100008044392,0.016470700036734343,8,936,25,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_45\Capacitance\exports\Capacitance\tcad_direct\polynomial_1\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_45\Capacitance\exports\Capacitance\tcad_direct\polynomial_1\formula.va,,,,,2.023816558930243e-15,0.6340562454827751,5.191711348373414e-15,8.186696595700111e-15,1.0,5000,1.0,1.0,6.310887241768095e-30,2.1747666760347783e-07,False,False,True,True
Capacitance,45,tcad_direct,direct_tcad,additive_spline,4,41600,6400,9600,6400,1e-08,2.7116787794798816e-16,0.030841500032693148,0.12191829999210313,36,8630,227,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_45\Capacitance\exports\Capacitance\tcad_direct\additive_spline_4\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_45\Capacitance\exports\Capacitance\tcad_direct\additive_spline_4\formula.va,,,,,3.1950599204116085e-16,0.9908792602399508,6.247109847911052e-16,2.5118075099349392e-15,1.0,5000,1.0,1.0,3.7865323450608567e-29,1.4831333343560496e-07,False,False,True,True
Capacitance,45,tcad_direct,direct_tcad,additive_spline,6,41600,6400,9600,6400,1e-08,2.29484649231784e-16,0.03386919997865334,0.13804180000443012,50,10215,269,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_45\Capacitance\exports\Capacitance\tcad_direct\additive_spline_6\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_45\Capacitance\exports\Capacitance\tcad_direct\additive_spline_6\formula.va,,,,,2.850433193495648e-16,0.9927407160713074,4.9123037470597165e-16,2.6719829099578756e-15,1.0,5000,1.0,1.0,2.8398992587956425e-29,1.4842999905037383e-07,False,False,True,True
Capacitance,45,tcad_direct,direct_tcad,additive_spline,8,41600,6400,9600,6400,1e-08,2.226796058564616e-16,0.04212400002870709,0.17152059997897595,64,11749,311,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_45\Capacitance\exports\Capacitance\tcad_direct\additive_spline_8\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_45\Capacitance\exports\Capacitance\tcad_direct\additive_spline_8\formula.va,,,,,2.7966697355541e-16,0.9930119755650932,4.575104937850329e-16,2.705083044719165e-15,1.0,5000,1.0,1.0,2.8398992587956425e-29,1.521033331907044e-07,False,False,True,True
