stage,step,temperature,train_total,train_value,train_bayesian_distillation,train_derivative,train_curve_shape,train_kan_residual,train_complexity,train_binary,validation_total,validation_value,validation_bayesian_distillation,validation_derivative,validation_curve_shape,validation_kan_residual,validation_complexity,validation_binary,active_terms
numerical_stability,1,2.0,0.3062444031238556,0.30571863055229187,0.0,0.010515382513403893,0.0,0.01100512407720089,0.5118176341056824,0.24937790632247925,0.29058837890625,0.29003027081489563,0.0,0.011162127368152142,0.0,0.015973461791872978,0.5118176341056824,0.24937790632247925,15
numerical_stability,25,2.0,0.23740366101264954,0.23610259592533112,0.0,0.02602122537791729,0.0,0.023790055885910988,0.5118176341056824,0.24937790632247925,0.23628440499305725,0.23489299416542053,0.0,0.027828287333250046,0.0,0.03215358406305313,0.5118176341056824,0.24937790632247925,15
numerical_stability,50,2.0,0.19380253553390503,0.19036397337913513,0.0,0.06877122819423676,0.0,0.053203336894512177,0.5118176341056824,0.24937790632247925,0.19387087225914001,0.19028286635875702,0.0,0.07176007330417633,0.0,0.06131884083151817,0.5118176341056824,0.24937790632247925,15
numerical_stability,75,2.0,0.1525128036737442,0.14589433372020721,0.0,0.1323695331811905,0.0,0.09176599234342575,0.5118176341056824,0.24937790632247925,0.15010938048362732,0.14327669143676758,0.0,0.13665373623371124,0.0,0.10244029015302658,0.5118176341056824,0.24937790632247925,15
numerical_stability,100,2.0,0.10374415665864944,0.09242396801710129,0.0,0.22640381753444672,0.0,0.14720915257930756,0.5118176341056824,0.24937790632247925,0.10241153836250305,0.09078722447156906,0.0,0.23248623311519623,0.0,0.15976844727993011,0.5118176341056824,0.24937790632247925,15
numerical_stability,125,2.0,0.06969673931598663,0.0522724948823452,0.0,0.3484848439693451,0.0,0.19658224284648895,0.5118176341056824,0.24937790632247925,0.06722360849380493,0.0494379922747612,0.0,0.35571223497390747,0.0,0.2091548591852188,0.5118176341056824,0.24937790632247925,15
numerical_stability,150,2.0,0.04770291596651077,0.024167802184820175,0.0,0.47070223093032837,0.0,0.2194788008928299,0.5118176341056824,0.24937790632247925,0.04397819936275482,0.020480526611208916,0.0,0.4699534773826599,0.0,0.2261214256286621,0.5118176341056824,0.24937790632247925,15
numerical_stability,175,2.0,0.03887956216931343,0.014764253981411457,0.0,0.4823061525821686,0.0,0.20277516543865204,0.5118176341056824,0.24937790632247925,0.03766646981239319,0.013939902186393738,0.0,0.4745313823223114,0.0,0.2079252302646637,0.5118176341056824,0.24937790632247925,15
numerical_stability,200,2.0,0.03385772183537483,0.010183646343648434,0.0,0.47348150610923767,0.0,0.2029019147157669,0.5118176341056824,0.24937790632247925,0.03459364175796509,0.011463860049843788,0.0,0.462595671415329,0.0,0.20674042403697968,0.5118176341056824,0.24937790632247925,15
numerical_stability,225,2.0,0.03116287849843502,0.00816568173468113,0.0,0.4599439203739166,0.0,0.20409736037254333,0.5118176341056824,0.24937790632247925,0.032694533467292786,0.010167783126235008,0.0,0.45053502917289734,0.0,0.20753054320812225,0.5118176341056824,0.24937790632247925,15
