task,seed,teacher,teacher_to_tcad_rmse,teacher_to_tcad_r2,teacher_to_tcad_p95_abs_error,teacher_to_tcad_max_abs_error,checkpoint,checkpoint_sha256,scaler_mean_max_relative_delta,parameter_count,train_time_s,frozen_test_prediction,replay_status,replay_max_abs_error,replay_rmse,replay_tolerance,test_rows
I_dark,42,bkan_parameter_mean,0.003884817889866061,0.9994876835181351,0.007171168733894451,0.015598427620987287,<REPO_ROOT>/artifacts\results\uq_repeated_grouped\seed_42\I-dark-bayes-results\model_checkpoint.pt,92b9539bac1c9113db05a359aa2a4a85e64aeea8b392445ce629d1b68e5a73f9,4.8422529924905765e-09,1310,,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_42\I_dark\bkan\test_predictions.csv,reference_difference_only,0.0013904372741695425,0.00045782945616065746,7.173024000000001e-05,240
I_dark,42,dkan,0.014704752304996906,0.9926597234144448,0.029907070082913583,0.13108718174716216,,,,1310,2.9929223000071943,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_42\I_dark\dkan\test_predictions.csv,pass,4.76837158203125e-07,1.6858739403310885e-07,7.031333923339844e-05,240
I_dark,42,mlp_l,0.016542053204955078,0.9907108532370921,0.042899369083478855,0.051671860397064506,,,,2561,0.3280945000005886,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_42\I_dark\mlp_l\test_predictions.csv,pass,8.881784197001252e-16,1.7199501139797033e-16,7.110749244689942e-05,240
