task,sample_id,structure_group_id,bias_v,trap_assisted_recomb_A,ge_sio2_recomb_velocity,ge_si_recomb_velocity,simulation_temperature,ge_width_scale,optical_power_W,net_photocurrent_A,_curve_id
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,0.0,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,4.66035392612411e-10,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-0.125,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,1.057658911498064e-09,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-0.25,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,2.1647484673699983e-09,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-0.375,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,3.949261290228465e-09,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-0.5,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,6.463363426937068e-09,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-0.625,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,9.643492432370452e-09,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-0.75,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,1.334960205571885e-08,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-0.875,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,1.741175941684044e-08,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-1.0,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,2.1662287071231482e-08,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-1.125,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,2.6412926974480697e-08,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-1.25,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,3.226693028212756e-08,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-1.375,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,3.9258556838656994e-08,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-1.5,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,4.749265757966284e-08,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-1.625,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,5.85466389461698e-08,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-1.75,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,6.35867907777663e-08,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-1.875,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,6.658208952107623e-08,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-2.0,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,6.889212282972818e-08,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-2.125,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,7.095458795969976e-08,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-2.25,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,7.281986959545286e-08,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-2.375,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,7.45370041585741e-08,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-2.5,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,7.615401469567293e-08,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-2.625,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,7.77056637172131e-08,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-2.75,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,7.919662372353787e-08,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-2.875,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,8.065267279486535e-08,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-3.0,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,8.225776764774467e-08,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-3.125,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,8.409544226143165e-08,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-3.25,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,8.615616712202885e-08,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-3.375,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,8.86333901491915e-08,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-3.5,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,9.184838032390525e-08,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-3.625,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,9.560679805209206e-08,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-3.75,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,9.902238280258945e-08,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-3.875,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,1.0137938268210349e-07,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-4.0,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,1.0298054047795341e-07,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-4.125,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,1.044361742341635e-07,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-4.25,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,1.060220731365916e-07,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-4.375,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,1.0776716904210321e-07,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-4.5,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,1.0962892104956761e-07,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-4.625,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,1.1154908439609304e-07,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-4.75,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,1.1352470066452592e-07,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-4.875,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,1.157054853815555e-07,apd_structure_20260818_00000
APD_I_net,apd_20260818_00001,apd_structure_20260818_00000,-5.0,2.2256128697867238e-09,4136.800336389541,582.1642910352323,304.06763671525283,0.9812507629678858,3e-07,1.1824080575225353e-07,apd_structure_20260818_00000
