task,scenario,seed,ood_std_over_id,ood_epistemic_over_id,ood_detection_auroc_predictive_std,rmse_shift_ood_minus_id,coverage_shift_ood_minus_id_pp
dark_current,voltage_extreme_reverse,42,1.06759779122889,1.1443639632412643,0.6353081597222223,0.030670326126232814,-45.83333333333333
dark_current,voltage_extreme_reverse,43,1.1083355034814055,1.1648137865530512,0.7059461805555556,0.05199869276886258,-54.16666666666667
dark_current,voltage_extreme_reverse,44,0.9902386760667525,1.0996697436028844,0.5608723958333334,0.01628510139610223,-51.562499999999986
dark_current,length_high,42,1.0290198214315007,1.3723708594391857,0.5999786324786325,0.011036448180018033,0.0
dark_current,length_high,43,1.1854578769073216,1.365022606388655,0.8333012820512822,0.006686317898037468,0.0
dark_current,length_high,44,1.0878336799702337,1.3989356771245185,0.651474358974359,0.008231903125411737,0.0
dark_current,temperature_high,42,1.4132033838210645,1.9233619790387326,0.8917200854700854,0.03507107320024763,-15.416666666666671
dark_current,temperature_high,43,1.4874752415803925,2.0647403322303304,0.9303632478632479,0.04760353434866056,-28.33333333333333
dark_current,temperature_high,44,1.284787142135227,1.882539236381381,0.8910042735042735,-0.040194797938526115,5.817307692307693
dark_current,trap_high,42,1.0897367247799603,1.4740377627603127,0.7147970085470086,-0.012955294399170897,7.692307692307693
dark_current,trap_high,43,1.248883542404726,1.4978985774465483,0.8521047008547009,0.019138898300372992,-1.6666666666666714
dark_current,trap_high,44,0.9790015545310389,1.4507021164395688,0.46242521367521366,0.01151365069787667,0.0
photo_current,voltage_extreme_reverse,42,1.100197820738976,1.0460458564918642,0.6756184895833334,0.013001752911478443,-50.0
photo_current,voltage_extreme_reverse,43,0.9997230682932186,0.9982954065723632,0.49617513020833337,0.014087798059307646,-57.8125
photo_current,voltage_extreme_reverse,44,0.9939701041806176,0.9242826109663836,0.33349609375000006,0.010790996026191404,0.0
photo_current,length_high,42,0.9376888459742916,1.4762554434124269,0.24549278846153846,0.004764797622181717,0.0
photo_current,length_high,43,1.0594418751987416,1.543441097144398,0.6570951021634615,0.004247414311991924,-21.2890625
photo_current,length_high,44,1.020578001823549,1.288673777938793,0.8691687950721155,-0.00025924052513195094,0.0
photo_current,temperature_high,42,0.9338064780262817,1.4648873139083274,0.30469689002403844,0.0023183799961664746,0.0
photo_current,temperature_high,43,0.822504193666226,1.4653888101942534,0.04886568509615384,0.0019839343480589685,-3.125
photo_current,temperature_high,44,0.7923626757754109,1.5497899629687915,0.11895282451923077,0.002279277313361261,-2.5390625
photo_current,trap_high,42,0.8629355303650601,1.5575462120497883,0.08377779447115384,0.00032574184023393717,-1.3671875
photo_current,trap_high,43,1.0347264622823777,1.5362492566938144,0.9260535606971154,0.0006877377941901875,0.0
photo_current,trap_high,44,1.0156872372083718,1.290840484436786,0.7298771784855769,0.005006270536061864,0.0
ac_response,frequency_high,42,2.874516887956974,5.591808802225824,0.9806463068181818,1.9876358385313981,-64.58333333333333
ac_response,frequency_high,43,2.0688733488820548,4.361871195841416,0.9249822443181819,1.0873868412487444,-68.75
ac_response,frequency_high,44,2.0735352202081816,4.46963239667363,0.9093276515151515,2.3812230043271208,-66.66666666666667
ac_response,length_high,42,0.9951026170850127,1.3571616513011449,0.547840831043956,0.011631392846159765,0.0
ac_response,length_high,43,1.0200316886944931,1.4489571054701516,0.5688744848901099,0.0776328819526393,0.0
ac_response,length_high,44,1.1816520005361917,1.4623578158018389,0.6420170231554161,0.030951994216219615,0.0
ac_response,temperature_high,42,1.0908997111658694,1.4694725686310057,0.6539534684065934,-0.0020843291780689513,0.0
ac_response,temperature_high,43,1.2718743015333245,1.3505300961302913,0.6476219093406593,-0.004787362834891867,0.0
ac_response,temperature_high,44,1.236204741337859,1.4556217072086282,0.664522419544741,0.027871757493657848,0.0
capacitance,voltage_extreme_reverse,42,0.8758926508458218,0.8600056498155054,0.5212448567708333,8.688436217688246e-19,-50.0
capacitance,voltage_extreme_reverse,43,0.8559670305807847,0.8594576994473195,0.5182307291666668,9.314792537146545e-19,-50.125
capacitance,voltage_extreme_reverse,44,0.9091979165957708,0.8604290389108042,0.5509720703125001,8.464847391783513e-19,-50.0
capacitance,frequency_high,42,1.13328269313561,1.1979650400298403,0.7544395446777342,1.1434495635660733e-18,-42.96875
capacitance,frequency_high,43,1.0538125890081018,1.1251215209129877,0.6397133636474609,1.0058748982484992e-18,-43.203125
capacitance,frequency_high,44,1.1139255747810164,1.2004724330339576,0.7040842437744141,1.0162438638599299e-18,-41.48437499999999
capacitance,length_high,42,1.1671503615210168,1.3898004480218775,0.7197386643629807,8.241054604985979e-20,0.0
capacitance,length_high,43,1.3098216541134304,1.4760162446337681,0.8071629356971154,4.2430971554521853e-19,-0.75
capacitance,length_high,44,1.4005999056958187,1.4233687247922373,0.8294567382812501,1.03424074124373e-18,-12.1875
capacitance,temperature_high,42,1.1423577207997375,1.2390517558211134,0.712807354266827,1.4906306809193438e-19,0.0
capacitance,temperature_high,43,1.1296130698032858,1.2354711570740644,0.6605451171875,-2.2491894624324153e-19,0.711538461538467
capacitance,temperature_high,44,1.1481027608305523,1.3630668784752105,0.7190050030048076,1.741222293909705e-19,0.0
capacitance,trap_high,42,1.166959406278307,1.3530151241961983,0.7350425931490384,4.628710084657382e-22,0.03846153846154721
capacitance,trap_high,43,1.0688791335922856,1.2139088325683032,0.5950589317908654,7.28469816039431e-20,0.0
capacitance,trap_high,44,1.1811648462321662,1.3536115098617458,0.750849669471154,1.2886044721370843e-19,-0.1484375
