task,scenario,domain,n_seeds,rmse_mean,rmse_std,r2_mean,calibrated_point_coverage_95_mean,calibrated_group_coverage_95_mean,calibrated_mpiw_mean,mean_predictive_std_mean,gaussian_nll_mean,gaussian_crps_mean,interval_score_95_mean,abs_error_std_spearman_mean
ac_response,frequency_high,id_test,3,0.028378621851709706,0.0015674159655236738,0.9996153097273455,100.0,100.0,0.4034178591029412,0.10291271915891353,-1.4912167648546635,0.026102860690009583,0.4034178591029412,0.7512482271689068
ac_response,frequency_high,ood_test,3,1.8471271832207974,0.6627449503617509,-7.662324924408146,33.333333333333336,0.0,0.9343783159487966,0.23836181529306033,26.34506229602715,1.31863678384548,42.47519303206129,0.3331524688008681
ac_response,length_high,id_test,3,0.04848328235407412,0.006037727264225219,0.9995943164577822,100.0,100.0,0.6964835583558697,0.1776743771315994,-0.9208559897314424,0.044924601347252464,0.6964835583558697,0.669208997727055
ac_response,length_high,ood_test,3,0.08855537202574702,0.027898721401820162,0.9985593322399371,100.0,100.0,0.7408938545799931,0.18900353433163086,-0.7717154560359875,0.05627235648229852,0.7408938545799931,0.5449037638541524
ac_response,temperature_high,id_test,3,0.058261650591123,0.0042552671268267245,0.9994338390657892,100.0,100.0,0.7000720749888757,0.17858981504818258,-0.909204289351066,0.046321249759866595,0.7000720749888757,0.7050181035237074
ac_response,temperature_high,ood_test,3,0.06526167241802201,0.014022763727825868,0.9992191410555855,100.0,100.0,0.8434866047839966,0.21517515428163173,-0.6843085681861423,0.056616530978433915,0.8434866047839966,0.5757429493630003
capacitance,frequency_high,id_test,3,1.8394019773471689e-19,3.9904140419681407e-20,0.99690476876791,100.0,100.0,2.024429177296036e-18,5.16436014616336e-19,-41.23284176617638,1.3253270199425903e-19,2.024429177296036e-18,0.3824783245855408
capacitance,frequency_high,ood_test,3,1.2391296396262177e-18,5.903669066199477e-20,0.83064792557093,57.447916666666664,0.0,2.2278459433604947e-18,5.683280467756365e-19,-38.947703341968804,7.579546944717406e-19,1.1246167030945017e-17,0.3378794786862052
capacitance,length_high,id_test,3,1.9846519744998413e-19,4.7872629689764364e-20,0.9958531278139383,100.0,100.0,2.1765241872420386e-18,4.993696010529819e-19,-41.25739377643951,1.3237074054455468e-19,2.1765241872420386e-18,0.49914565870684807
capacitance,length_high,ood_test,3,7.121188650629202e-19,4.930286625388616e-19,0.9378735469603384,95.6875,75.0,2.8033198788363192e-18,6.437464280750467e-19,-40.71326948386511,3.2852834513350637e-19,3.8615419462406894e-18,0.6062728472264881
capacitance,temperature_high,id_test,3,3.0315708167600246e-19,2.6307938519883995e-19,0.987902551226106,99.76282051282051,97.43589743589745,3.1307971002434748e-18,5.123564660548312e-19,-41.00167748090519,1.7676380231891e-19,3.1351290417009135e-18,0.44544140186083325
capacitance,temperature_high,ood_test,3,3.3591253208922357e-19,5.219939659864628e-20,0.9908412001341329,100.0,100.0,3.560173947912923e-18,5.840719095966929e-19,-41.035871737362044,1.8344993033453737e-19,3.560173947912923e-18,0.4937718018231047
capacitance,trap_high,id_test,3,1.9764704308136265e-19,3.685405249746034e-20,0.9965111640134423,99.98717948717949,97.43589743589745,2.2117931242093604e-18,5.134481808639932e-19,-41.21526019867849,1.3947140142733182e-19,2.2119914825800955e-18,0.5031825105003125
capacitance,trap_high,ood_test,3,2.6503714302340176e-19,2.940518782420862e-20,0.9938930068214099,99.95052083333333,98.95833333333333,2.5238843597238232e-18,5.838628789121059e-19,-41.07298031930481,1.6391076383403224e-19,2.531870058403515e-18,0.458759838329948
capacitance,voltage_extreme_reverse,id_test,3,2.2249961060935517e-19,3.6118844950197313e-20,0.9960624432567972,100.0,100.0,2.2523556562257346e-18,5.745805245473814e-19,-41.11022015524927,1.5191268725585697e-19,2.2523556562257346e-18,0.3923430957213674
