task,scenario,n_seeds,ood_std_over_id_mean,ood_std_over_id_std,ood_epistemic_over_id_mean,ood_detection_auroc_mean,rmse_shift_ood_minus_id_mean,coverage_shift_ood_minus_id_pp_mean
ac_response,frequency_high,3,2.3389751523490703,0.4637986052097505,4.807770798246956,0.9383187342171717,1.8187485613690877,-66.66666666666667
ac_response,length_high,3,1.065595435438566,0.10127788198576348,1.422825524191045,0.5862441130298274,0.040072089671672896,0.0
ac_response,temperature_high,3,1.1996595846790177,0.09586246369711923,1.4252081239899752,0.6553659324306645,0.00700002182689901,0.0
capacitance,frequency_high,3,1.100340285641576,0.04144025124514682,1.1745196646589287,0.6994123840332032,1.0551894418915007e-18,-42.552083333333336
capacitance,length_high,3,1.2925239737767553,0.11768211303179439,1.4297284724826278,0.7854527794471154,5.136536676129361e-19,-4.3125
capacitance,temperature_high,3,1.1400245171445251,0.009463088715819284,1.2791965971234627,0.6974524914863781,3.275545041322112e-20,0.237179487179489
capacitance,trap_high,3,1.1390011287009196,0.06114138761577259,1.3068451555420824,0.6936503981370192,6.739009994203909e-20,-0.03665865384615093
capacitance,voltage_extreme_reverse,3,0.8803525326741258,0.026894232019653155,0.8599641293912098,0.5301492187500001,8.822692048872767e-19,-50.041666666666664
dark_current,length_high,3,1.100770459436352,0.0790173177061854,1.3787763809841198,0.6949180911680912,0.008651556401155745,0.0
dark_current,temperature_high,3,1.3951552558455613,0.10254227229166721,1.9568805158834814,0.9043625356125355,0.014159936536794026,-12.644230769230768
dark_current,trap_high,3,1.1058739405719085,0.1356627404440887,1.4742128188821433,0.6764423076923077,0.005899084866359588,2.008547008547007
dark_current,voltage_extreme_reverse,3,1.0553906569256828,0.05998729663248707,1.1362824977990666,0.6340422453703703,0.032984706763732545,-50.520833333333336
photo_current,length_high,3,1.0059029076655275,0.06218897669798517,1.4361234394985392,0.5905855618990384,0.0029176571363472305,-7.096354166666667
photo_current,temperature_high,3,0.8495577824893061,0.07450174360343575,1.493355362357124,0.157505133213141,0.0021938638858622346,-1.8880208333333333
photo_current,trap_high,3,0.9711164099519366,0.09416979374511426,1.4615453177267963,0.579902844551282,0.002006583390161996,-0.4557291666666667
photo_current,voltage_extreme_reverse,3,1.031296997737604,0.059739155557473424,0.989541291343537,0.5017632378472222,0.012626848998992498,-35.9375
