task,scenario,seed,domain,n_rows,n_groups,rmse,r2,raw_point_coverage_95,calibrated_point_coverage_95,raw_group_coverage_95,calibrated_group_coverage_95,raw_mpiw,calibrated_mpiw,mean_predictive_std,median_predictive_std,mean_epistemic_std,mean_aleatoric_std,gaussian_nll,gaussian_crps,interval_score_95,abs_error_std_spearman,aurc_abs_error
dark_current,voltage_extreme_reverse,42,id_test,192,16,0.029897754218184427,0.9799898978911525,93.75,93.75,93.75,93.75,0.09502607426614511,0.09502607426614511,0.024241345476057375,0.0212624586626084,0.012834893054867567,0.020530798365745513,-2.594650583807244,0.011119813944328746,0.1767780322354017,0.4130123701272279,0.0021246431615317756
dark_current,voltage_extreme_reverse,42,ood_test,48,16,0.06056808034441724,0.8711013632712428,47.91666666666667,47.91666666666667,0.0,0.0,0.10144962699568903,0.10144962699568903,0.025880006886655302,0.02419855106381855,0.014687789084046027,0.021075708291916684,0.5184032577626912,0.04080884304807166,0.6939361907487638,-0.006187581415544941,0.05635271554903484
dark_current,voltage_extreme_reverse,43,id_test,192,16,0.005083706364378557,0.9993161877534893,100.0,100.0,100.0,100.0,0.08387295045097154,0.08387295045097154,0.021396160829329432,0.01931342787434575,0.012796143252232432,0.01706157679528772,-2.9326127978327943,0.00536100309092349,0.08387295045097154,0.48059877112551885,0.001614676138296667
dark_current,voltage_extreme_reverse,43,ood_test,48,16,0.05708239913324113,0.8527116805347286,45.83333333333333,45.83333333333333,0.0,0.0,0.09295936876654855,0.09295936876654855,0.023714124685343962,0.021900817510225802,0.014905124074908136,0.01824830586379192,0.567656877498337,0.03850617504356948,0.6812846111610448,-0.36919235779418147,0.05925947470881283
dark_current,voltage_extreme_reverse,44,id_test,192,16,0.044120111335474374,0.9566461743636604,93.22916666666666,93.22916666666666,87.5,87.5,0.09285866202135301,0.09285866202135301,0.023688434189120606,0.0206915738565759,0.01310806204695282,0.019665041778993853,-1.9844755153586184,0.015596860288134553,0.34453505288155445,0.48103959254537076,0.0044043632920296
dark_current,voltage_extreme_reverse,44,ood_test,48,16,0.060405212731576605,0.872429302131241,41.66666666666667,41.66666666666667,0.0,0.0,0.0919522385413546,0.0919522385413546,0.023457203709529185,0.02169412103411185,0.014414539230303306,0.018362964359964977,1.0023538971754216,0.04112248460645593,0.7756457371562121,-0.24522362136343898,0.06101731891399275
dark_current,length_high,42,id_test,195,13,0.0037117172946011276,0.9996307560295341,100.0,100.0,100.0,100.0,0.0960677756619337,0.1323820031683292,0.02450708562804426,0.0217633975180967,0.013046128709515218,0.02072297015911151,-2.822977631529728,0.005902709192346055,0.1323820031683292,0.420451860363495,0.0017952914497376326
dark_current,length_high,42,ood_test,480,32,0.01474816547461916,0.9931512943561057,100.0,100.0,100.0,100.0,0.09885564535696449,0.13622370526101849,0.025218276876776604,0.02397100179048875,0.017904126869431634,0.017514722716876256,-2.590325683432417,0.009300946213222444,0.13622370526101849,-0.09972862295409268,0.011945496970517062
dark_current,length_high,43,id_test,195,13,0.01168979382819767,0.9948680483279663,100.0,100.0,100.0,100.0,0.08326863941772736,0.08326863941772736,0.021241999851461007,0.019983122254507,0.012272701698003761,0.01731422423921928,-2.7915528887223533,0.007135810760397562,0.08326863941772736,0.13822201362702097,0.005252930656332233
dark_current,length_high,43,ood_test,480,32,0.01837611172623514,0.9893673934720822,100.0,100.0,100.0,100.0,0.0987114644971003,0.0987114644971003,0.02518149604517861,0.02438472193277825,0.016752515259239566,0.018768568225063474,-2.5238383950671137,0.010471823366997635,0.0987114644971003,0.3073789382766418,0.008780364247950107
dark_current,length_high,44,id_test,195,13,0.004313533845083532,0.999333674033582,100.0,100.0,100.0,100.0,0.09043947783906174,0.09043947783906174,0.023071295367107534,0.0212631904216658,0.012954773247264633,0.019050338369344055,-2.8583291441278416,0.005676818369913617,0.09043947783906174,0.4577157746524462,0.0021231049008590764
dark_current,length_high,44,ood_test,480,32,0.01254543697049527,0.9950443105551829,100.0,100.0,100.0,100.0,0.09838310999225289,0.09838310999225289,0.025097732140880794,0.0240610503906218,0.018122894484656746,0.0171189700918992,-2.662630869068095,0.008173195738253503,0.09838310999225289,0.10782588032066111,0.008494768034432838
dark_current,temperature_high,42,id_test,195,13,0.0053444405904622926,0.9989427142647869,100.0,100.0,100.0,100.0,0.08264404297926191,0.08264404297926191,0.021082664025321857,0.0187014340369281,0.0116779173135742,0.017506875042014463,-2.940143749819703,0.005455513994425891,0.08264404297926191,0.3626373626373626,0.002764595030872895
dark_current,temperature_high,42,ood_test,480,32,0.04041551379070993,0.8986658555525017,84.58333333333333,84.58333333333333,65.625,65.625,0.11679284119094628,0.11679284119094628,0.029794092140547474,0.03061555698262965,0.022460862155286754,0.01926462454659671,-1.5820748959539173,0.02278686531330488,0.2590392741084955,0.13985900546443344,0.02687314268799288
dark_current,temperature_high,43,id_test,195,13,0.002348530230084837,0.9996968327808617,100.0,100.0,100.0,100.0,0.07369196155856994,0.07369196155856994,0.01879896978534942,0.0177966877572021,0.0107451178233871,0.015376676509482694,-3.0643127225725433,0.0045068063699107855,0.07369196155856994,0.14380876855103655,0.001715147646574703
dark_current,temperature_high,43,ood_test,480,32,0.049952064578745396,0.8452015946934694,71.66666666666667,71.66666666666667,62.5,62.5,0.10961496832186667,0.10961496832186667,0.027963002122925126,0.027622112534187997,0.022185878144514323,0.016599608745913895,-0.6495900017588153,0.02992452984511244,0.47173883810871897,0.010502541243668593,0.03820556410134548
dark_current,temperature_high,44,id_test,195,13,0.05500715360404078,0.9087374045902284,92.3076923076923,92.3076923076923,92.3076923076923,92.3076923076923,0.08008762812461549,0.08008762812461549,0.020430517378728388,0.018633385237263,0.011162234273019364,0.017056433201519457,-0.8305905107350595,0.01827463008227241,0.5092709099128767,0.4119454919160368,0.0038038439213016304
dark_current,temperature_high,44,ood_test,480,32,0.014812355665514665,0.9863884413207652,98.125,98.125,96.875,96.875,0.10289555485861347,0.10289555485861347,0.026248866035360533,0.02604955731794605,0.021013343984639953,0.015234012804281126,-2.5761602819408456,0.00891356914623801,0.10746827064004569,0.13677756133863328,0.007410802705423431
dark_current,trap_high,42,id_test,195,13,0.040863120131631826,0.9512948258942039,92.3076923076923,92.3076923076923,92.3076923076923,92.3076923076923,0.08729779263873247,0.11806073300779481,0.02226984506090109,0.0197341948877991,0.012014338152354424,0.018694796177964972,-2.3231836448163588,0.01423196591758139,0.25211177606271906,0.32314004110764044,0.002338023764977362
dark_current,trap_high,42,ood_test,480,32,0.02790782573246093,0.976250445672044,88.125,100.0,87.5,100.0,0.09513161063065241,0.12865511651303568,0.02426826801802353,0.0225340498321531,0.017709588131142383,0.016151043064293328,-2.1375121817635914,0.016173486305596962,0.12865511651303568,0.1764635480188716,0.019551503685995106
dark_current,trap_high,43,id_test,195,13,0.0034702440007704847,0.9995218429116148,100.0,100.0,100.0,100.0,0.07700317789436034,0.07700317789436034,0.01964366783019392,0.018367281554268,0.011198602121099249,0.016105304810157307,-3.014389835580247,0.004801071038139179,0.07700317789436034,0.35118710450080104,0.0018479680626007518
dark_current,trap_high,43,ood_test,480,32,0.022609142301143477,0.9844126734424284,98.33333333333333,98.33333333333333,84.375,84.375,0.09616800158512999,0.09616800158512999,0.02453265346559434,0.02282734187552465,0.016774370186584463,0.017723488813414276,-2.4626241551011274,0.01218349901436132,0.09971342895547004,0.6437428113837299,0.009852581076429275
dark_current,trap_high,44,id_test,195,13,0.005954471753284513,0.9988885344655077,100.0,100.0,100.0,100.0,0.35266836667947027,0.35266836667947027,0.08996642007129341,0.0908040389082058,0.022510739162829863,0.08685680153837516,-1.5022936178207,0.021191263537362576,0.35266836667947027,-0.1688811924452572,0.0049733692094633625
dark_current,trap_high,44,ood_test,480,32,0.017468122451161184,0.9906954384140546,100.0,100.0,100.0,100.0,0.3452628792131239,0.3452628792131239,0.0880772651053887,0.0900983478899205,0.03265637694613637,0.08122781991265748,-1.5011155571246444,0.022031208202569763,0.3452628792131239,-0.3606108316442345,0.017787954167672693
photo_current,voltage_extreme_reverse,42,id_test,192,16,0.00464866024879508,0.9507655347007596,97.39583333333334,100.0,93.75,100.0,0.01703145424850042,0.028154448673540205,0.004344758736862306,0.00425093426481645,0.0018236318623707853,0.0039185716456627715,-3.9657013775958014,0.002688736657972589,0.028154448673540205,0.346348303176627,0.003251045910998885
photo_current,voltage_extreme_reverse,42,ood_test,64,16,0.017650413160273524,-8.67807739653278,32.8125,50.0,0.0,6.25,0.018737968848215776,0.030975463074736323,0.004780094093932535,0.00467951816287945,0.0019076025533995016,0.004340531702810046,2.638220512199977,0.01268995284843933,0.18341534466813547,0.1138278388278388,0.014047491830540304
photo_current,voltage_extreme_reverse,43,id_test,192,16,0.0042727447395275505,0.9587076820875721,100.0,100.0,100.0,100.0,0.029429819545769186,0.029429819545769186,0.0075076070269818876,0.00751914227118055,0.0027405152697396805,0.006961930895723299,-3.8225095919342187,0.002651093226754641,0.029429819545769186,0.35899309605837837,0.0026539997798411125
photo_current,voltage_extreme_reverse,43,ood_test,64,16,0.018360542798835196,-6.734243300252567,42.1875,42.1875,0.0,0.0,0.029421669495612132,0.029421669495612132,0.0075055279325540614,0.0073551418034585,0.0027358438054225437,0.006949156109522757,-1.0526438491268313,0.01251826851498767,0.2081487095945759,0.3039835164835165,0.013593658637782002
photo_current,voltage_extreme_reverse,44,id_test,192,16,0.0056586194525189495,0.9294403599118384,100.0,100.0,100.0,100.0,0.07163745783873304,0.07163745783873304,0.018274861693554304,0.0182050125229315,0.004252240177906963,0.017757449128247456,-3.035429502657958,0.004951750695208475,0.07163745783873304,-0.022868458888316203,0.004078634731488746
photo_current,voltage_extreme_reverse,44,ood_test,64,16,0.016449615478710353,-4.388699623283507,100.0,100.0,100.0,100.0,0.07120549143120006,0.07120549143120006,0.01816466618142855,0.0180676881114639,0.003930271654092007,0.01771945306373853,-2.68325198174441,0.009543074762099969,0.07120549143120006,0.41373626373626365,0.011581824695409002
photo_current,length_high,42,id_test,208,13,0.002517369494957682,0.9870357217115855,100.0,100.0,100.0,100.0,0.04206701040671802,0.04206701040671802,0.010731380205795353,0.0107396239492197,0.00294397176603619,0.01027546751052007,-3.5913710693798695,0.0027430298884822107,0.04206701040671802,-0.052660916505310094,0.002168924983494529
photo_current,length_high,42,ood_test,512,32,0.007282167117139399,0.8942056977945563,100.0,100.0,100.0,100.0,0.03944576644186391,0.03944576644186391,0.0100626955208836,0.01010246105249555,0.004346054344863421,0.009016095967435144,-3.413873337672132,0.004255608567863641,0.03944576644186391,-0.06379685300580218,0.00651577122931403
photo_current,length_high,43,id_test,208,13,0.003142826726379641,0.980085511889337,100.0,100.0,100.0,100.0,0.01645473973167619,0.01645473973167619,0.004197637686652039,0.0039642317905332,0.0018465971780879783,0.003747093784997214,-4.298177005945191,0.0018091347124008375,0.01645473973167619,0.09656190491430766,0.00233590116968826
photo_current,length_high,43,ood_test,512,32,0.007390241038371565,0.8910422308214361,78.7109375,78.7109375,46.875,46.875,0.017432840317234254,0.017432840317234254,0.004447153142151544,0.004348904668706599,0.0028501139745318585,0.003378923200694989,-3.2872860959809147,0.004313813266913005,0.045325511678393514,0.35924723695654665,0.004708942172331913
photo_current,length_high,44,id_test,208,13,0.005109064409271164,0.9471447764754366,100.0,100.0,100.0,100.0,0.07613174670029597,0.07613174670029597,0.019421363954157087,0.0193823053632962,0.004121805520751129,0.018964221141114047,-2.9881258009289025,0.005065275151148458,0.07613174670029597,0.1348420839267521,0.0036556859551317897
photo_current,length_high,44,ood_test,512,32,0.004849823884139213,0.9530762262787025,100.0,100.0,100.0,100.0,0.07769838592272463,0.07769838592272463,0.01982101681702154,0.019755615844655648,0.005311662692355331,0.019076557008853894,-2.972155606264907,0.005101161646247451,0.07769838592272463,-0.11585041370549662,0.004561160600279895
photo_current,temperature_high,42,id_test,208,13,0.0037665807016524656,0.9726184349030447,100.0,100.0,100.0,100.0,0.044884936384443797,0.044884936384443797,0.011450238873582545,0.0112530051286991,0.0029121346354184525,0.011043729203059858,-3.4987775696723684,0.0031653758767199907,0.044884936384443797,-0.10947443098472848,0.0035290394623691415
photo_current,temperature_high,42,ood_test,512,32,0.00608496069781894,0.9309286041237052,100.0,100.0,100.0,100.0,0.04191384436159115,0.04191384436159115,0.010692307235099735,0.01087190506997635,0.004265949083817543,0.009750759808860796,-3.469826378807664,0.0037174568928218217,0.04191384436159115,0.4525041556516862,0.003234921919374136
