task,seed,model,rmse_target,mae_target,r2_target,rmse_raw,mae_raw,medape_percent,p95ape_percent,reused,wall_time_s,train_groups,validation_groups,calibration_groups,test_groups,param_count,train_time_s
I_dark,42,bkan,0.0037765267490702434,0.0029457458022002134,0.999515847556408,2.474367219800132e-09,1.8964736877527846e-09,0.5669489676485779,1.625469164508122,True,0.0016560000367462635,104,16,24,16,,
I_dark,42,dkan,0.014704706621312685,0.00906300791036478,0.9926597690228779,7.044066978196713e-09,5.175202073560122e-09,1.3282045504528819,7.122368577865635,True,0.0014906999422237277,104,16,24,16,,
I_dark,42,mlp_l,0.016542053204955078,0.012178371325447716,0.9907108532370921,7.936261775575588e-09,6.593582697054932e-09,2.1236315030703423,10.382286634892795,True,0.0015297000063583255,104,16,24,16,,
I_dark,42,poly3_ridge,0.01118058665956944,0.008909566573440341,0.9957564806962605,5.8874105077147324e-09,5.050208925603973e-09,1.6314133372569706,5.3715034099544345,True,0.0016417999286204576,104,16,24,16,,
I_dark,42,spline_ridge,0.003614173880010848,0.002579657832783,0.9995565801980651,2.0477079503074783e-09,1.570926921808945e-09,0.4487999767146642,1.7811672834258556,True,0.001489599933847785,104,16,24,16,,
I_dark,43,bkan,0.033082573717362174,0.011678891517522223,0.9775227808520589,1.3631939996201881e-08,6.160955547730408e-09,0.5117529223752131,32.46748087351841,True,0.0014158999547362328,104,16,24,16,,
I_dark,43,dkan,0.04117345321774913,0.018315158573219137,0.9651840229276051,1.5909017696301088e-08,1.0283046716422071e-08,1.6837316029840643,39.26858062685485,True,0.001436099992133677,104,16,24,16,,
I_dark,43,mlp_l,0.015791352097696793,0.011495416050048338,0.9948786714731658,9.277949589112411e-09,7.4014949343242e-09,1.7566776436342788,7.664919267694846,True,0.0013763000024482608,104,16,24,16,,
I_dark,43,poly3_ridge,0.01090753161501176,0.00869089722630943,0.9975565865342548,7.287517136524625e-09,6.13709092394861e-09,1.6178692502335497,5.197908403246801,True,0.0014170000795274973,104,16,24,16,,
I_dark,43,spline_ridge,0.026660569968838366,0.012138138539321592,0.9854023528519548,2.0954683353502834e-08,8.645902319548264e-09,0.6513533863127853,18.457713625678323,True,0.0013652000343427062,104,16,24,16,,
I_dark,44,bkan,0.003309120996157194,0.0026003646231627098,0.9995961587707405,2.660766594846477e-09,1.9864825506088504e-09,0.4683672885369656,1.4836934690051287,True,0.0014307999517768621,104,16,24,16,,
