task,baseline,n_pairs,bkan_rmse_mean,baseline_rmse_mean,paired_delta_mean,paired_delta_median,paired_bootstrap_ci95_low,paired_bootstrap_ci95_high,wins,ties,losses,standardized_effect_dz,selection_rule
I_dark,spline_ridge,10,0.007692457779675329,0.0062314324241857285,0.0014610253554895997,3.550032775429999e-05,-0.00010819017551848315,0.0032212879976034,5,0,5,0.5191003576132944,lowest mean RMSE across the 10 matched test splits
I_photo,mlp_l,10,0.00502398709000596,0.00467572857001105,0.00034825851999491,0.0002743552493105995,-4.433516193677725e-05,0.0007470887715160156,2,0,8,0.5135204429618662,lowest mean RMSE across the 10 matched test splits
AC_Response,spline_ridge,10,0.06463519994046825,0.11175311467042322,-0.04711791472995499,-0.0500099870697187,-0.05271683503471023,-0.04092130300622999,10,0,0,-4.682945754147267,lowest mean RMSE across the 10 matched test splits
Capacitance,dkan,10,6.853730269380608e-20,2.2122054780311497e-19,-1.5268324510930894e-19,-1.331750451273287e-19,-1.884049985816846e-19,-1.2064584271884292e-19,10,0,0,-2.6324333406527765,lowest mean RMSE across the 10 matched test splits
