stage,step,temperature,train_total,train_value,train_observed_weight,train_bayesian_distillation,train_derivative,train_curve_shape,train_kan_residual,train_complexity,train_binary,validation_total,validation_value,validation_observed_weight,validation_bayesian_distillation,validation_derivative,validation_curve_shape,validation_kan_residual,validation_complexity,validation_binary,active_terms
symbolic_warmup,1,2.0,0.4960610866546631,0.49659764766693115,0.0,0.4960610866546631,0.0,0.0,0.008378490805625916,0.5062309503555298,0.24963536858558655,0.49310868978500366,0.4941539764404297,0.0,0.49310868978500366,0.0,0.0,0.007240732666105032,0.5062292218208313,0.24963533878326416,19
symbolic_warmup,25,2.0,0.4268914759159088,0.42742788791656494,0.0,0.4268914759159088,0.0,0.0,0.008378490805625916,0.5071249008178711,0.2496255785226822,0.42390772700309753,0.42495301365852356,0.0,0.42390772700309753,0.0,0.0,0.007240732666105032,0.507218599319458,0.24962428212165833,19
symbolic_warmup,50,2.0,0.3496555984020233,0.3501918613910675,0.0,0.3496555984020233,0.0,0.0,0.008378490805625916,0.5104430317878723,0.24955947697162628,0.3536818325519562,0.3547271192073822,0.0,0.3536818325519562,0.0,0.0,0.007240732666105032,0.5106148719787598,0.24955563247203827,19
symbolic_warmup,75,2.0,0.26626887917518616,0.2667936086654663,0.0,0.26626887917518616,0.0,0.0,0.008378490805625916,0.5141228437423706,0.24947555363178253,0.2769162356853485,0.27795276045799255,0.0,0.2769162356853485,0.0,0.0,0.007240732666105032,0.5142720937728882,0.24947136640548706,19
symbolic_warmup,100,2.0,0.18125376105308533,0.18175408244132996,0.0,0.18125376105308533,0.0,0.0,0.008378490805625916,0.5172063112258911,0.2493455857038498,0.18544526398181915,0.18643219769001007,0.0,0.18544526398181915,0.0,0.0,0.007240732666105032,0.5173075199127197,0.24933946132659912,19
symbolic_warmup,125,2.0,0.10006596148014069,0.10054347664117813,0.0,0.10006596148014069,0.0,0.0,0.008378490805625916,0.5187098979949951,0.24919813871383667,0.09553351998329163,0.09648548066616058,0.0,0.09553351998329163,0.0,0.0,0.007240732666105032,0.5187199711799622,0.24919261038303375,19
symbolic_warmup,150,2.0,0.030944878235459328,0.03125939518213272,0.0,0.030944878235459328,0.0,0.0,0.008378490805625916,0.5183294415473938,0.24908564984798431,0.024828068912029266,0.025427889078855515,0.0,0.024828068912029266,0.0,0.0,0.007240732666105032,0.5183004140853882,0.2490822672843933,19
symbolic_warmup,175,2.0,0.00255110883153975,0.002628140151500702,0.0,0.00255110883153975,0.0,0.0,0.008378490805625916,0.517657458782196,0.2489991933107376,0.002077618148177862,0.0020723941270262003,0.0,0.002077618148177862,0.0,0.0,0.007240732666105032,0.5176237225532532,0.24899771809577942,19
symbolic_warmup,200,2.0,0.0001715352264000103,0.00017250588280148804,0.0,0.0001715352264000103,0.0,0.0,0.008378490805625916,0.5169194936752319,0.24899916350841522,0.00011826622358057648,7.946548430481926e-05,0.0,0.00011826622358057648,0.0,0.0,0.007240732666105032,0.5169046521186829,0.2489994764328003,19
symbolic_warmup,225,2.0,8.713734860066324e-05,0.00011756615276681259,0.0,8.713734860066324e-05,0.0,0.0,0.008378490805625916,0.5167293548583984,0.24900029599666595,6.117311568232253e-05,5.9152418543817475e-05,0.0,6.117311568232253e-05,0.0,0.0,0.007240732666105032,0.5167247653007507,0.24900025129318237,19
