task,scenario,seed,ood_std_over_id,ood_epistemic_over_id,ood_detection_auroc_predictive_std,rmse_shift_ood_minus_id,coverage_shift_ood_minus_id_pp
photo_current,voltage_extreme_reverse,42,1.1011841877855304,1.0457823967591404,0.67529296875,0.012928379580213912,-48.4375
photo_current,voltage_extreme_reverse,43,0.9996100300407885,0.9985359524920198,0.49560546875,0.014028937102021941,-57.8125
photo_current,voltage_extreme_reverse,44,0.9939707801179538,0.9243095431577312,0.333740234375,0.010755878508931525,0.0
photo_current,length_high,42,0.9398567024752428,1.4760506223028145,0.25369966947115385,0.004779062158296658,0.0
photo_current,length_high,43,1.0603386816088651,1.543824493845257,0.6584190955528846,0.004219211651224926,-20.703125
photo_current,length_high,44,1.0205936327632297,1.2887498352937368,0.8697744516225961,-0.0002634363356730698,0.0
photo_current,temperature_high,42,0.9348813877211131,1.4645757716702508,0.3084528996394231,0.002310952196790189,0.0
photo_current,temperature_high,43,0.8241677950549849,1.4643184707368988,0.05016150841346154,0.0019767417460586512,-3.125
photo_current,temperature_high,44,0.7932130061908382,1.5489496600131487,0.11954439603365385,0.002276996432168406,-2.5390625
photo_current,trap_high,42,0.8614027299947306,1.5574237900793486,0.0819561298076923,0.0003231091922665944,-1.3671875
photo_current,trap_high,43,1.0347668132588472,1.5360734956798223,0.9260347806490385,0.0006941125604559293,0.0
photo_current,trap_high,44,1.0157243970189884,1.2906251465716951,0.7301213191105769,0.004997333336458773,0.0
