stage,step,temperature,train_total,train_value,train_observed_weight,train_bayesian_distillation,train_derivative,train_curve_shape,train_kan_residual,train_complexity,train_binary,validation_total,validation_value,validation_observed_weight,validation_bayesian_distillation,validation_derivative,validation_curve_shape,validation_kan_residual,validation_complexity,validation_binary,active_terms
symbolic_warmup,1,2.0,0.25403493642807007,0.25323978066444397,0.0,0.25403493642807007,0.0,0.07891986519098282,0.008576705120503902,0.3309682011604309,0.16301506757736206,0.2542591094970703,0.25339236855506897,0.0,0.2542591094970703,0.0,0.07879416644573212,0.0049912044778466225,0.3309627175331116,0.16301527619361877,68
symbolic_warmup,25,2.0,0.17799435555934906,0.17719921469688416,0.0,0.17799435555934906,0.0,0.051030922681093216,0.008576705120503902,0.33139845728874207,0.163003072142601,0.18001602590084076,0.17914928495883942,0.0,0.18001602590084076,0.0,0.051058992743492126,0.0049912044778466225,0.3314357101917267,0.16300201416015625,68
symbolic_warmup,50,2.0,0.09432000666856766,0.09352495521306992,0.0,0.09432000666856766,0.0,0.020128626376390457,0.008576705120503902,0.33259230852127075,0.16297376155853271,0.0984627977013588,0.09759605675935745,0.0,0.0984627977013588,0.0,0.020197222009301186,0.0049912044778466225,0.33264604210853577,0.162972554564476,68
symbolic_warmup,75,2.0,0.011512687429785728,0.011017772369086742,0.0,0.011512687429785728,0.0,0.0021683708764612675,0.008576705120503902,0.3338274657726288,0.16294394433498383,0.009835979901254177,0.009395052678883076,0.0,0.009835979901254177,0.0,0.0016902931965887547,0.0049912044778466225,0.33386239409446716,0.1629430055618286,68
symbolic_warmup,90,2.0,0.0019347126362845302,0.0019727435428649187,0.0,0.0019347126362845302,0.0,0.0007806637440808117,0.008576705120503902,0.3341689705848694,0.1629301756620407,0.0019869825337082148,0.002103613456711173,0.0,0.0019869825337082148,0.0,0.0006614611484110355,0.0049912044778466225,0.33417433500289917,0.16292960941791534,68
symbolic_competition,1,2.0,0.0019709966145455837,0.0020185760222375393,0.0,0.0019659397657960653,0.0,0.0007899296469986439,0.008576705120503902,0.33417433500289917,0.16292960941791534,0.0023431230802088976,0.0023789135739207268,0.0,0.0023381023202091455,0.0,0.0007525645196437836,0.0049912044778466225,0.3341609835624695,0.16292960941791534,68
symbolic_competition,25,1.82208560789733,0.0008741815690882504,0.0008678138838149607,0.0,0.000869121344294399,0.0,0.0004157009534537792,0.008576705120503902,0.33461418747901917,0.16283874213695526,0.0009100661845877767,0.0009458954446017742,0.0,0.0009050419321283698,0.0,0.00029438501223921776,0.0049912044778466225,0.33460327982902527,0.16283828020095825,68
symbolic_competition,50,1.6535665402746547,0.00036516657564789057,0.0003603796358220279,0.0,0.0003601017815526575,0.0,0.00017702461627777666,0.008576705120503902,0.33518674969673157,0.16271768510341644,0.00038927971036173403,0.00041722363675944507,0.0,0.00038425083039328456,0.0,0.00016103491361718625,0.0049912044778466225,0.3351798951625824,0.1627170294523239,68
symbolic_competition,75,1.500633280491814,0.0001667816104600206,0.00017243837646674365,0.0,0.00016171119932550937,0.0,8.96897618076764e-05,0.008576705120503902,0.3358977138996124,0.16256672143936157,0.0001832132984418422,0.00021703388483729213,0.0,0.0001781788159860298,0.0,0.00010832009866135195,0.0049912044778466225,0.33589231967926025,0.16256599128246307,68
symbolic_competition,100,1.3618443453419096,9.592391143087298e-05,0.00010385909990873188,0.0,9.084759221877903e-05,0.0,4.688663830165751e-05,0.008576705120503902,0.3366694748401642,0.1623854786157608,0.00010431343980599195,0.00013705012679565698,0.0,9.927305654855445e-05,0.0,5.8401015849085525e-05,0.0049912044778466225,0.3366619050502777,0.16238495707511902,68
