grid,iteration,train_total_loss,train_value_loss,train_derivative_loss,validation_total_loss,validation_value_loss,validation_derivative_loss
2,1,0.11132971942424774,0.10604165494441986,0.10576128214597702,0.08886399865150452,0.08351790904998779,0.1069217324256897
2,2,0.06588784605264664,0.06119094043970108,0.09393813461065292,0.0744832307100296,0.06973374634981155,0.09498967975378036
2,3,0.0385710671544075,0.03556258603930473,0.06016959995031357,0.060506124049425125,0.057474926114082336,0.06062396615743637
2,4,0.03116934560239315,0.030257072299718857,0.018245462328195572,0.044156868010759354,0.04324439540505409,0.018249481916427612
2,5,0.030026981607079506,0.029255079105496407,0.015438064001500607,0.05066385492682457,0.049882758408784866,0.015621921047568321
2,6,0.02813095971941948,0.027373388409614563,0.015151409432291985,0.04948173835873604,0.04870554432272911,0.015523849986493587
2,7,0.026148345321416855,0.025407087057828903,0.014825152233242989,0.047733865678310394,0.0470062680542469,0.01455196738243103
2,8,0.02349475584924221,0.023012224584817886,0.009650607593357563,0.06185385584831238,0.06138329207897186,0.009411239065229893
2,9,0.021391842514276505,0.02087542414665222,0.010328383184969425,0.061764005571603775,0.06125878542661667,0.010104379616677761
2,10,0.01859036087989807,0.01807226799428463,0.0103618698194623,0.07201236486434937,0.07147659361362457,0.010715428739786148
2,11,0.016142770648002625,0.015697097405791283,0.008913453668355942,0.07539492100477219,0.07493841648101807,0.009130092337727547
4,1,0.02999196946620941,0.028625477105379105,0.027329856529831886,0.04506242275238037,0.04368405044078827,0.027567457407712936
4,2,0.02796196937561035,0.026877790689468384,0.02168356068432331,0.03745937719941139,0.03635883331298828,0.02201089635491371
4,3,0.02530696801841259,0.024542858824133873,0.015282174572348595,0.027949918061494827,0.02718319557607174,0.015334459021687508
4,4,0.023410970345139503,0.02279886230826378,0.012242156080901623,0.02613152377307415,0.02550744265317917,0.012481624260544777
4,5,0.019393885508179665,0.018855098634958267,0.010775736533105373,0.04444940760731697,0.043909408152103424,0.010799986310303211
4,6,0.014039886184036732,0.013628288172185421,0.00823196116834879,0.04766617715358734,0.04725174978375435,0.008288581855595112
4,7,0.010424602776765823,0.010060767643153667,0.007276695687323809,0.045785095542669296,0.04541636258363724,0.007374631240963936
4,8,0.0075370389968156815,0.007292057387530804,0.0048996321856975555,0.043393246829509735,0.04313405230641365,0.00518392538651824
4,9,0.005412135273218155,0.0052068205550313,0.004106295760720968,0.04373842105269432,0.043520502746105194,0.004358372651040554
4,10,0.0030844490975141525,0.00295779830776155,0.002533016027882695,0.053743742406368256,0.05361182615160942,0.002638358622789383
4,11,0.0022160597145557404,0.00211533484980464,0.0020144982263445854,0.059766292572021484,0.059659652411937714,0.002132816705852747
8,1,0.0318748839199543,0.0281657837331295,0.07418199628591537,0.030216136947274208,0.026539424434304237,0.07353424280881882
8,2,0.022184045985341072,0.019660476595163345,0.05047139152884483,0.0338125079870224,0.03126247227191925,0.051000721752643585
8,3,0.01497675385326147,0.013656070455908775,0.02641366608440876,0.03154284134507179,0.030154235661029816,0.027772117406129837
8,4,0.010001219809055328,0.008965463377535343,0.020715123042464256,0.030918162316083908,0.029788972809910774,0.022583771497011185
8,5,0.006800660863518715,0.005815235432237387,0.019708508625626564,0.03740505129098892,0.036421578377485275,0.019669460132718086
8,6,0.0039513856172561646,0.00321785407140851,0.01467063557356596,0.035877525806427,0.035125620663166046,0.015038089826703072
8,7,0.0023743221536278725,0.001793844043277204,0.011609560810029507,0.03805670514702797,0.037441179156303406,0.012310496531426907
8,8,0.0015785545110702515,0.001107403659261763,0.009423017501831055,0.03870685026049614,0.0381920225918293,0.010296549648046494
