task,model,fraction,seed,rmse_target,mae_target,r2_target,rmse_raw,mae_raw,medape_percent,p95ape_percent,param_count,train_time_s,wall_time_s,n_train,n_test
Capacitance,dkan,0.01,42,3.2077521892230705e-19,1.5976014796275945e-19,0.9906303272425443,3.2077521892230705e-19,1.5976014796275945e-19,0.3129418265660955,1.6148069759491923,1088,3.2857317999005318,3.7587201001588255,448,19200
Capacitance,bkan,0.01,42,1.8267738794416405e-18,1.0159188731634089e-18,0.6961268070361952,1.8267738794416405e-18,1.0159188731634089e-18,1.783316341471856,13.954079081958618,1872,3.6168309999629855,4.69972120015882,448,19200
Capacitance,mlp_n,0.01,42,6.424556593876528e-19,4.301829893376119e-19,0.9624154702035917,6.424556593876528e-19,4.301829893376119e-19,1.031820122009278,4.329641848428967,801,0.2637046000454575,0.26800609985366464,448,19200
Capacitance,mlp_l,0.01,42,5.947876333420814e-19,4.0131410629253194e-19,0.9677858509738853,5.947876333420814e-19,4.0131410629253194e-19,0.9635641790418057,4.046261622913304,2625,0.30359849985688925,0.30806030007079244,448,19200
Capacitance,dkan,0.01,43,2.4710644922737084e-19,1.4280034245441616e-19,0.994439792958431,2.4710644922737084e-19,1.4280034245441616e-19,0.30478036673518966,1.514802082858477,1088,2.688869900070131,2.7282230998389423,448,19200
Capacitance,bkan,0.01,43,2.1237133869758048e-18,1.1855184057056795e-18,0.5893095422014316,2.1237133869758048e-18,1.1855184057056795e-18,1.842568820521925,15.65875166355479,1872,3.382202100008726,4.445646800100803,448,19200
Capacitance,mlp_n,0.01,43,6.527643545162488e-19,4.86330251543424e-19,0.9611996480694452,6.527643545162488e-19,4.86330251543424e-19,1.323236970401673,4.010905599365321,801,0.257285000057891,0.2606315999291837,448,19200
Capacitance,mlp_l,0.01,43,5.044875060823437e-19,3.5249953465919244e-19,0.9768247923917912,5.044875060823437e-19,3.5249953465919244e-19,0.8450955748891009,3.3904590192088784,2625,0.2593677998520434,0.26299329986795783,448,19200
Capacitance,dkan,0.01,44,4.522246717225292e-19,2.3870913824380137e-19,0.9813777862461768,4.522246717225292e-19,2.3870913824380137e-19,0.48335138223160445,2.4337537726253253,1088,2.6485795001499355,2.686035100137815,448,19200
Capacitance,bkan,0.01,44,2.082430673671354e-18,1.095640127143303e-18,0.6051211189257936,2.082430673671354e-18,1.095640127143303e-18,1.609132052483881,15.35437675175254,1872,3.5846412000246346,4.647864900063723,448,19200
Capacitance,mlp_n,0.01,44,6.345300089762778e-19,4.423665605942461e-19,0.9633370729038558,6.345300089762778e-19,4.423665605942461e-19,1.1158210874367678,4.1501439105250775,801,0.25949519989080727,0.2631847998127341,448,19200
Capacitance,mlp_l,0.01,44,5.064727403836196e-19,3.4102363131556506e-19,0.9766420376509571,5.064727403836196e-19,3.4102363131556506e-19,0.808345407089841,3.3524947153089375,2625,0.2955523000564426,0.29866679990664124,448,19200
