seed,task,model,mae_log,rmse_log,mae_linear,mae_model_space,rmse_model_space,r2_model_space,picp_95,mpiw_log,mean_std_log,raw_picp_95,calibrated_picp_95,raw_mpiw_log,calibrated_mpiw_log,raw_gaussian_nll_model_space,calibrated_gaussian_nll_model_space,raw_interval_score_95,calibrated_interval_score_95,raw_curve_coverage_95,calibrated_curve_coverage_95,mpiw_model_space,mean_std_model_space,calibration_z,calibration_raw_quantile,calibration_std_scale_vs_normal,calibration_unit,calibration_score_count,derivative_mae_model_space,derivative_rmse_model_space,inference_method,comparison_eligible,comparison_status,hmc_acceptance_rate,train_curve_count,validation_curve_count,calibration_curve_count,test_curve_count,train_samples,validation_samples,calibration_samples,test_samples,train_fraction,validation_fraction,calibration_fraction,test_fraction,split_seed,run_label,raw_curve_coverage_95_wilson_low,raw_curve_coverage_95_wilson_high,calibrated_curve_coverage_95_wilson_low,calibrated_curve_coverage_95_wilson_high
42,I_dark,bayesian_kan_vi,0.002945749173833,0.0037765277665993,1.915816175441883e-09,0.002945749173833,0.0037765277665993,0.9995158472955126,100.0,0.0870158404231684,0.0221979184752981,100.0,100.0,0.0870158404231686,0.0870158404231684,-2.914074248338892,-2.914074216933995,0.0870158404231686,0.0870158404231684,100.0,100.0,0.0870158404231684,0.0221979184752981,1.96,0.5700383580429159,1.0,curve,24.0,0.0179464463063107,0.0465924645680111,vi,True,eligible,,104,16,24,16,1560,240,360,240,0.65,0.1,0.15,0.1,42,confirmatory,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
42,I_photo,bayesian_kan_vi,0.0023598836854408,0.0029031010470092,2.7057614915883683e-06,0.0023598836854408,0.0029031010470092,0.9834974558160384,100.0,0.0400910239447037,0.0064053908917927,100.0,100.0,0.0251091322958275,0.0400910239447037,-4.05108475965001,-3.641791896128945,0.0251091322958275,0.0400910239447037,100.0,100.0,0.0400910239447037,0.0064053908917927,3.129475204711778,3.129475204711778,1.5966710228121317,curve,24.0,0.0019176271017594,0.0040372797238785,vi,True,eligible,,104,16,24,16,1664,256,384,256,0.65,0.1,0.15,0.1,42,confirmatory,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
42,AC_Response,bayesian_kan_vi,0.027632278209431,0.0538239339112872,0.0276323728553475,0.027632278209431,0.0538239339112872,0.9995090834646974,100.0,0.4960558014271555,0.1265448473028458,100.0,100.0,0.4960558014271556,0.4960558014271555,-1.2606889613501158,-1.2606889531930452,0.4960558014271556,0.4960558014271555,100.0,100.0,0.4960558014271555,0.1265448473028458,1.96,1.0374332957895005,1.0,curve,24.0,,,vi,True,eligible,,104,16,24,16,2912,448,672,448,0.65,0.1,0.15,0.1,42,confirmatory,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
43,I_dark,bayesian_kan_vi,0.0116788811091207,0.0330825603236056,6.099483174130414e-09,0.0116788811091207,0.0330825603236056,0.9775227990522354,93.75,0.0720663689279412,0.0183842777877401,93.75,93.75,0.0720663689279415,0.0720663689279412,-2.3648276573804305,-2.364827036517243,0.2580308066513393,0.2580309438319219,93.75,93.75,0.0720663689279412,0.0183842777877401,1.96,1.201956686015882,1.0,curve,24.0,0.0199594540478064,0.066390118737958,vi,True,eligible,,104,16,24,16,1560,240,360,240,0.65,0.1,0.15,0.1,43,confirmatory,71.67126242970106,98.88806552353576,71.67126242970106,98.88806552353576
43,I_photo,bayesian_kan_vi,0.004961842999247,0.0060278849542069,5.670823802837548e-06,0.004961842999247,0.0060278849542069,0.934736911625621,100.0,0.0395894892083564,0.008022250374099,100.0,100.0,0.031447221466468,0.0395894892083564,-3.6514458141826367,-3.518188549194753,0.031447221466468,0.0395894892083564,100.0,100.0,0.0395894892083564,0.008022250374099,2.467480280606619,2.467480280606619,1.2589185105135812,curve,24.0,0.0022221222401753,0.0046308626355413,vi,True,eligible,,104,16,24,16,1664,256,384,256,0.65,0.1,0.15,0.1,43,confirmatory,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
43,AC_Response,bayesian_kan_vi,0.0325454461021222,0.0580206562457848,0.032545466256265,0.0325454461021222,0.0580206562457848,0.9994325113303676,100.0,0.5205133953605942,0.132784029428723,100.0,100.0,0.5205133953605944,0.5205133953605942,-1.2656526698148645,-1.2656526703173097,0.5205133953605944,0.5205133953605942,100.0,100.0,0.5205133953605942,0.132784029428723,1.96,0.9796789942824856,1.0,curve,24.0,,,vi,True,eligible,,104,16,24,16,2912,448,672,448,0.65,0.1,0.15,0.1,43,confirmatory,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
44,I_dark,bayesian_kan_vi,0.0026003711629525,0.0033091249126148,2.0049256597295878e-09,0.0026003711629525,0.0033091249126148,0.99959615781482,100.0,0.0851483386030375,0.0217215149497545,100.0,100.0,0.0851483386030377,0.0851483386030375,-2.9118597059985443,-2.91185975273591,0.0851483386030377,0.0851483386030375,100.0,100.0,0.0851483386030375,0.0217215149497545,1.96,0.9312271438015842,1.0,curve,24.0,0.0176961357287468,0.0429420477471113,vi,True,eligible,,104,16,24,16,1560,240,360,240,0.65,0.1,0.15,0.1,44,confirmatory,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
44,I_photo,bayesian_kan_vi,0.0033816934996714,0.0042033517104885,3.870158071362501e-06,0.0033816934996714,0.0042033517104885,0.9655438806544884,100.0,0.0512187336897241,0.0130660034922766,100.0,100.0,0.0512187336897243,0.0512187336897241,-3.3726392437645947,-3.372639263200909,0.0512187336897243,0.0512187336897241,100.0,100.0,0.0512187336897241,0.0130660034922766,1.96,1.5807137995904408,1.0,curve,24.0,0.0025445830349916,0.0056020633400465,vi,True,eligible,,104,16,24,16,1664,256,384,256,0.65,0.1,0.15,0.1,44,confirmatory,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
44,AC_Response,bayesian_kan_vi,0.0492514048428514,0.0943038811482896,0.0492514601864932,0.0492514048428514,0.0943038811482896,0.998498413782592,98.88392857142856,0.4904863097768461,0.1251240586165424,98.88392857142856,98.88392857142856,0.4904863097768462,0.4904863097768461,-1.1926322339457116,-1.19263222011443,0.5325077105025874,0.5325077130497151,93.75,93.75,0.4904863097768461,0.1251240586165424,1.96,0.7401185346853638,1.0,curve,24.0,,,vi,True,eligible,,104,16,24,16,2912,448,672,448,0.65,0.1,0.15,0.1,44,confirmatory,71.67126242970106,98.88806552353576,71.67126242970106,98.88806552353576
45,I_dark,bayesian_kan_vi,0.0033017735114827,0.0096799397982733,1.8125718662646262e-09,0.0033017735114827,0.0096799397982733,0.9973968301975424,100.0,0.0994279504051573,0.0253642730625401,100.0,100.0,0.0994279504051574,0.0994279504051573,-2.84287125105134,-2.842871228747321,0.0994279504051574,0.0994279504051573,100.0,100.0,0.0994279504051573,0.0253642730625401,1.96,0.5439686110099661,1.0,curve,24.0,0.0289696261025139,0.1267721648456568,vi,True,eligible,,104,16,24,16,1560,240,360,240,0.65,0.1,0.15,0.1,45,confirmatory,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
