task,model,n_seeds,rmse_model_space_mean,rmse_model_space_std,rmse_model_space_median,rmse_model_space_q25,rmse_model_space_q75,rmse_model_space_ci95_low,rmse_model_space_ci95_high,mae_model_space_mean,mae_model_space_std,mae_model_space_median,mae_model_space_q25,mae_model_space_q75,mae_model_space_ci95_low,mae_model_space_ci95_high,r2_model_space_mean,r2_model_space_std,r2_model_space_median,r2_model_space_q25,r2_model_space_q75,r2_model_space_ci95_low,r2_model_space_ci95_high,raw_picp_95_mean,raw_picp_95_std,raw_picp_95_median,raw_picp_95_q25,raw_picp_95_q75,raw_picp_95_ci95_low,raw_picp_95_ci95_high,calibrated_picp_95_mean,calibrated_picp_95_std,calibrated_picp_95_median,calibrated_picp_95_q25,calibrated_picp_95_q75,calibrated_picp_95_ci95_low,calibrated_picp_95_ci95_high,raw_curve_coverage_95_mean,raw_curve_coverage_95_std,raw_curve_coverage_95_median,raw_curve_coverage_95_q25,raw_curve_coverage_95_q75,raw_curve_coverage_95_ci95_low,raw_curve_coverage_95_ci95_high,calibrated_curve_coverage_95_mean,calibrated_curve_coverage_95_std,calibrated_curve_coverage_95_median,calibrated_curve_coverage_95_q25,calibrated_curve_coverage_95_q75,calibrated_curve_coverage_95_ci95_low,calibrated_curve_coverage_95_ci95_high,raw_mpiw_log_mean,raw_mpiw_log_std,raw_mpiw_log_median,raw_mpiw_log_q25,raw_mpiw_log_q75,raw_mpiw_log_ci95_low,raw_mpiw_log_ci95_high,calibrated_mpiw_log_mean,calibrated_mpiw_log_std,calibrated_mpiw_log_median,calibrated_mpiw_log_q25,calibrated_mpiw_log_q75,calibrated_mpiw_log_ci95_low,calibrated_mpiw_log_ci95_high,mpiw_model_space_mean,mpiw_model_space_std,mpiw_model_space_median,mpiw_model_space_q25,mpiw_model_space_q75,mpiw_model_space_ci95_low,mpiw_model_space_ci95_high,raw_gaussian_nll_model_space_mean,raw_gaussian_nll_model_space_std,raw_gaussian_nll_model_space_median,raw_gaussian_nll_model_space_q25,raw_gaussian_nll_model_space_q75,raw_gaussian_nll_model_space_ci95_low,raw_gaussian_nll_model_space_ci95_high,calibrated_gaussian_nll_model_space_mean,calibrated_gaussian_nll_model_space_std,calibrated_gaussian_nll_model_space_median,calibrated_gaussian_nll_model_space_q25,calibrated_gaussian_nll_model_space_q75,calibrated_gaussian_nll_model_space_ci95_low,calibrated_gaussian_nll_model_space_ci95_high,raw_interval_score_95_mean,raw_interval_score_95_std,raw_interval_score_95_median,raw_interval_score_95_q25,raw_interval_score_95_q75,raw_interval_score_95_ci95_low,raw_interval_score_95_ci95_high,calibrated_interval_score_95_mean,calibrated_interval_score_95_std,calibrated_interval_score_95_median,calibrated_interval_score_95_q25,calibrated_interval_score_95_q75,calibrated_interval_score_95_ci95_low,calibrated_interval_score_95_ci95_high,calibration_z_mean,calibration_z_std,calibration_z_median,calibration_z_q25,calibration_z_q75,calibration_z_ci95_low,calibration_z_ci95_high,calibration_score_count_mean,calibration_score_count_std,calibration_score_count_median,calibration_score_count_q25,calibration_score_count_q75,calibration_score_count_ci95_low,calibration_score_count_ci95_high,calibrated_curve_coverage_gap_pp,curve_coverage_below_95_runs,curve_coverage_below_90_runs,curve_coverage_below_95_fraction,derivative_mae_model_space_mean,derivative_mae_model_space_std,derivative_mae_model_space_median,derivative_mae_model_space_q25,derivative_mae_model_space_q75,derivative_mae_model_space_ci95_low,derivative_mae_model_space_ci95_high,derivative_rmse_model_space_mean,derivative_rmse_model_space_std,derivative_rmse_model_space_median,derivative_rmse_model_space_q25,derivative_rmse_model_space_q75,derivative_rmse_model_space_ci95_low,derivative_rmse_model_space_ci95_high
AC_Response,bayesian_kan_vi,10,0.06463519948303577,0.019634012357502912,0.055913123571996654,0.05242960687933365,0.07918523335373612,0.05058987315118269,0.07868052581488885,0.03414884548099955,0.007865605717177987,0.03179185583458795,0.02838488526257655,0.037286782633070496,0.028522130111573934,0.03977556085042516,0.9992401923118542,0.00047221683926347395,0.9994708903773177,0.9989290978565519,0.9995377950269884,0.9989023887347714,0.999577995888937,99.70982142857142,0.47116488687463187,100.0,99.33035714285714,100.0,99.37277037289476,100.0,99.70982142857142,0.47116488687463187,100.0,99.33035714285714,100.0,99.37277037289476,100.0,98.125,3.0190368221228,100.0,95.3125,100.0,95.96531115991472,100.0,98.125,3.0190368221228,100.0,95.3125,100.0,95.96531115991472,100.0,0.5127039888729752,0.03693721875508738,0.5178823751752567,0.4918786826894236,0.5421251912821415,0.48628069434917426,0.5391272833967761,0.512703988872975,0.03693721875508736,0.5178823751752566,0.4918786826894235,0.5421251912821412,0.4862806943491741,0.5391272833967758,0.512703988872975,0.03693721875508736,0.5178823751752566,0.4918786826894235,0.5421251912821412,0.4862806943491741,0.5391272833967758,-1.2262163553012937,0.08691026235569167,-1.2266605976479137,-1.2734235350664167,-1.1591298686816942,-1.2883882116771601,-1.1640444989254273,-1.226216354241074,0.08691026161289327,-1.2266605866537375,-1.2734235400780989,-1.1591298758107855,-1.2883882100855744,-1.1640444983965736,0.5196853637692985,0.03805682227501145,0.530753546485548,0.5021701999105153,0.5421251912821415,0.4924611531355709,0.5469095744030262,0.5196853649455331,0.03805682527572504,0.5307535368872245,0.5021701999105151,0.5421251912821412,0.49246115216522424,0.5469095777258419,1.9600000000000002,2.340555645717801e-16,1.96,1.96,1.96,1.96,1.9600000000000004,24.0,0.0,24.0,24.0,24.0,24.0,24.0,3.125,3,0,0.3,,,,,,,,,,,,,,
I_dark,bayesian_kan_vi,10,0.00769245738486517,0.009288916446042801,0.00366648070714205,0.00337031754502415,0.008325675397305476,0.0010475668562039695,0.01433734791352637,0.0036697222658753103,0.002878598593913734,0.0028482598164886,0.0023816618915982997,0.003212767427070275,0.0016104968822016758,0.005728947649548945,0.9969394470415208,0.006878870607621893,0.9995269085951954,0.9979802357687448,0.9996000542526116,0.9920185994470799,1.0018602946359618,99.375,1.976423537605237,100.0,100.0,100.0,97.96115177325112,100.0,99.375,1.976423537605237,100.0,100.0,100.0,97.96115177325112,100.0,99.375,1.976423537605237,100.0,100.0,100.0,97.96115177325112,100.0,99.375,1.976423537605237,100.0,100.0,100.0,97.96115177325112,100.0,0.08322888336658488,0.009761118165447545,0.08269856840747755,0.07627106820735302,0.08654896496813587,0.07624620007693628,0.09021156665623348,0.09673182111384664,0.02808090042827769,0.08608208951310295,0.07932351328892842,0.09912886482296693,0.0766439550666036,0.11681968716108967,0.09673182111384664,0.02808090042827769,0.08608208951310295,0.07932351328892842,0.09912886482296693,0.0766439550666036,0.11681968716108967,-2.8987233616780594,0.20445387922143538,-2.9414695970948426,-3.003373443777604,-2.868764350133642,-3.0449808561316054,-2.7524658672245135,-2.776891953769915,0.281543445230753,-2.88312951085833,-2.9573474062703533,-2.5481564411184063,-2.9782960016465077,-2.5754879058933224,0.10182532713892467,0.05560810122458854,0.08429415395154835,0.0789528128426379,0.09542766616308915,0.06204568789999949,0.14160496637784986,0.1153282786042447,0.05681116172209794,0.0926237242497821,0.08386706162580347,0.12806924049863208,0.07468802173012566,0.15596853547836376,2.295135721705191,0.7073674663057626,1.96,1.96,1.96,1.7891155196243922,2.8011559237859895,24.0,0.0,24.0,24.0,24.0,24.0,24.0,4.375,1,0,0.1,0.020541654484099652,0.005015316729899144,0.018075172741282952,0.0177666779989234,0.01964042471766925,0.016953913025736088,0.024129395942463217,0.06216596507986179,0.030765646098873948,0.046732587701472095,0.04531756159744245,0.06194590586944625,0.04015754767638287,0.0841743824833407
I_photo,bayesian_kan_vi,10,0.005023988447592101,0.0011399146818913666,0.0049076686535562,0.00434892564988165,0.0059367163194956,0.004208542607683758,0.005839434287500443,0.0040792323717616,0.0009347658043801684,0.0039035366112074,0.003582826627147725,0.004856228411624425,0.0034105411981330234,0.004747923545390177,0.949590787106785,0.0210496267473995,0.9536490017229486,0.9357631646621015,0.9636092804174438,0.9345327912449279,0.9646487829686421,97.1875,5.048994975281384,100.0,96.19140625,100.0,93.57566657622128,100.0,99.4921875,1.6058441243042552,100.0,100.0,100.0,98.34343581576654,100.0,96.25,6.718548123582124,100.0,95.3125,100.0,91.44384020169927,100.0,99.375,1.976423537605237,100.0,100.0,100.0,97.96115177325112,100.0,0.041801715571883516,0.021625998402611216,0.04133297757809615,0.023470558207330072,0.0565248802356474,0.02633140826606502,0.057272022877702014,0.047802877927580846,0.01618923350649868,0.045654878817213904,0.03850677548737835,0.056524880235647224,0.036221797936335336,0.059383957918826356,0.047802877927580846,0.01618923350649868,0.045654878817213904,0.03850677548737835,0.056524880235647224,0.036221797936335336,0.059383957918826356,-3.4921852745743287,0.36226368314505525,-3.3841771717798315,-3.7369028407126663,-3.2703368428166977,-3.7513331020945127,-3.2330374470541448,-3.415710278281356,0.2504392900391464,-3.445413906197831,-3.6056747802130866,-3.270336878927889,-3.5948637539372497,-3.2365568026254623,0.044158617771618336,0.019499596286143738,0.043948295857633546,0.027522806158728028,0.0565248802356474,0.030209446904685487,0.058107788638551185,0.048131907656497205,0.01565194197829505,0.045654878817213904,0.03850677548737835,0.056524880235647224,0.03693518287047169,0.05932863244252272,2.5472784592159905,0.9029628714167225,1.96,1.96,2.9639764736854883,1.9013377333129369,3.193219185119044,24.0,0.0,24.0,24.0,24.0,24.0,24.0,4.375,1,0,0.1,0.00259025932151244,0.0007533311555717142,0.00243248375690975,0.002075453474681825,0.00288561546333635,0.0020513586768913534,0.0031291599661335268,0.006794180032572869,0.003490227183993276,0.00561632549991055,0.0045212809781684,0.0067677321502823,0.004297421913096733,0.009290938152049006
