curve_index,n_points,formula_bnn_rmse_sweep,formula_bnn_mae_sweep,formula_valid_count_sweep,formula_nan_rate_sweep,trap_assisted_recomb_A,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature
1,15,0.02645041124908606,0.025864164878048105,400,0.0,8.64757430416121e-10,2613.398572092139,483.2695161383806,39.73131063338137,294.42197627514213
2,15,0.02813503926572676,0.02776024716858789,400,0.0,8.688108546297865e-10,2646.5653288453154,498.36187777461095,39.94029005251662,299.6218359156308
3,15,0.009143154258813764,0.008527871000769042,400,0.0,9.32148229008894e-10,2545.124905053194,512.7371789301767,40.07870713980076,299.5411124372077
4,15,0.01184246299914254,0.011048549282090932,400,0.0,9.431291378149591e-10,2617.847164727645,540.4486468445567,38.69622270488729,301.9657628923453
5,15,0.0047109598543268955,0.0028596699393967227,400,0.0,9.454134520298419e-10,2570.8338282332857,490.849029568548,38.28868089781682,299.0569098093356
6,15,0.011767639573813124,0.01127489672517876,400,0.0,9.676899592457672e-10,2498.119875502734,535.4265253830317,42.346830624956574,300.5747457097431
