dark_voltage,trap_assisted_recomb_A,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature,dark_current,tcad_model_space,bnn_model_space,formula_model_space,formula_minus_bnn,bnn_minus_tcad,formula_minus_tcad,formula_is_finite
-1.8,9.32148229008894e-10,2545.124905053194,512.7371789301767,40.07870713980076,299.5411124372077,3.355531979042497e-07,-6.47423861789507,-6.475313,-6.483092751723815,-0.007779565078307016,-0.0010745687504378765,-0.008854133828744892,True
-0.6000000000000001,8.688108546297865e-10,2646.5653288453154,498.36187777461095,39.94029005251662,299.6218359156308,2.342329213450809e-07,-6.630352065054859,-6.627123,-6.663096101453032,-0.03597322242471179,0.003229186026538322,-0.03274403639817347,True
-0.8,9.431291378149591e-10,2617.847164727645,540.4486468445567,38.69622270488729,301.9657628923453,2.840595256074463e-07,-6.546590642579694,-6.545969,-6.55705142049544,-0.011082411096025702,0.0006216331802795239,-0.010460777915746178,True
-2.2,1.1037395013588123e-09,2531.0169366346463,492.6438219382251,36.10636397779454,299.96382807834965,3.1854971186217945e-07,-6.496822783414218,-6.495269,-6.453070752242497,0.04219806947381155,0.001553961697909223,0.04375203117172077,True
-1.8,8.688108546297865e-10,2646.5653288453154,498.36187777461095,39.94029005251662,299.6218359156308,3.513662706442019e-07,-6.454239930877627,-6.4536815,-6.481583461209719,-0.027901992246095908,0.0005584619140037717,-0.027343530332092136,True
-3.0,9.973807555784963e-10,2483.6702561944007,499.2076886794748,40.248277237816566,302.09732544564235,4.441532292579469e-07,-6.352467175964547,-6.357291,-6.353303427251152,0.003987794367500186,-0.0048240456541055465,-0.0008362512866053606,True
-2.4000000000000004,9.32148229008894e-10,2545.124905053194,512.7371789301767,40.07870713980076,299.5411124372077,3.6753986730693225e-07,-6.434695545797919,-6.4358644,-6.444612946700336,-0.00874849815297285,-0.001168902749443923,-0.009917400902416773,True
-0.6000000000000001,9.973807555784963e-10,2483.6702561944007,499.2076886794748,40.248277237816566,302.09732544564235,2.5630591754832615e-07,-6.591241366781356,-6.5918493,-6.596839093964291,-0.004989766876888346,-0.0006079603060467065,-0.005597727182935053,True
-2.0,1.0692616090001279e-09,2445.881237248077,515.6238842072526,38.37558042728467,295.9516778251947,2.5143859619243495e-07,-6.599568056694506,-6.596897,-6.570690333513613,0.026206791730527534,0.0026709314503650106,0.028877723180892545,True
-1.4,1.0109417900146311e-09,2546.474062846718,483.0790058826933,38.96317500489286,311.33012415162744,6.003558240973907e-07,-6.221591271886088,-6.242511,-6.238236128888032,0.004274666705229357,-0.02091952370717376,-0.016644857001944402,True
-2.8000000000000003,1.0109417900146311e-09,2546.474062846718,483.0790058826933,38.96317500489286,311.33012415162744,7.379168391798e-07,-6.131992578990428,-6.188191,-6.146600045143821,0.04159089189841492,-0.05619835805180795,-0.014607466153393034,True
-3.0,1.0692616090001279e-09,2445.881237248077,515.6238842072526,38.37558042728467,295.9516778251947,2.843369164336902e-07,-6.546166750711899,-6.5440164,-6.519756221831157,0.02426013940541516,0.0021503894753269748,0.026410528880742135,True
-2.4000000000000004,9.973807555784963e-10,2483.6702561944007,499.2076886794748,40.248277237816566,302.09732544564235,4.168322691941423e-07,-6.380038667370538,-6.383902,-6.379171578568306,0.004730494338188507,-0.003863405535955877,0.0008670888022326295,True
-2.8000000000000003,8.64757430416121e-10,2613.398572092139,483.2695161383806,39.73131063338137,294.42197627514213,2.8912020675101455e-07,-6.538921554217314,-6.537167,-6.566001520004561,-0.028834447708418587,0.0017544819211714469,-0.02707996578724714,True
-1.0,9.454134520298419e-10,2570.8338282332857,490.849029568548,38.28868089781682,299.0569098093356,2.515271952074086e-07,-6.599415051999709,-6.600517,-6.595710413203774,0.0048063829082867215,-0.0011017441123515326,0.003704638795935189,True
-2.0,1.0109417900146311e-09,2546.474062846718,483.0790058826933,38.96317500489286,311.33012415162744,6.719099960587825e-07,-6.172688897828441,-6.206997,-6.187493041068575,0.019503876656034258,-0.034308019896168496,-0.014804143240134238,True
-1.0,1.032683367538443e-09,2526.170348943833,478.8149532207128,42.09307571557734,293.4443281911712,1.866011307975288e-07,-6.729085728769375,-6.7289147,-6.731159710017641,-0.0022449723162250024,0.0001709910679590365,-0.002073981248265966,True
-0.4,9.973807555784963e-10,2483.6702561944007,499.2076886794748,40.248277237816566,302.09732544564235,2.2007998815569845e-07,-6.657419445991305,-6.662869,-6.664620284692889,-0.0017513080998714514,-0.005449530601712382,-0.007200838701583834,True
-0.8,8.688108546297865e-10,2646.5653288453154,498.36187777461095,39.94029005251662,299.6218359156308,2.590190905537369e-07,-6.586668225816035,-6.5862384,-6.612897580561003,-0.026659196314176903,0.00042984156920855554,-0.026229354744968347,True
-1.2000000000000002,9.431291378149591e-10,2617.847164727645,540.4486468445567,38.69622270488729,301.9657628923453,3.301166631642421e-07,-6.48133255341087,-6.4799614,-6.48827454428994,-0.008313149026268007,0.001371158147198237,-0.00694199087906977,True
-1.2000000000000002,1.0727653122619132e-09,2512.3283017034155,474.34077412964,42.74916053103488,290.5746947786968,1.685982197743863e-07,-6.773147015394802,-6.7747273,-6.782017493290866,-0.00729014877792622,-0.0015803291181377688,-0.008870477896063989,True
-3.0,9.676899592457672e-10,2498.119875502734,535.4265253830317,42.346830624956574,300.5747457097431,4.316290515279802e-07,-6.364889332076055,-6.367695,-6.381774059627754,-0.014079204891426222,-0.0028055226602727856,-0.016884727551699008,True
-0.6000000000000001,1.0511173572717443e-09,2495.130349883853,523.8477826070769,41.27631172344517,301.59948365785385,2.533006677092315e-07,-6.596363665392821,-6.59493,-6.603441833462353,-0.00851166149579985,0.0014334934262683063,-0.007078168069531543,True
-0.2,1.0109417900146311e-09,2546.474062846718,483.0790058826933,38.96317500489286,311.33012415162744,2.946627604516414e-07,-6.530674746919966,-6.539973,-6.537486743784426,0.002486038350583364,-0.009298035215043576,-0.0068119968644602125,True
-1.2000000000000002,9.973807555784963e-10,2483.6702561944007,499.2076886794748,40.248277237816566,302.09732544564235,3.285025372467917e-07,-6.48346127174187,-6.4856553,-6.479074984829095,0.006580322940680006,-0.002194036027905355,0.004386286912774651,True
-2.2,9.980121445569454e-10,2387.75545073954,508.7275610680178,38.8972081784186,297.8606493603604,2.944019660251754e-07,-6.531059294093255,-6.528857,-6.5041885049754,0.024668726164736476,0.002202062953117867,0.026870789117854343,True
