sqrt_term_count,sqrt_min_arg,sqrt_negative_count,reciprocal_term_count,reciprocal_min_abs_den,reciprocal_near_zero_count,scope,n_points,formula_valid_count,formula_nan_rate,formula_bnn_rmse,formula_bnn_mae,formula_bnn_max_abs_error,sweep_var,voltage_level,n_eval_points
1,0.0053135221693103585,0,7,1.076527141143303,0,test_points,240.0,240,0.0,0.017726650617108833,0.014341862931687288,0.04480565262854075,,,
1,0.08344322686761856,0,7,3.4617536409015326,0,sweep_trap_assisted_recomb_A_Low Bias,300.0,300,0.0,0.007135125648678728,0.00590808173548871,0.015113118084815191,trap_assisted_recomb_A,-2.8000000000000003,
1,0.0770146763035659,0,7,2.360879917209636,0,sweep_trap_assisted_recomb_A_Mid Bias,300.0,300,0.0,0.006606411696516704,0.005550400441533826,0.013232894731905809,trap_assisted_recomb_A,-1.6,
1,0.054715059898594834,0,7,1.2600061114962502,0,sweep_trap_assisted_recomb_A_High Bias,300.0,300,0.0,0.008645292485814821,0.006978196108973075,0.017961346687240365,trap_assisted_recomb_A,-0.4,
1,0.08344322686761856,0,7,3.4617536409015326,0,sweep_ge_sio2_recomb_velocity_Low Bias,300.0,300,0.0,0.007641048996077761,0.006530452936645291,0.014851873393094017,ge_sio2_recomb_velocity,-2.8000000000000003,
1,0.0770146763035659,0,7,2.360879917209636,0,sweep_ge_sio2_recomb_velocity_Mid Bias,300.0,300,0.0,0.008582583410741787,0.006738930987828731,0.017083860638816617,ge_sio2_recomb_velocity,-1.6,
1,0.054715059898594834,0,7,1.2600061114962502,0,sweep_ge_sio2_recomb_velocity_High Bias,300.0,300,0.0,0.005103157989446444,0.004476053535254986,0.007802718200777825,ge_sio2_recomb_velocity,-0.4,
1,0.08344322686761856,0,7,3.4617536409015326,0,sweep_ge_si_recomb_velocity_Low Bias,300.0,300,0.0,0.010837447237826847,0.00826290081828749,0.02173621639821821,ge_si_recomb_velocity,-2.8000000000000003,
1,0.0770146763035659,0,7,2.360879917209636,0,sweep_ge_si_recomb_velocity_Mid Bias,300.0,300,0.0,0.007833941041627249,0.006101182787628403,0.017147184477493305,ge_si_recomb_velocity,-1.6,
1,0.054715059898594834,0,7,1.2600061114962502,0,sweep_ge_si_recomb_velocity_High Bias,300.0,300,0.0,0.012446062372891264,0.010357373851255102,0.024168166161532945,ge_si_recomb_velocity,-0.4,
1,0.08344322686761856,0,7,3.4617536409015326,0,sweep_active_layer_length_Low Bias,300.0,300,0.0,0.01047724063608606,0.008222091573969532,0.024976757967958285,active_layer_length,-2.8000000000000003,
1,0.0770146763035659,0,7,2.360879917209636,0,sweep_active_layer_length_Mid Bias,300.0,300,0.0,0.010889610053022991,0.007403248764657239,0.026779389175426438,active_layer_length,-1.6,
1,0.054715059898594834,0,7,1.2600061114962502,0,sweep_active_layer_length_High Bias,300.0,300,0.0,0.0063204430341025145,0.0048597256805468746,0.017217398025741737,active_layer_length,-0.4,
1,0.04449719779072818,0,7,3.4617536409015326,0,sweep_simulation_temperature_Low Bias,300.0,300,0.0,0.007331176848465659,0.0034784394190155716,0.03691423546168959,simulation_temperature,-2.8000000000000003,
1,0.03806864722667553,0,7,2.360879917209636,0,sweep_simulation_temperature_Mid Bias,300.0,300,0.0,0.004502265707708703,0.0038945095791804983,0.01701728693444604,simulation_temperature,-1.6,
1,0.015769030821704458,0,7,1.2600061114962502,0,sweep_simulation_temperature_High Bias,300.0,300,0.0,0.011328791170050145,0.0098006621135504,0.027215746609535962,simulation_temperature,-0.4,
1,0.061839872552463385,0,7,1.0765271438773527,0,real_condition_1,,400,0.0,0.004521056928621029,0.0037692515196197252,0.010641221554061886,,,400.0
1,0.04995844006295559,0,7,1.0765271438773527,0,real_condition_2,,400,0.0,0.018784786879420808,0.018327959813751064,0.03007940275157317,,,400.0
1,0.03140453961765456,0,7,1.0765271438773527,0,real_condition_3,,400,0.0,0.005689508928461211,0.003297406710704458,0.017888786780557275,,,400.0
1,0.027388977431935593,0,7,1.0765271438773527,0,real_condition_4,,400,0.0,0.017281028014993826,0.016309362352024955,0.033865325376773114,,,400.0
1,0.0752459971323416,0,7,1.0765271438773527,0,real_condition_5,,400,0.0,0.014449096072569381,0.01342947584826093,0.028811013758281767,,,400.0
1,0.030788633241200417,0,7,1.0765271438773527,0,real_condition_6,,400,0.0,0.010193744583942123,0.009801842369904612,0.01436991137409116,,,400.0
