task,seed,source,source_kind,family,budget,fit_rows,validation_rows,calibration_rows_untouched,test_rows,selected_alpha,validation_source_rmse,fit_time_selected_candidate_s,candidate_fit_time_total_s,terms,formula_chars,veriloga_lines,json_path,veriloga_path,formula_to_network_rmse,formula_to_network_r2,formula_to_network_p95_abs_error,formula_to_network_max_abs_error,formula_to_tcad_rmse,formula_to_tcad_r2,formula_to_tcad_p95_abs_error,formula_to_tcad_max_abs_error,test_finite_rate,dense_train_envelope_points,dense_finite_rate,swept_axis_derivative_finite_rate,independent_json_replay_max_abs_error,latency_per_point_s,calibration_used,test_used_for_selection,pareto_rmse_terms,pareto_rmse_chars
I_photo,49,dkan,teacher_distillation,polynomial,1,1664,256,384,256,1e-08,0.007025741375678952,0.0009144999785348773,0.0035300999297760427,7,840,23,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_49\I_photo\exports\I_photo\dkan\polynomial_1\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_49\I_photo\exports\I_photo\dkan\polynomial_1\formula.va,0.006983113572499606,0.900996222454616,0.014353519790184954,0.021998419963689564,0.007011978232124074,0.9044058102157894,0.014980645973218465,0.022594460379798065,1.0,5000,1.0,1.0,0.0,2.8415666699099043e-07,False,False,True,True
I_photo,49,mlp_l,teacher_distillation,polynomial,2,1664,256,384,256,0.01,0.0008490598347556221,0.0007573000038973987,0.003876799950376153,28,1609,44,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_49\I_photo\exports\I_photo\mlp_l\polynomial_2\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_49\I_photo\exports\I_photo\mlp_l\polynomial_2\formula.va,0.0008311685275564003,0.9985963084341777,0.0014964194491285943,0.002670821727517314,0.0040474552108629115,0.9681496300352411,0.008102698872618719,0.013522399888419745,1.0,5000,1.0,1.0,4.440892098500626e-16,9.46440000552684e-07,False,False,True,True
I_photo,49,dkan,teacher_distillation,additive_spline,4,1664,256,384,256,1e-08,0.002953140946088624,0.0018365000141784549,0.006825499993283302,31,7152,196,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_49\I_photo\exports\I_photo\dkan\additive_spline_4\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_49\I_photo\exports\I_photo\dkan\additive_spline_4\formula.va,0.0038260770670153653,0.9702791666867204,0.008735650949145524,0.010560229278057331,0.0033360547401766086,0.9783620200184756,0.009798275283184998,0.010804409869275666,1.0,5000,1.0,1.0,8.881784197001252e-16,1.3295333289230863e-07,False,False,True,True
