task,model,mae_log,rmse_log,mae_linear,mae_model_space,rmse_model_space,r2_model_space,picp_95,mpiw_log,mean_std_log,raw_picp_95,calibrated_picp_95,raw_mpiw_log,calibrated_mpiw_log,raw_gaussian_nll_model_space,calibrated_gaussian_nll_model_space,raw_interval_score_95,calibrated_interval_score_95,raw_curve_coverage_95,calibrated_curve_coverage_95,mpiw_model_space,mean_std_model_space,calibration_z,calibration_raw_quantile,calibration_std_scale_vs_normal,calibration_unit,calibration_score_count,derivative_mae_model_space,derivative_rmse_model_space,inference_method,comparison_eligible,comparison_status,hmc_acceptance_rate,train_curve_count,validation_curve_count,calibration_curve_count,test_curve_count,train_samples,validation_samples,calibration_samples,test_samples,train_fraction,validation_fraction,calibration_fraction,test_fraction,split_seed
I_dark,bayesian_kan_vi,0.004067372324128,0.009599554175045,1.907797305573688e-09,0.004067372324128,0.009599554175045,0.99752468679675,100.0,0.09823160807639586,0.0250590836929581,100.0,100.0,0.098231608076396,0.09823160807639586,-2.854399231512008,-2.85439926898075,0.098231608076396,0.09823160807639586,100.0,100.0,0.09823160807639586,0.0250590836929581,1.96,0.899966639491376,1.0,curve,24.0,0.0308773809690323,0.1104950648584743,vi,True,eligible,,104,16,24,16,1560,240,360,240,0.65,0.1,0.15,0.1,51
I_photo,bayesian_kan_vi,0.0039292763368091,0.0051011999013765,4.487785541020935e-06,0.0039292763368091,0.0051011999013765,0.9506193109085688,100.0,0.053802046795437805,0.0137250119376117,100.0,100.0,0.0538020467954379,0.053802046795437805,-3.3115187186729043,-3.3115187334455323,0.0538020467954379,0.053802046795437805,100.0,100.0,0.053802046795437805,0.0137250119376117,1.96,0.9457880324848316,1.0,curve,24.0,0.0042197335036179,0.0123968793647714,vi,True,eligible,,104,16,24,16,1664,256,384,256,0.65,0.1,0.15,0.1,51
AC_Response,bayesian_kan_vi,0.0315031719827755,0.0544506369773086,0.0315032121636667,0.0315031719827755,0.0544506369773086,0.9995023488316336,100.0,0.5575361029465887,0.1422285976904563,100.0,100.0,0.5575361029465887,0.5575361029465887,-1.1078274985641945,-1.1078274974696982,0.5575361029465887,0.5575361029465887,100.0,100.0,0.5575361029465887,0.1422285976904563,1.96,1.4711655665799594,1.0,curve,24.0,,,vi,True,eligible,,104,16,24,16,2912,448,672,448,0.65,0.1,0.15,0.1,51
