rule,finite_dark_current_rows,dark_current_values_set_to_zero,zero_voltage_rows_set_to_zero,nonzero_voltage_rows_set_to_zero,finite_light_current_rows,light_current_values_set_to_zero
abs(dark_current) < 1e-10 -> 0,2560.0,160.0,160,0,,
abs(light_current) < 1e-10 -> 0,,,0,0,2560.0,0.0
