light_voltage,trap_assisted_recomb_A,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature,model_prediction,exported_formula_prediction,formula_minus_model
-0.4,1.0991618704794608e-09,2475.161456337068,505.0064403774024,34.84085283436253,301.39850617403,-3.3359744548797607,-3.3359743442279255,1.1065183525005295e-07
-2.6,1.0976147775803618e-09,2495.918019735696,486.14991613464105,39.05845567786759,297.2376267822416,-3.2848610877990723,-3.284860894287687,1.9351138513812316e-07
-1.0,1.0976147775803618e-09,2495.918019735696,486.14991613464105,39.05845567786759,297.2376267822416,-3.3106465339660645,-3.3106466944718442,-1.6050577977821945e-07
-0.6000000000000001,1.1425395479879979e-09,2554.3812528255967,503.27354733950745,40.19858533526689,297.9110382121584,-3.3212082386016846,-3.3212083279290847,-8.932740014344631e-08
0.0,1.0727653122619132e-09,2512.3283017034155,474.34077412964,42.74916053103488,290.5746947786968,-3.3423542976379395,-3.3423543255037766,-2.7865837193274956e-08
-3.0,9.973807555784963e-10,2483.6702561944007,499.2076886794748,40.248277237816566,302.09732544564235,-3.27929949760437,-3.279299316335603,1.8126876710766737e-07
-0.6000000000000001,9.973807555784963e-10,2483.6702561944007,499.2076886794748,40.248277237816566,302.09732544564235,-3.3215417861938477,-3.3215418160252446,-2.9831396908264196e-08
-0.6000000000000001,1.050818199825069e-09,2510.995503216453,520.189852554912,38.50508417894045,294.1262317171733,-3.323666572570801,-3.323666849319848,-2.7674904723440363e-07
-2.4000000000000004,8.058950792540601e-10,2412.212725535436,472.1154567367515,38.858183000543626,295.7855807653235,-3.2875356674194336,-3.2875353839148045,2.8350462910609053e-07
-0.8,8.595939611542648e-10,2643.7199291480506,484.396762738386,41.95641496228942,305.9180523366615,-3.319830894470215,-3.3198310184784634,-1.2400824855873793e-07
-0.8,8.920412889937107e-10,2700.220283946353,481.8164609958477,41.48473029075561,294.1535226587993,-3.317472457885742,-3.3174724567036633,1.182078879224946e-09
-0.6000000000000001,8.595939611542648e-10,2643.7199291480506,484.396762738386,41.95641496228942,305.9180523366615,-3.3266611099243164,-3.3266610250414157,8.488290070829407e-08
0.0,8.920412889937107e-10,2700.220283946353,481.8164609958477,41.48473029075561,294.1535226587993,-3.354710817337036,-3.354710810506876,6.83015999314307e-09
-2.4000000000000004,9.973807555784963e-10,2483.6702561944007,499.2076886794748,40.248277237816566,302.09732544564235,-3.285372495651245,-3.285372222106915,2.7354433029813663e-07
-1.6,1.0991618704794608e-09,2475.161456337068,505.0064403774024,34.84085283436253,301.39850617403,-3.3061347007751465,-3.30613448145152,2.193236263714482e-07
-1.0,9.454134520298419e-10,2570.8338282332857,490.849029568548,38.28868089781682,299.0569098093356,-3.3156630992889404,-3.3156627973080424,3.019808980653238e-07
-0.4,9.973807555784963e-10,2483.6702561944007,499.2076886794748,40.248277237816566,302.09732544564235,-3.3294119834899902,-3.3294121771310636,-1.936410733982541e-07
-1.2000000000000002,1.0727653122619132e-09,2512.3283017034155,474.34077412964,42.74916053103488,290.5746947786968,-3.2964088916778564,-3.2964089414420226,-4.9764166121235576e-08
-0.2,1.050818199825069e-09,2510.995503216453,520.189852554912,38.50508417894045,294.1262317171733,-3.3405539989471436,-3.340553800283179,1.9866396439027767e-07
0.0,1.0976147775803618e-09,2495.918019735696,486.14991613464105,39.05845567786759,297.2376267822416,-3.3532469272613525,-3.3532465868326535,3.404286990082994e-07
-0.4,8.058950792540601e-10,2412.212725535436,472.1154567367515,38.858183000543626,295.7855807653235,-3.330570697784424,-3.330570624143893,7.364053100644696e-08
