task,seed,teacher,teacher_to_tcad_rmse,teacher_to_tcad_r2,teacher_to_tcad_p95_abs_error,teacher_to_tcad_max_abs_error,checkpoint,checkpoint_sha256,scaler_mean_max_relative_delta,parameter_count,checkpoint_output_scale_applied,train_time_s,frozen_test_prediction,replay_status,replay_max_abs_error,replay_rmse,replay_tolerance,frozen_scale_applied,test_rows
Capacitance,47,bkan_parameter_mean,5.776587013137507e-17,0.9997050221508281,1.0052671813277408e-16,9.256954383958743e-16,<REPO_ROOT>/artifacts\results\uq_repeated_grouped_capacitance\seed_47\Capacitance-bayes-results\model_checkpoint.pt,ca7a6381f993baaad39b7bc6cfe599c69012ae022e5f1dcd9a7e0867a484731e,7.2421494228807216e-09,1477,1000.0,,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_47\Capacitance\bkan\test_predictions.csv,reference_difference_only,2.7291581023978736e-17,4.1323745937214994e-18,4.3035984000000004e-19,1000.0,6400
Capacitance,47,dkan,2.8102655341317e-16,0.9930186167482005,4.140579826274759e-16,2.856771141359312e-15,,,,1477,,3.1169717999873683,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_47\Capacitance\dkan\test_predictions.csv,pass,4.87043944040134e-21,1.2976824846327047e-21,4.0675041596576187e-19,1000.0,6400
Capacitance,47,mlp_l,4.368508319539947e-16,0.9831300770189401,9.837219576215554e-16,2.2099526489475064e-15,,,,2625,,3.2247234000242315,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_47\Capacitance\mlp_l\test_predictions.csv,pass,4.288104289164008e-21,1.2593520762378271e-21,4.1826175915507036e-19,1000.0,6400
