artifact_status,current_evidence_eligible,artifact_scope,term_index,monomial,normalized_coefficient,power_bias_v,power_trap_assisted_recomb_A,power_ge_sio2_recomb_velocity,power_ge_si_recomb_velocity,power_active_layer_length,power_simulation_temperature
HISTORICAL_RETIRED_NON_PROPAGATING,False,retired numerical proxy; regression history only,31,z_bias_v^2 * z_ge_si_recomb_velocity,-1.0919977357314683e-05,2,0,0,1,0,0
HISTORICAL_RETIRED_NON_PROPAGATING,False,retired numerical proxy; regression history only,32,z_bias_v^2 * z_active_layer_length,0.0019716933330952103,2,0,0,0,1,0
HISTORICAL_RETIRED_NON_PROPAGATING,False,retired numerical proxy; regression history only,33,z_bias_v^2 * z_simulation_temperature,0.001834529681613588,2,0,0,0,0,1
HISTORICAL_RETIRED_NON_PROPAGATING,False,retired numerical proxy; regression history only,34,z_bias_v * z_trap_assisted_recomb_A^2,-6.206028632856307e-06,1,2,0,0,0,0
HISTORICAL_RETIRED_NON_PROPAGATING,False,retired numerical proxy; regression history only,35,z_bias_v * z_trap_assisted_recomb_A * z_ge_sio2_recomb_velocity,5.239053684857122e-06,1,1,1,0,0,0
HISTORICAL_RETIRED_NON_PROPAGATING,False,retired numerical proxy; regression history only,36,z_bias_v * z_trap_assisted_recomb_A * z_ge_si_recomb_velocity,-2.9040028754748725e-07,1,1,0,1,0,0
HISTORICAL_RETIRED_NON_PROPAGATING,False,retired numerical proxy; regression history only,37,z_bias_v * z_trap_assisted_recomb_A * z_active_layer_length,1.0735147696790009e-05,1,1,0,0,1,0
HISTORICAL_RETIRED_NON_PROPAGATING,False,retired numerical proxy; regression history only,38,z_bias_v * z_trap_assisted_recomb_A * z_simulation_temperature,3.721379977011467e-06,1,1,0,0,0,1
HISTORICAL_RETIRED_NON_PROPAGATING,False,retired numerical proxy; regression history only,39,z_bias_v * z_ge_sio2_recomb_velocity^2,-5.966977376934554e-06,1,0,2,0,0,0
HISTORICAL_RETIRED_NON_PROPAGATING,False,retired numerical proxy; regression history only,40,z_bias_v * z_ge_sio2_recomb_velocity * z_ge_si_recomb_velocity,-8.214485944500078e-07,1,0,1,1,0,0
HISTORICAL_RETIRED_NON_PROPAGATING,False,retired numerical proxy; regression history only,41,z_bias_v * z_ge_sio2_recomb_velocity * z_active_layer_length,4.606412898029372e-06,1,0,1,0,1,0
HISTORICAL_RETIRED_NON_PROPAGATING,False,retired numerical proxy; regression history only,42,z_bias_v * z_ge_sio2_recomb_velocity * z_simulation_temperature,-8.692076712249135e-06,1,0,1,0,0,1
