seed,task,model,mae_log,rmse_log,mae_linear,mae_model_space,rmse_model_space,r2_model_space,picp_95,mpiw_log,mean_std_log,raw_picp_95,calibrated_picp_95,raw_mpiw_log,calibrated_mpiw_log,standard_conformal_picp_95,no_shrink_conformal_picp_95,standard_conformal_mpiw_log,no_shrink_conformal_mpiw_log,raw_gaussian_nll_model_space,standard_conformal_gaussian_nll_model_space,no_shrink_conformal_gaussian_nll_model_space,calibrated_gaussian_nll_model_space,raw_interval_score_95,standard_conformal_interval_score_95,no_shrink_conformal_interval_score_95,calibrated_interval_score_95,raw_curve_coverage_95,standard_conformal_curve_coverage_95,no_shrink_conformal_curve_coverage_95,calibrated_curve_coverage_95,raw_group_coverage_95,standard_conformal_group_coverage_95,no_shrink_conformal_group_coverage_95,calibrated_group_coverage_95,raw_device_coverage_95,standard_conformal_device_coverage_95,no_shrink_conformal_device_coverage_95,calibrated_device_coverage_95,raw_subcurve_coverage_95,standard_conformal_subcurve_coverage_95,no_shrink_conformal_subcurve_coverage_95,calibrated_subcurve_coverage_95,test_group_count,test_device_count,test_subcurve_count,test_point_count,mpiw_model_space,mean_std_model_space,calibration_z,calibration_raw_quantile,raw_z,standard_conformal_z,no_shrink_conformal_z,calibration_std_scale_vs_normal,calibration_unit,calibration_score_count,calibration_group_columns,calibration_sigma_floor_standardized,calibration_sigma_floor_model_space,derivative_mae_model_space,derivative_rmse_model_space,inference_method,comparison_eligible,comparison_status,hmc_acceptance_rate,train_curve_count,validation_curve_count,calibration_curve_count,test_curve_count,train_samples,validation_samples,calibration_samples,test_samples,train_fraction,validation_fraction,calibration_fraction,test_fraction,split_seed,run_label,raw_curve_coverage_95_wilson_low,raw_curve_coverage_95_wilson_high,standard_conformal_curve_coverage_95_wilson_low,standard_conformal_curve_coverage_95_wilson_high,no_shrink_conformal_curve_coverage_95_wilson_low,no_shrink_conformal_curve_coverage_95_wilson_high,calibrated_curve_coverage_95_wilson_low,calibrated_curve_coverage_95_wilson_high,raw_group_coverage_95_wilson_low,raw_group_coverage_95_wilson_high,standard_conformal_group_coverage_95_wilson_low,standard_conformal_group_coverage_95_wilson_high,no_shrink_conformal_group_coverage_95_wilson_low,no_shrink_conformal_group_coverage_95_wilson_high,calibrated_group_coverage_95_wilson_low,calibrated_group_coverage_95_wilson_high,raw_device_coverage_95_wilson_low,raw_device_coverage_95_wilson_high,standard_conformal_device_coverage_95_wilson_low,standard_conformal_device_coverage_95_wilson_high,no_shrink_conformal_device_coverage_95_wilson_low,no_shrink_conformal_device_coverage_95_wilson_high,calibrated_device_coverage_95_wilson_low,calibrated_device_coverage_95_wilson_high
42,I_photo,bayesian_kan_vi,0.0023589222666993,0.0029024086229802,2.70301705472912e-06,0.0023589222666993,0.0029024086229802,0.9833876825739424,100.0,0.0398496732267321,0.0063774757188358,100.0,100.0,0.0249997048178366,0.0398496732267321,100.0,100.0,0.0398496732267321,0.0398496732267321,-0.2788955718979931,0.128658500544303,0.128658500544303,0.128658500544303,0.0249997048178366,0.0398496732267321,0.0398496732267321,0.0398496732267321,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,16.0,16.0,0.0,256.0,0.0398496732267321,0.0063774757188358,3.1242512699057494,3.1242512699057494,1.96,3.1242512699057494,3.1242512699057494,1.594005749951913,curve,24.0,_curve_id,0.0277930364012718,0.0006367022860245,0.0018906560575381,0.0039443105227602,vi,True,eligible,,104,16,24,16,1664,256,384,256,0.65,0.1,0.15,0.1,42,net_photocurrent_confirmatory,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
43,I_photo,bayesian_kan_vi,0.0049670138748611,0.0060336017361731,5.673781346734487e-06,0.0049670138748611,0.0060336017361731,0.934241941476589,100.0,0.0396553332595272,0.0080183174981435,100.0,100.0,0.0314318045927227,0.0396553332595272,100.0,100.0,0.0396553332595272,0.0396553332595272,0.1354381347721319,0.2699148224543103,0.2699148224543103,0.2699148224543103,0.0314318045927227,0.0396553332595272,0.0396553332595272,0.0396553332595272,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,16.0,16.0,0.0,256.0,0.0396553332595272,0.0080183174981435,2.472796398291066,2.472796398291066,1.96,2.472796398291066,2.472796398291066,1.2616308154546256,curve,24.0,_curve_id,0.0366355463862419,0.0008306039379213,0.0021983995699856,0.0045577390154732,vi,True,eligible,,104,16,24,16,1664,256,384,256,0.65,0.1,0.15,0.1,43,net_photocurrent_confirmatory,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
44,I_photo,bayesian_kan_vi,0.0033815532924511,0.0042054872343335,3.867756877951067e-06,0.0033815532924511,0.0042054872343335,0.9652973428164612,100.0,0.0510153291667221,0.0130141145833474,100.0,100.0,0.0510153291667221,0.0510153291667221,100.0,100.0,0.0413318364538,0.0510153291667221,0.4011558998806177,0.2196490853577755,0.4011558998806177,0.4011558998806177,0.0510153291667221,0.0413318364538,0.0510153291667221,0.0510153291667221,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,16.0,16.0,0.0,256.0,0.0510153291667221,0.0130141145833474,1.96,1.5879619081688106,1.96,1.5879619081688106,1.96,1.0,curve,24.0,_curve_id,0.0598868489265441,0.0013705653795691,0.0025163197198886,0.0054972054504195,vi,True,eligible,,104,16,24,16,1664,256,384,256,0.65,0.1,0.15,0.1,44,net_photocurrent_confirmatory,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
45,I_photo,bayesian_kan_vi,0.0045504266300006,0.0056857860904887,5.174807615774229e-06,0.0045504266300006,0.0056857860904887,0.937913748638361,94.53125,0.0228788962667079,0.0058364531292622,94.53125,94.53125,0.0228788962667079,0.0228788962667079,94.140625,94.53125,0.0214789102614444,0.0228788962667079,0.0201734100508792,0.020700952272256,0.0201734100508792,0.0201734100508792,0.0264266184311897,0.0266656669803896,0.0264266184311897,0.0264266184311897,93.75,93.75,93.75,93.75,93.75,93.75,93.75,93.75,93.75,93.75,93.75,93.75,,,,,16.0,16.0,0.0,256.0,0.0228788962667079,0.0058364531292622,1.96,1.840065343260931,1.96,1.840065343260931,1.96,1.0,curve,24.0,_curve_id,0.0248612448573112,0.000566390765978,0.0032675779309332,0.0136190756983706,vi,True,eligible,,104,16,24,16,1664,256,384,256,0.65,0.1,0.15,0.1,45,net_photocurrent_confirmatory,71.67126242970106,98.88806552353576,71.67126242970106,98.88806552353576,71.67126242970106,98.88806552353576,71.67126242970106,98.88806552353576,71.67126242970106,98.88806552353576,71.67126242970106,98.88806552353576,71.67126242970106,98.88806552353576,71.67126242970106,98.88806552353576,71.67126242970106,98.88806552353576,71.67126242970106,98.88806552353576,71.67126242970106,98.88806552353576,71.67126242970106,98.88806552353576
46,I_photo,bayesian_kan_vi,0.0054518236679621,0.0065858395875765,6.220348273160911e-06,0.0054518236679621,0.0065858395875765,0.9158338293748196,100.0,0.033429877758341,0.00459791706461,85.546875,100.0,0.0180238348932715,0.033429877758341,100.0,100.0,0.033429877758341,0.033429877758341,0.3861448180955292,0.2315153816125973,0.2315153816125973,0.2315153816125973,0.0367396703396009,0.033429877758341,0.033429877758341,0.033429877758341,81.25,100.0,100.0,100.0,81.25,100.0,100.0,100.0,81.25,100.0,100.0,100.0,,,,,16.0,16.0,0.0,256.0,0.033429877758341,0.00459791706461,3.6353284855493575,3.6353284855493575,1.96,3.6353284855493575,3.6353284855493575,1.8547594314027331,curve,24.0,_curve_id,0.0185844264924526,0.000426257990135,0.0020097017077538,0.004419069179419,vi,True,eligible,,104,16,24,16,1664,256,384,256,0.65,0.1,0.15,0.1,46,net_photocurrent_confirmatory,56.991119038025865,93.40840092857187,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,56.991119038025865,93.40840092857187,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,56.991119038025865,93.40840092857187,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
47,I_photo,bayesian_kan_vi,0.0036374862363715,0.0043410419769833,4.163369708376529e-06,0.0036374862363715,0.0043410419769833,0.9635525978890314,100.0,0.0382502241285827,0.0042538392591349,91.015625,100.0,0.0166750498958088,0.0382502241285827,100.0,100.0,0.0382502241285827,0.0382502241285827,-0.2083822542366865,0.1631185675842446,0.1631185675842446,0.1631185675842446,0.0184245518862601,0.0382502241285827,0.0382502241285827,0.0382502241285827,87.5,100.0,100.0,100.0,87.5,100.0,100.0,100.0,87.5,100.0,100.0,100.0,,,,,16.0,16.0,0.0,256.0,0.0382502241285827,0.0042538392591349,4.495964915275322,4.495964915275322,1.96,4.495964915275322,4.495964915275322,2.2938596506506745,curve,24.0,_curve_id,0.0178853943943977,0.0004054594177344,0.0016752556992879,0.0037872807778258,vi,True,eligible,,104,16,24,16,1664,256,384,256,0.65,0.1,0.15,0.1,47,net_photocurrent_confirmatory,63.97717273424131,96.50225122567595,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,63.97717273424131,96.50225122567595,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,63.97717273424131,96.50225122567595,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
48,I_photo,bayesian_kan_vi,0.0038818156785454,0.0047148767762271,4.436276032705034e-06,0.0038818156785454,0.0047148767762271,0.9563824967139752,100.0,0.0573027184065909,0.0146180404098446,100.0,100.0,0.0573027184065909,0.0573027184065909,90.625,100.0,0.0167738020976515,0.0573027184065909,0.5251627632849718,-0.1432352995139856,0.5251627632849719,0.5251627632849719,0.0573027184065909,0.0214187037563947,0.0573027184065909,0.0573027184065909,100.0,87.5,100.0,100.0,100.0,87.5,100.0,100.0,100.0,87.5,100.0,100.0,,,,,16.0,16.0,0.0,256.0,0.0573027184065909,0.0146180404098446,1.96,0.5737363431542803,1.96,0.5737363431542803,1.96,1.0,curve,24.0,_curve_id,0.0611605435609817,0.0013906583774707,0.0026595706884247,0.0066328478872471,vi,True,eligible,,104,16,24,16,1664,256,384,256,0.65,0.1,0.15,0.1,48,net_photocurrent_confirmatory,80.63923194655636,100.00000000000003,63.97717273424131,96.50225122567595,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,63.97717273424131,96.50225122567595,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,63.97717273424131,96.50225122567595,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
49,I_photo,bayesian_kan_vi,0.0035653345158017,0.0043803536755379,4.032640486553508e-06,0.0035653345158017,0.0043803536755379,0.9626948549374124,100.0,0.0625220571262547,0.0159495043689425,100.0,100.0,0.0625220571262547,0.0625220571262547,100.0,100.0,0.0319328910987318,0.0625220571262547,0.6002491111235565,0.0357682645449906,0.6002491111235565,0.6002491111235565,0.0625220571262547,0.0319328910987318,0.0625220571262547,0.0625220571262547,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,16.0,16.0,0.0,256.0,0.0625220571262547,0.0159495043689425,1.96,1.0010621759793596,1.96,1.0010621759793596,1.96,1.0,curve,24.0,_curve_id,0.0708493649959564,0.0016122311367549,0.0022894678234649,0.0055359055803512,vi,True,eligible,,104,16,24,16,1664,256,384,256,0.65,0.1,0.15,0.1,49,net_photocurrent_confirmatory,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
50,I_photo,bayesian_kan_vi,0.0051095784682705,0.006343943367975,5.803977723313044e-06,0.0051095784682705,0.006343943367975,0.9217688684985114,100.0,0.0784280722514388,0.0200071612886323,100.0,100.0,0.0784280722514388,0.0784280722514388,87.5,100.0,0.0184600564462852,0.0784280722514388,0.8416541540771563,0.2570591384802022,0.8416541540771563,0.8416541540771563,0.0784280722514388,0.034153208676787,0.0784280722514388,0.0784280722514388,100.0,81.25,100.0,100.0,100.0,81.25,100.0,100.0,100.0,81.25,100.0,100.0,,,,,16.0,16.0,0.0,256.0,0.0784280722514388,0.0200071612886323,1.96,0.4613362230646336,1.96,0.4613362230646336,1.96,1.0,curve,24.0,_curve_id,0.0871138572692871,0.00197989558333,0.002905881610148,0.0066321045262673,vi,True,eligible,,104,16,24,16,1664,256,384,256,0.65,0.1,0.15,0.1,50,net_photocurrent_confirmatory,80.63923194655636,100.00000000000003,56.991119038025865,93.40840092857187,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,56.991119038025865,93.40840092857187,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,56.991119038025865,93.40840092857187,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
51,I_photo,bayesian_kan_vi,0.0039199007615681,0.0050947998028954,4.474343013631269e-06,0.0039199007615681,0.0050947998028954,0.9503984579289292,100.0,0.0537178994040087,0.0137035457663287,100.0,100.0,0.0537178994040087,0.0537178994040087,100.0,100.0,0.0259281537362171,0.0537178994040087,0.4671282737326745,-0.0243074156720936,0.4671282737326745,0.4671282737326745,0.0537178994040087,0.0259281537362171,0.0537178994040087,0.0537178994040087,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,16.0,16.0,0.0,256.0,0.0537178994040087,0.0137035457663287,1.96,0.9460381341566976,1.96,0.9460381341566976,1.96,1.0,curve,24.0,_curve_id,0.0598720997571945,0.0013663884276916,0.0041665039825422,0.0122200114258125,vi,True,eligible,,104,16,24,16,1664,256,384,256,0.65,0.1,0.15,0.1,51,net_photocurrent_confirmatory,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
