nominal_structure_id,process_variant_id,process_variant_index,process_variant_role,dataset_role,split,operating_case_id,actual_core_width_nm,actual_coupling_gap_nm,actual_ring_radius_um,actual_core_thickness_nm,delta_material_index,bias_v,temperature_c,resonance_shift_pm,quality_factor,drop_extinction_ratio_db,through_insertion_loss_db
ring_cv_dev_20260912_0000,ring_cv_dev_20260912_0000|p01,1,fabrication_realization,development,train,ring_cv_dev_20260912_0000|p01|t20|v-4,445.9343059125567,392.9797428257439,9.864050450274972,120.79478284245826,-0.0003119000091407,-4.0,20.0,39.00565074877704,32276.729871689968,42.47756319895599,0.0002333132255462
ring_cv_dev_20260912_0000,ring_cv_dev_20260912_0000|p01,1,fabrication_realization,development,train,ring_cv_dev_20260912_0000|p01|t20|v-10,445.9343059125567,392.9797428257439,9.864050450274972,120.79478284245826,-0.0003119000091407,-10.0,20.0,64.3404085160455,34000.37792029501,42.929564851701954,0.000213961589785
ring_cv_dev_20260912_0000,ring_cv_dev_20260912_0000|p01,1,fabrication_realization,development,train,ring_cv_dev_20260912_0000|p01|t40|v0,445.9343059125567,392.9797428257439,9.864050450274972,120.79478284245826,-0.0003119000091407,0.0,40.0,1073.3656775330471,29597.171399584025,41.73060154614083,0.0002675849694665
ring_cv_dev_20260912_0000,ring_cv_dev_20260912_0000|p01,1,fabrication_realization,development,train,ring_cv_dev_20260912_0000|p01|t40|v-1,445.9343059125567,392.9797428257439,9.864050450274972,120.79478284245826,-0.0003119000091407,-1.0,40.0,1085.942065054951,30339.279232268476,41.94575872071493,0.0002574092124117
ring_cv_dev_20260912_0000,ring_cv_dev_20260912_0000|p01,1,fabrication_realization,development,train,ring_cv_dev_20260912_0000|p01|t40|v-2,445.9343059125567,392.9797428257439,9.864050450274972,120.79478284245826,-0.0003119000091407,-2.0,40.0,1096.3895218310429,30911.2596265162,42.10803576551226,0.0002498994378069
ring_cv_dev_20260912_0000,ring_cv_dev_20260912_0000|p01,1,fabrication_realization,development,train,ring_cv_dev_20260912_0000|p01|t40|v-4,445.9343059125567,392.9797428257439,9.864050450274972,120.79478284245826,-0.0003119000091407,-4.0,40.0,1112.3713282818244,31814.674078990352,42.358325564284215,0.0002385882808418
ring_cv_dev_20260912_0000,ring_cv_dev_20260912_0000|p01,1,fabrication_realization,development,train,ring_cv_dev_20260912_0000|p01|t40|v-10,445.9343059125567,392.9797428257439,9.864050450274972,120.79478284245826,-0.0003119000091407,-10.0,40.0,1137.7060860490928,33599.34339654972,42.83250718842051,0.0002180324553921
ring_cv_dev_20260912_0000,ring_cv_dev_20260912_0000|p01,1,fabrication_realization,development,train,ring_cv_dev_20260912_0000|p01|t60|v0,445.9343059125567,392.9797428257439,9.864050450274972,120.79478284245826,-0.0003119000091407,0.0,60.0,2146.731355065868,29058.8225681246,41.57716067080559,0.0002749974215539
ring_cv_dev_20260912_0000,ring_cv_dev_20260912_0000|p01,1,fabrication_realization,development,train,ring_cv_dev_20260912_0000|p01|t60|v-1,445.9343059125567,392.9797428257439,9.864050450274972,120.79478284245826,-0.0003119000091407,-1.0,60.0,2159.307742587771,29820.212320289025,41.801869990368935,0.000264186403702
ring_cv_dev_20260912_0000,ring_cv_dev_20260912_0000|p01,1,fabrication_realization,development,train,ring_cv_dev_20260912_0000|p01|t60|v-2,445.9343059125567,392.9797428257439,9.864050450274972,120.79478284245826,-0.0003119000091407,-2.0,60.0,2169.755199363862,30408.173706553676,41.971509433082375,0.0002562081482225
ring_cv_dev_20260912_0000,ring_cv_dev_20260912_0000|p01,1,fabrication_realization,development,train,ring_cv_dev_20260912_0000|p01|t60|v-4,445.9343059125567,392.9797428257439,9.864050450274972,120.79478284245826,-0.0003119000091407,-4.0,60.0,2185.7370058146444,31338.819326952234,42.23342834427406,0.0002441919232158
ring_cv_dev_20260912_0000,ring_cv_dev_20260912_0000|p01,1,fabrication_realization,development,train,ring_cv_dev_20260912_0000|p01|t60|v-10,445.9343059125567,392.9797428257439,9.864050450274972,120.79478284245826,-0.0003119000091407,-10.0,60.0,2211.071763581913,33184.474766249456,42.73058799307655,0.0002223564762825
ring_cv_dev_20260912_0000,ring_cv_dev_20260912_0000|p02,2,fabrication_realization,development,train,ring_cv_dev_20260912_0000|p02|t20|v0,443.402501578667,393.340282915644,9.86436336231555,120.79626871867708,-0.0002830666988855,0.0,20.0,0.0,30837.056687619865,42.0838182591562,0.0002473659308689
ring_cv_dev_20260912_0000,ring_cv_dev_20260912_0000|p02,2,fabrication_realization,development,train,ring_cv_dev_20260912_0000|p02|t20|v-1,443.402501578667,393.340282915644,9.86436336231555,120.79626871867708,-0.0002830666988855,-1.0,20.0,12.576269556575426,31597.59004290005,42.29549656915488,0.0002380771035811
ring_cv_dev_20260912_0000,ring_cv_dev_20260912_0000|p02,2,fabrication_realization,development,train,ring_cv_dev_20260912_0000|p02|t20|v-2,443.402501578667,393.340282915644,9.86436336231555,120.79626871867708,-0.0002830666988855,-2.0,20.0,23.024837307730195,32182.609792002564,42.454891719157246,0.0002312304597211
ring_cv_dev_20260912_0000,ring_cv_dev_20260912_0000|p02,2,fabrication_realization,development,train,ring_cv_dev_20260912_0000|p02|t20|v-4,443.402501578667,393.340282915644,9.86436336231555,120.79626871867708,-0.0002830666988855,-4.0,20.0,39.01170183530667,33105.95186147126,42.70066386999565,0.0002209167693838
ring_cv_dev_20260912_0000,ring_cv_dev_20260912_0000|p02,2,fabrication_realization,development,train,ring_cv_dev_20260912_0000|p02|t20|v-10,443.402501578667,393.340282915644,9.86436336231555,120.79626871867708,-0.0002830666988855,-10.0,20.0,64.37468600188367,34929.468954492455,43.16649995250082,0.0002021512249331
ring_cv_dev_20260912_0000,ring_cv_dev_20260912_0000|p02,2,fabrication_realization,development,train,ring_cv_dev_20260912_0000|p02|t40|v0,443.402501578667,393.340282915644,9.86436336231555,120.79626871867708,-0.0002830666988855,0.0,40.0,1073.569350452999,30284.540077762897,41.93278623360272,0.0002541332469087
ring_cv_dev_20260912_0000,ring_cv_dev_20260912_0000|p02,2,fabrication_realization,development,train,ring_cv_dev_20260912_0000|p02|t40|v-1,443.402501578667,393.340282915644,9.86436336231555,120.79626871867708,-0.0002830666988855,-1.0,40.0,1086.1456200095745,31065.23380885061,42.15391552835632,0.0002442648310898
