task,method,uses_kan_at_inference,test_points,test_finite_rate,dense_points,dense_finite_rate,formula_chars,active_terms,independent_replay_max_abs_error,latency_per_point_s,formula_to_network_rmse,formula_to_network_p95_abs_error,formula_to_network_max_abs_error,formula_to_network_r2,formula_to_tcad_rmse,formula_to_tcad_p95_abs_error,formula_to_tcad_max_abs_error,formula_to_tcad_r2,derivative_finite_rate,derivative_jump_p95,derivative_jump_max,derivative_jump_p95_normalized,derivative_jump_max_normalized,derivative_grid_points,derivative_anchor_count
I_dark,pure_symbolic_distillation,False,240,1.0,20000,1.0,3792,36,2.6777540460543037e-06,9.150261000002047e-07,0.019096374569966334,0.044867890000000236,0.07498119999999986,0.988458822999697,0.016388272691715063,0.03416017475194148,0.07498997956562192,0.9918638829794354,1.0,0.007133897335916115,0.008431654981905012,0.008976779655822503,0.010609783873033489,1001,24
I_photo,pure_symbolic_distillation,False,256,1.0,20000,1.0,8095,69,5.59526582399883e-07,1.3646510999997475e-06,0.00261805873571849,0.004892450000000048,0.007635200000000175,0.9862008789810492,0.0034765032941379745,0.00713709404442342,0.008004629166718402,0.9761659195953051,1.0,0.00040911572129402883,0.000584935926781327,0.00610040256217813,0.008722091185252448,1001,24
AC_Response,pure_symbolic_distillation,False,448,1.0,20000,1.0,63,10,8.881784197001252e-16,2.6999699999663563e-08,0.09741465904815608,0.1597315448351344,0.26518054561685744,0.9983805926743418,0.11270566372394183,0.19139781687098992,0.5980244249753399,0.9978566950110273,1.0,0.0015049026766813965,0.0015442844185571403,0.0021967816609181462,0.002254269158062097,1001,24
Capacitance,pure_symbolic_distillation,False,6400,1.0,20000,1.0,2381,24,1.0386133908225247e-23,1.074700649999727e-06,5.011129178302278e-19,1.1032719499999976e-18,1.7284399999999966e-18,0.9776165211082816,5.031972516141159e-19,1.1157403255006874e-18,2.935734228253545e-18,0.9782139556491846,1.0,2.3340161808137885e-19,3.3748174331095394e-18,0.016694090863019147,0.2413843971501008,1001,24
