task,seed,teacher,teacher_to_tcad_rmse,teacher_to_tcad_r2,teacher_to_tcad_p95_abs_error,teacher_to_tcad_max_abs_error,checkpoint,checkpoint_sha256,scaler_mean_max_relative_delta,parameter_count,checkpoint_output_scale_applied,train_time_s,frozen_test_prediction,replay_status,replay_max_abs_error,replay_rmse,replay_tolerance,frozen_scale_applied,test_rows
Capacitance,51,bkan_parameter_mean,7.091214025272415e-17,0.9995211429565979,1.1559024075321428e-16,9.630072469909654e-16,<REPO_ROOT>/artifacts\results\uq_repeated_grouped_capacitance\seed_51\Capacitance-bayes-results\model_checkpoint.pt,ea58c24d8817c992a3c7b28ca4e31f196d47824e5a65048a44a43ee8a80f0094,4.0645244801335165e-09,1477,1000.0,,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_51\Capacitance\bkan\test_predictions.csv,reference_difference_only,3.002147613727964e-17,2.8655145989450986e-18,4.1418518000000007e-19,1000.0,6400
Capacitance,51,dkan,1.6355284470323405e-16,0.9974526952957629,2.766617439786002e-16,1.4085991112312086e-15,,,,1477,,3.0687491000280716,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_51\Capacitance\dkan\test_predictions.csv,pass,5.664532828452246e-21,2.0516411242911528e-21,4.087474615750364e-19,1000.0,6400
Capacitance,51,mlp_l,4.395375058477982e-16,0.9816025948747834,1.0171349801574786e-15,1.7633332436813137e-15,,,,2625,,3.2587641999707557,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_51\Capacitance\mlp_l\test_predictions.csv,pass,5.823351512373315e-21,2.0197530667596504e-21,4.042463086409923e-19,1000.0,6400
