task,source,source_kind,family,budget,selected_alpha,terms,formula_chars,latency_per_point_s,test_finite_rate,dense_finite_rate,swept_axis_derivative_finite_rate,formula_to_network_rmse,formula_to_network_r2,formula_to_tcad_rmse,formula_to_tcad_r2,pareto_rmse_terms,pareto_rmse_chars,json_path,veriloga_path
Capacitance,bkan_parameter_mean,teacher_distillation,additive_spline,4,0.01,36,8663,1.5420000030038257e-07,1.0,1.0,1.0,2.899504609172451e-16,0.992513229318492,4.060360072993995e-16,0.9858149471007319,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\bkan_parameter_mean\additive_spline_4\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\bkan_parameter_mean\additive_spline_4\formula.va
Capacitance,bkan_parameter_mean,teacher_distillation,additive_spline,6,0.01,50,10187,1.542899990454316e-07,1.0,1.0,1.0,2.5339123261365423e-16,0.9942821850964453,3.844182325764425e-16,0.9872851916659234,False,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\bkan_parameter_mean\additive_spline_6\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\bkan_parameter_mean\additive_spline_6\formula.va
Capacitance,bkan_parameter_mean,teacher_distillation,additive_spline,8,0.01,64,11755,1.5235666651278734e-07,1.0,1.0,1.0,2.479055076996266e-16,0.9945270777913722,3.8168300462070204e-16,0.9874654857816658,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\bkan_parameter_mean\additive_spline_8\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\bkan_parameter_mean\additive_spline_8\formula.va
Capacitance,bkan_parameter_mean,teacher_distillation,polynomial,1,0.01,8,936,2.185499994084239e-07,1.0,1.0,1.0,1.9965779658989525e-15,0.645007259482312,1.9773115193017566e-15,0.6636030453602709,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\bkan_parameter_mean\polynomial_1\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\bkan_parameter_mean\polynomial_1\formula.va
Capacitance,bkan_parameter_mean,teacher_distillation,polynomial,2,0.01,36,2026,1.5640400000847876e-06,1.0,1.0,1.0,1.0980795626461648e-15,0.8926221902389625,1.0810413784104692e-15,0.899448976024563,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\bkan_parameter_mean\polynomial_2\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\bkan_parameter_mean\polynomial_2\formula.va
Capacitance,bkan_parameter_mean,teacher_distillation,polynomial,3,0.01,120,5288,4.657149999790514e-06,1.0,1.0,1.0,5.492862432419771e-16,0.9731314414003529,5.169772076586171e-16,0.977004404770303,False,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\bkan_parameter_mean\polynomial_3\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\bkan_parameter_mean\polynomial_3\formula.va
Capacitance,dkan,teacher_distillation,additive_spline,4,1e-08,36,8666,1.653433331133177e-07,1.0,1.0,1.0,3.291067415516184e-16,0.9897434862005793,4.461208188048669e-16,0.9828759359382097,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\dkan\additive_spline_4\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\dkan\additive_spline_4\formula.va
Capacitance,dkan,teacher_distillation,additive_spline,6,1e-08,50,10193,1.5527333210532863e-07,1.0,1.0,1.0,2.933212088494089e-16,0.9918527105897655,4.3901434226345904e-16,0.9834171459006492,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\dkan\additive_spline_6\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\dkan\additive_spline_6\formula.va
Capacitance,dkan,teacher_distillation,additive_spline,8,1e-08,64,11715,1.533166680019349e-07,1.0,1.0,1.0,2.830039509147407e-16,0.9924157750016356,4.377402719880109e-16,0.9835132569472202,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\dkan\additive_spline_8\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\dkan\additive_spline_8\formula.va
Capacitance,dkan,teacher_distillation,polynomial,1,0.01,8,937,1.9420000026002525e-07,1.0,1.0,1.0,2.0198841338389976e-15,0.6136515919838167,1.977043075339022e-15,0.663694379073509,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\dkan\polynomial_1\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\dkan\polynomial_1\formula.va
Capacitance,dkan,teacher_distillation,polynomial,2,0.01,36,2020,1.2603266669126848e-06,1.0,1.0,1.0,1.1573762984616707e-15,0.8731544078895656,1.080953015316941e-15,0.8994654132055784,False,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\dkan\polynomial_2\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\dkan\polynomial_2\formula.va
Capacitance,dkan,teacher_distillation,polynomial,3,1e-08,120,5274,4.822933334313954e-06,1.0,1.0,1.0,7.100539207995831e-16,0.9522570916747813,5.296022336637862e-16,0.9758675464533368,False,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\dkan\polynomial_3\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\dkan\polynomial_3\formula.va
Capacitance,mlp_l,teacher_distillation,additive_spline,4,0.0001,36,8670,1.468700007535517e-07,1.0,1.0,1.0,3.749798612670082e-16,0.9869638968280352,6.171368614819194e-16,0.9672308755543941,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\mlp_l\additive_spline_4\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\mlp_l\additive_spline_4\formula.va
Capacitance,mlp_l,teacher_distillation,additive_spline,6,0.0001,50,10218,1.4997666585259139e-07,1.0,1.0,1.0,3.741217298702389e-16,0.9870234941043564,6.270818924573892e-16,0.966166230733177,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\mlp_l\additive_spline_6\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\mlp_l\additive_spline_6\formula.va
Capacitance,mlp_l,teacher_distillation,additive_spline,8,1e-08,64,11751,1.528566664395233e-07,1.0,1.0,1.0,3.7485158737763434e-16,0.9869728141370187,6.279764308871344e-16,0.9660696334807666,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\mlp_l\additive_spline_8\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\mlp_l\additive_spline_8\formula.va
Capacitance,mlp_l,teacher_distillation,polynomial,1,0.01,8,932,1.8262999947182833e-07,1.0,1.0,1.0,1.8972181592349225e-15,0.6662921318603812,1.9770157353299946e-15,0.6637036803732652,True,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\mlp_l\polynomial_1\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\mlp_l\polynomial_1\formula.va
Capacitance,mlp_l,teacher_distillation,polynomial,2,1e-08,36,2028,1.3241566659417003e-06,1.0,1.0,1.0,8.233967954975458e-16,0.9371434926212907,1.0982897198965476e-15,0.8962147347096079,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\mlp_l\polynomial_2\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\mlp_l\polynomial_2\formula.va
Capacitance,mlp_l,teacher_distillation,polynomial,3,1e-08,120,5294,4.6069933334365485e-06,1.0,1.0,1.0,2.316317899814902e-16,0.9950257429126038,6.206233677686103e-16,0.9668595722284506,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\mlp_l\polynomial_3\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\mlp_l\polynomial_3\formula.va
Capacitance,tcad_direct,direct_tcad,additive_spline,4,0.01,36,8656,1.534866673561434e-07,1.0,1.0,1.0,,,3.945831811767337e-16,0.9866038808313086,True,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\tcad_direct\additive_spline_4\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\tcad_direct\additive_spline_4\formula.va
Capacitance,tcad_direct,direct_tcad,additive_spline,6,0.01,50,10219,1.6201333298037448e-07,1.0,1.0,1.0,,,3.710905360887944e-16,0.9881515478222601,True,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\tcad_direct\additive_spline_6\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\tcad_direct\additive_spline_6\formula.va
Capacitance,tcad_direct,direct_tcad,additive_spline,8,0.01,64,11751,1.82436666606615e-07,1.0,1.0,1.0,,,3.6853290869238945e-16,0.9883143086189553,True,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\tcad_direct\additive_spline_8\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\tcad_direct\additive_spline_8\formula.va
Capacitance,tcad_direct,direct_tcad,polynomial,1,0.01,8,934,1.9367666682228447e-07,1.0,1.0,1.0,,,1.9771467231237093e-15,0.6636591160620644,False,False,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\tcad_direct\polynomial_1\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\tcad_direct\polynomial_1\formula.va
Capacitance,tcad_direct,direct_tcad,polynomial,2,0.01,36,2026,1.2902166655597587e-06,1.0,1.0,1.0,,,1.0801772278310956e-15,0.8996096664445581,False,True,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\tcad_direct\polynomial_2\formula.json,artifacts\results\multi_teacher_symbolic_pareto_10split\seed_42\Capacitance\exports\Capacitance\tcad_direct\polynomial_2\formula.va
