curve_index,n_points,formula_bnn_rmse_sweep,formula_bnn_mae_sweep,formula_valid_count_sweep,formula_nan_rate_sweep,active_layer_length,simulation_temperature
1,28,0.09093764683101116,0.07639000265290696,400,0.0,35.793021097389925,308.86985058095934
2,28,0.13598962570077727,0.12105497155392804,400,0.0,37.10727035463277,300.4554170460457
3,28,0.09382561667170648,0.08056410560950794,400,0.0,37.50931802222772,308.1655826328421
4,28,0.13795091724198175,0.12273223820119185,400,0.0,37.79561575023349,300.3431374384869
5,28,0.13105866010807274,0.11520788498523586,400,0.0,38.37558042728467,295.9516778251947
6,28,0.12585813190837875,0.11257400343314179,400,0.0,38.422268984819695,304.0303353891022
