sqrt_term_count,sqrt_min_arg,sqrt_negative_count,reciprocal_term_count,reciprocal_min_abs_den,reciprocal_near_zero_count,scope,n_points,formula_valid_count,formula_nan_rate,formula_bnn_rmse,formula_bnn_mae,formula_bnn_max_abs_error,sweep_var,voltage_level,n_eval_points
0,,0,1,1.0063873114189223,0,test_points,448.0,448,0.0,0.10184947824023906,0.08544919321130218,0.28535707447096215,,,
0,,0,1,1.0111526208580426,0,sweep_active_layer_length_Low Bias,300.0,300,0.0,0.09662293902040678,0.0950405802121267,0.16538319421901626,active_layer_length,0.1584893192461111,
0,,0,1,1.2040715463644747,0,sweep_active_layer_length_Mid Bias,300.0,300,0.0,0.06223376553872296,0.061347495103858375,0.08307985824967634,active_layer_length,2.2535743732392324,
0,,0,1,4.680429071219619,0,sweep_active_layer_length_High Bias,300.0,300,0.0,0.17749109563122314,0.17674978611943962,0.20358503290408425,active_layer_length,31.622776601683796,
0,,0,1,1.0105723053397284,0,sweep_simulation_temperature_Low Bias,300.0,300,0.0,0.06320058246256313,0.06283623263437346,0.08659555713647649,simulation_temperature,0.1584893192461111,
0,,0,1,1.1934528867050938,0,sweep_simulation_temperature_Mid Bias,300.0,300,0.0,0.09026114579173367,0.08688517538991751,0.15888971747854708,simulation_temperature,2.2535743732392324,
0,,0,1,4.488921610213895,0,sweep_simulation_temperature_High Bias,300.0,300,0.0,0.19034975154898323,0.18453249883425593,0.2185579592083462,simulation_temperature,31.622776601683796,
0,,0,1,1.0065306579789468,0,real_condition_1,,400,0.0,0.11050332087872616,0.09662335243038286,0.19694544191573815,,,400.0
0,,0,1,1.0067830059855134,0,real_condition_2,,400,0.0,0.10925464557837002,0.09480367898469173,0.19767002075050932,,,400.0
0,,0,1,1.0069042002694664,0,real_condition_3,,400,0.0,0.11935454041578278,0.105631977870023,0.20450000018794157,,,400.0
0,,0,1,1.0069632761553367,0,real_condition_4,,400,0.0,0.12211611435800823,0.10682211877497597,0.24300682201732826,,,400.0
0,,0,1,1.0067435423628481,0,real_condition_5,,400,0.0,0.11925228030386215,0.10596465576193793,0.17820950452501716,,,400.0
0,,0,1,1.0068440367725355,0,real_condition_6,,400,0.0,0.11602256633734671,0.10324025012843911,0.18880380865361435,,,400.0
