frequency_ghz,active_layer_length,simulation_temperature,ac_response_db,tcad_model_space,bnn_model_space,formula_model_space,formula_minus_bnn,bnn_minus_tcad,formula_minus_tcad,formula_is_finite
0.1995262314968882,35.793021097389925,308.86985058095934,-0.0138990725597246,-0.0138990725597246,-0.020183325,0.01814647713020534,0.038329801944048114,-0.006284252254118173,0.03204554968992994,True
0.7943282347242822,37.50931802222772,308.1655826328421,-0.2860627428707353,-0.2860627428707353,-0.26882815,-0.3792542046903833,-0.1104260510801538,0.017234589260505806,-0.09319146181964799,True
31.622776601683796,38.69622270488729,301.9657628923453,-6.738576377623552,-6.738576377623552,-6.6770964,-6.465339329347953,0.21175703753437158,0.061480010741227886,0.27323704827559947,True
7.943282347242822,42.543125490608695,301.3994726877767,-3.5133387972006718,-3.5133387972006718,-3.535038,-3.589129111036737,-0.054091116651971305,-0.021699197184093855,-0.07579031383606516,True
0.3981071705534968,35.793021097389925,308.86985058095934,-0.068007265552926,-0.068007265552926,-0.07226324,-0.11465864972694018,-0.04239540891273119,-0.00425597526128299,-0.04665138417401418,True
0.2511886431509582,38.69622270488729,301.9657628923453,-0.0232215214884126,-0.0232215214884126,-0.02787137,-0.01212726691714927,0.015744103398402487,-0.004649848827139157,0.01109425457126333,True
1.2589254117941662,35.793021097389925,308.86985058095934,-0.5964012981260844,-0.5964012981260844,-0.6171545,-0.6906459394816524,-0.07349146045485799,-0.02075318090070999,-0.09424464135556798,True
10.0,38.422268984819695,304.0303353891022,-4.017301165117637,-4.017301165117637,-4.0028486,-4.135606137517882,-0.13275751233477617,0.014452539934531217,-0.11830497240024496,True
31.622776601683796,39.62193192256099,289.3285700165644,-7.036515789100446,-7.036515789100446,-6.765835,-6.689364062647053,0.07647074570255619,0.2706809807508366,0.34715172645339276,True
25.11886431509582,38.53132745549709,285.1813868750008,-6.852024014863588,-6.852024014863588,-6.3439198,-6.344278926839076,-0.00035917281075548146,0.5081042608352675,0.507745088024512,True
12.589254117941662,39.90607827400121,296.137708789732,-4.576999110149035,-4.576999110149035,-4.557415,-4.703195937839958,-0.14578092929503583,0.019584101604112725,-0.1261968276909231,True
0.1,37.10727035463277,300.4554170460457,0.0,0.0,-0.005649805,0.08226504235219245,0.08791484742116218,-0.0056498050689697266,0.08226504235219245,True
0.1,41.26661222078493,300.2753689300697,0.0,0.0,-0.0029509068,0.08688379647160716,0.0898347032251472,-0.002950906753540039,0.08688379647160716,True
3.981071705534969,37.10727035463277,300.4554170460457,-2.35543859764305,-2.35543859764305,-2.3415732,-2.181633758768304,0.15993947960449884,0.013865359270247346,0.17380483887474618,True
0.5011872336272715,39.90607827400121,296.137708789732,-0.1100458405150236,-0.1100458405150236,-0.10306072,-0.17450713021995767,-0.07144640786888345,0.00698511816394938,-0.06446128970493407,True
1.584893192461111,37.79561575023349,300.3431374384869,-0.8636344204329744,-0.8636344204329744,-0.8362899,-0.88497623899449,-0.04868635633457785,0.02734453777306234,-0.021341818561515513,True
0.5011872336272715,37.10727035463277,300.4554170460457,-0.1095701566294128,-0.1095701566294128,-0.10821509,-0.180319487002766,-0.07210439339009511,0.001355063016741903,-0.07074933037335321,True
3.1622776601683795,37.79561575023349,300.3431374384869,-1.9589543160554184,-1.9589543160554184,-1.9253933,-1.7788669034313518,0.14652643954044997,0.03356097308361661,0.18008741262406658,True
12.589254117941662,35.793021097389925,308.86985058095934,-4.446053029275105,-4.446053029275105,-4.4974,-4.639720789863061,-0.14232098288674244,-0.05134677770121332,-0.19366776058795576,True
1.0,38.37558042728467,295.9516778251947,-0.4036945076108269,-0.4036945076108269,-0.39549828,-0.5065882591422266,-0.11108998338539067,0.008196231853990987,-0.10289375153139968,True
3.1622776601683795,35.793021097389925,308.86985058095934,-1.9347303554946065,-1.9347303554946065,-1.9675288,-1.7929357843552634,0.17459303568257845,-0.03279846454323532,0.14179457113934313,True
2.511886431509582,39.62193192256099,289.3285700165644,-1.545451634694084,-1.545451634694084,-1.5209916,-1.4117369375626092,0.10925462623438786,0.024460070897087016,0.13371469713147488,True
0.2511886431509582,41.95641496228942,305.9180523366615,-0.0223511695885092,-0.0223511695885092,-0.02426505,-0.007796571160527677,0.016468479727533847,-0.0019138812995523231,0.014554598427981524,True
0.5011872336272715,41.26661222078493,300.2753689300697,-0.1013292688216718,-0.1013292688216718,-0.1026659,-0.17333625263684738,-0.07067035145276535,-0.001336632362410231,-0.07200698381517558,True
19.952623149688822,37.50931802222772,308.1655826328421,-5.596416160925796,-5.596416160925796,-5.5189757,-5.577505957726086,-0.05853022301539301,0.0774404262151025,0.018910203199709485,True
39.81071705534969,41.95641496228942,305.9180523366615,-6.519757661340616,-6.519757661340616,-6.6166506,-6.672596186535973,-0.05594560517610958,-0.09689292001924699,-0.15283852519535657,True
3.1622776601683795,38.37558042728467,295.9516778251947,-1.968116528252168,-1.968116528252168,-1.9257206,-1.7726469825366022,0.1530735899350164,0.04239595578054933,0.19546954571556574,True
