logical_path,bytes,rows,sha256,status
<FROZEN_TCAD_ROOT>/Data/Data_20260617_0243_181408/data/trap_assisted_recomb_A_1.02e-09_ge_sio2_recomb_velocity_2414.99_ge_si_recomb_velocity_525.50_active_layer_length_41.93_simulation_temperature_295.93.csv,5176,28,3331d2aeea156b50af6d5bb4a2365ba81fb74db9a7c3443032bd62d9c4c554e8,recovered_local_hash_registered_not_packaged
<FROZEN_TCAD_ROOT>/Data/Data_20260617_0243_181408/data/trap_assisted_recomb_A_1.02e-09_ge_sio2_recomb_velocity_2420.21_ge_si_recomb_velocity_495.39_active_layer_length_39.19_simulation_temperature_307.54.csv,5115,28,ec0864c17ab856adc054e215b7a6fadc1980e0f83ecb2bccd072eb1d170acc40,recovered_local_hash_registered_not_packaged
<FROZEN_TCAD_ROOT>/Data/Data_20260617_0243_181408/data/trap_assisted_recomb_A_1.02e-09_ge_sio2_recomb_velocity_2420.87_ge_si_recomb_velocity_485.83_active_layer_length_41.84_simulation_temperature_301.84.csv,5125,28,c5f610c01b0ef09c128eeff179a345bec5d3b8d3dae4c0f0eef556528e77bf7b,recovered_local_hash_registered_not_packaged
<FROZEN_TCAD_ROOT>/Data/Data_20260617_0243_181408/data/trap_assisted_recomb_A_1.02e-09_ge_sio2_recomb_velocity_2547.66_ge_si_recomb_velocity_498.18_active_layer_length_42.57_simulation_temperature_293.18.csv,5177,28,bda5f1ffeda4e1ebc862e70609854666604323f738bf30d659b763dc4a0331b6,recovered_local_hash_registered_not_packaged
<FROZEN_TCAD_ROOT>/Data/Data_20260617_0243_181408/data/trap_assisted_recomb_A_1.02e-09_ge_sio2_recomb_velocity_2560.24_ge_si_recomb_velocity_475.65_active_layer_length_41.11_simulation_temperature_291.85.csv,5180,28,c18871f5ee473e883f86c772c8b09ac403ab00ce40f7ec3b21563ef5d89e21f2,recovered_local_hash_registered_not_packaged
<FROZEN_TCAD_ROOT>/Data/Data_20260617_0243_181408/data/trap_assisted_recomb_A_1.03e-09_ge_sio2_recomb_velocity_2437.72_ge_si_recomb_velocity_482.60_active_layer_length_40.65_simulation_temperature_299.47.csv,5171,28,c9c2ff5ad33f7495c5418a4cf9d20f324f5af7355647d6b0673307ecc4426b02,recovered_local_hash_registered_not_packaged
<FROZEN_TCAD_ROOT>/Data/Data_20260617_0243_181408/data/trap_assisted_recomb_A_1.03e-09_ge_sio2_recomb_velocity_2501.26_ge_si_recomb_velocity_454.40_active_layer_length_39.59_simulation_temperature_297.09.csv,5146,28,36b590978ea4d67ff5e4193c1c15b089a73f7143cabe9f1ee9eb863ed826538e,recovered_local_hash_registered_not_packaged
<FROZEN_TCAD_ROOT>/Data/Data_20260617_0243_181408/data/trap_assisted_recomb_A_1.03e-09_ge_sio2_recomb_velocity_2525.85_ge_si_recomb_velocity_522.48_active_layer_length_38.90_simulation_temperature_292.99.csv,5115,28,72ce26c19e7bdccce1b213511ca1f183336fa6fea6b62e4be60258b960bd1e46,recovered_local_hash_registered_not_packaged
<FROZEN_TCAD_ROOT>/Data/Data_20260617_0243_181408/data/trap_assisted_recomb_A_1.03e-09_ge_sio2_recomb_velocity_2526.17_ge_si_recomb_velocity_478.81_active_layer_length_42.09_simulation_temperature_293.44.csv,5121,28,573404056bfee2c68a0c1f1db55104bbcf388576b2995bf485bf9dec6ced99a1,recovered_local_hash_registered_not_packaged
<FROZEN_TCAD_ROOT>/Data/Data_20260617_0243_181408/data/trap_assisted_recomb_A_1.03e-09_ge_sio2_recomb_velocity_2572.15_ge_si_recomb_velocity_521.82_active_layer_length_39.43_simulation_temperature_296.40.csv,5153,28,0dbc2f857f1720313c87a1012d1b2c69c5693ee3e77bff6fb1003fd8b33f9c40,recovered_local_hash_registered_not_packaged
