sqrt_term_count,sqrt_min_arg,sqrt_negative_count,reciprocal_term_count,reciprocal_min_abs_den,reciprocal_near_zero_count,scope,n_points,formula_valid_count,formula_nan_rate,formula_bnn_rmse,formula_bnn_mae,formula_bnn_max_abs_error,sweep_var,voltage_level,n_eval_points
4,0.0405129503081924,0,1,1.0513176166320815,0,test_points,256.0,256,0.0,0.004115929573422736,0.0031058774442075093,0.011426166469990395,,,
4,2.8405129026244764,0,1,1.4692905839686876,0,sweep_trap_assisted_recomb_A_Low Bias,300.0,300,0.0,0.0024025031102627636,0.0018448411411150219,0.005302961769789949,trap_assisted_recomb_A,-2.8000000000000003,
4,1.5405129503081925,0,1,1.4692905839686876,0,sweep_trap_assisted_recomb_A_Mid Bias,300.0,300,0.0,0.0022785871874548605,0.001982735429322222,0.0043278564221380655,trap_assisted_recomb_A,-1.5,
4,0.24051295328842465,0,1,1.4692905839686876,0,sweep_trap_assisted_recomb_A_High Bias,300.0,300,0.0,0.0034141191335496862,0.0028774450002896418,0.007332820689672115,trap_assisted_recomb_A,-0.2,
4,2.8405129026244764,0,1,1.4692905839686876,0,sweep_ge_sio2_recomb_velocity_Low Bias,300.0,300,0.0,0.002153388698712705,0.0019532178151591274,0.003924502221736681,ge_sio2_recomb_velocity,-2.8000000000000003,
4,1.5405129503081925,0,1,1.4692905839686876,0,sweep_ge_sio2_recomb_velocity_Mid Bias,300.0,300,0.0,0.0010611321633590765,0.000877396210550326,0.002234389486523991,ge_sio2_recomb_velocity,-1.5,
4,0.24051295328842465,0,1,1.4692905839686876,0,sweep_ge_sio2_recomb_velocity_High Bias,300.0,300,0.0,0.003701196545548514,0.0036055385028810265,0.004955055485732718,ge_sio2_recomb_velocity,-0.2,
4,2.8405129026244764,0,1,1.4692905839686876,0,sweep_ge_si_recomb_velocity_Low Bias,300.0,300,0.0,0.001640313184555944,0.0013782811099082067,0.0044699663480192164,ge_si_recomb_velocity,-2.8000000000000003,
4,1.5405129503081925,0,1,1.4692905839686876,0,sweep_ge_si_recomb_velocity_Mid Bias,300.0,300,0.0,0.0020945796038072777,0.0012041343972163698,0.007497941087582394,ge_si_recomb_velocity,-1.5,
4,0.24051295328842465,0,1,1.4692905839686876,0,sweep_ge_si_recomb_velocity_High Bias,300.0,300,0.0,0.0039253116463210756,0.0037351777460578467,0.006459857022468984,ge_si_recomb_velocity,-0.2,
4,2.8405129026244764,0,1,1.0513173006772991,0,sweep_active_layer_length_Low Bias,300.0,300,0.0,0.00152654033162979,0.0013967061193640277,0.0026526632814518614,active_layer_length,-2.8000000000000003,
4,1.5405129503081925,0,1,1.0513173006772991,0,sweep_active_layer_length_Mid Bias,300.0,300,0.0,0.0012005114315603463,0.0009162249126295589,0.0032911083628062165,active_layer_length,-1.5,
4,0.24051295328842465,0,1,1.0513173006772991,0,sweep_active_layer_length_High Bias,300.0,300,0.0,0.003333688174118141,0.003086048207555095,0.005131912702048158,active_layer_length,-0.2,
4,2.8405129026244764,0,1,1.4692905839686876,0,sweep_simulation_temperature_Low Bias,300.0,300,0.0,0.002977902231091886,0.0027941385083099387,0.004008174719321911,simulation_temperature,-2.8000000000000003,
4,1.5405129503081925,0,1,1.4692905839686876,0,sweep_simulation_temperature_Mid Bias,300.0,300,0.0,0.001696782618565205,0.00147452085046917,0.002501427805632339,simulation_temperature,-1.5,
4,0.24051295328842465,0,1,1.4692905839686876,0,sweep_simulation_temperature_High Bias,300.0,300,0.0,0.004977978680952555,0.004876116658038828,0.005906848418594013,simulation_temperature,-0.2,
4,0.0405129503081924,0,1,2.234458101735383,0,real_condition_1,,400,0.0,0.004657518632729748,0.003915985429938307,0.010636127775639714,,,400.0
4,0.0405129503081924,0,1,1.2561574370333481,0,real_condition_2,,400,0.0,0.0041169481478699425,0.00385233278274312,0.007910719391434284,,,400.0
4,0.0405129503081924,0,1,1.7191748543104026,0,real_condition_3,,400,0.0,0.0023450739929706467,0.0016667998634682223,0.006736309510626981,,,400.0
4,0.0405129503081924,0,1,2.1535661953548395,0,real_condition_4,,400,0.0,0.007192802181461977,0.00675881913389064,0.013595770510137939,,,400.0
4,0.0405129503081924,0,1,1.6501849809010887,0,real_condition_5,,400,0.0,0.0017747296485976114,0.0015985784507605173,0.0033942732785190444,,,400.0
4,0.0405129503081924,0,1,2.1250730292952955,0,real_condition_6,,400,0.0,0.004069988846025016,0.0035390255514405446,0.009105567429418482,,,400.0
