curve_index,n_points,formula_bnn_rmse_sweep,formula_bnn_mae_sweep,formula_valid_count_sweep,formula_nan_rate_sweep,trap_assisted_recomb_A,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature
1,16,0.0008736857439266663,0.0005995925793749313,400,0.0,8.64757430416121e-10,2613.398572092139,483.2695161383806,39.73131063338137,294.42197627514213
2,16,0.0007567378291369192,0.0005754933590188726,400,0.0,8.688108546297865e-10,2646.5653288453154,498.36187777461095,39.94029005251662,299.6218359156308
3,16,0.0014133627375630285,0.0011997057606580074,400,0.0,8.920412889937108e-10,2700.220283946353,481.8164609958477,41.48473029075561,294.1535226587993
4,16,0.003275887592194532,0.003112228079257443,400,0.0,9.32148229008894e-10,2545.124905053194,512.7371789301767,40.07870713980076,299.5411124372077
5,16,0.0027246757147594784,0.0021191616563985137,400,0.0,9.431291378149591e-10,2617.847164727645,540.4486468445567,38.69622270488729,301.9657628923453
6,16,0.002281665216990675,0.002190506934250973,400,0.0,9.676899592457672e-10,2498.119875502734,535.4265253830317,42.346830624956574,300.5747457097431
