light_voltage,trap_assisted_recomb_A,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature,light_current,tcad_model_space,bnn_model_space,formula_model_space,formula_minus_bnn,bnn_minus_tcad,formula_minus_tcad,formula_is_finite
-1.8,9.32148229008894e-10,2545.124905053194,512.7371789301767,40.07870713980076,299.5411124372077,0.0005020171428089,-3.29928145237651,-3.2971053,-3.294393601835788,0.002711710511623888,0.0021761400290980504,0.004887850540721939,True
-0.6000000000000001,8.688108546297865e-10,2646.5653288453154,498.36187777461095,39.94029005251662,299.6218359156308,0.0004658841424246,-3.33172207163956,-3.3280542,-3.3281782232374004,-0.00012403355539358785,0.0036678819575532984,0.0035438484021597105,True
-0.8,9.431291378149591e-10,2617.847164727645,540.4486468445567,38.69622270488729,301.9657628923453,0.0004729172645478,-3.3252148311294683,-3.3214798,-3.319043186646809,0.002436610716472387,0.0037350337661870014,0.006171644482659389,True
-2.2,1.1037395013588123e-09,2531.0169366346463,492.6438219382251,36.10636397779454,299.96382807834965,0.0005027257292217,-3.2986688872543954,-3.294026,-3.2922060006369427,0.0018198973427936416,0.004642989274659115,0.006462886617452757,True
-1.8,8.688108546297865e-10,2646.5653288453154,498.36187777461095,39.94029005251662,299.6218359156308,0.0004982682590934,-3.3025367775683443,-3.2988303,-3.298650201369382,0.0001800693978299961,0.003706506801132381,0.003886576198962377,True
-3.0,9.973807555784963e-10,2483.6702561944007,499.2076886794748,40.248277237816566,302.09732544564235,0.0005290784002941,-3.276479968244098,-3.2791142,-3.2769757769569217,0.0021384694114865432,-0.002634278124310274,-0.000495808712823731,True
-2.4000000000000004,9.32148229008894e-10,2545.124905053194,512.7371789301767,40.07870713980076,299.5411124372077,0.0005116824926415,-3.2909994422799116,-3.2884264,-3.2857255055787347,0.002700893652222369,0.0025730430489545597,0.005273936701176929,True
-0.6000000000000001,9.973807555784963e-10,2483.6702561944007,499.2076886794748,40.248277237816566,302.09732544564235,0.0004791499427152,-3.319528559437834,-3.32249,-3.320587306473721,0.0019026704092137692,-0.0029614174451007003,-0.001058747035886931,True
-2.4000000000000004,1.2225745089622023e-09,2432.279761567632,478.07469592026655,37.79561575023349,300.3431374384869,0.0005152431817196,-3.287987746586394,-3.2894611,-3.285248336816682,0.004212799047575988,-0.0014733892778640012,0.002739409769711987,True
-3.0,1.2225745089622023e-09,2432.279761567632,478.07469592026655,37.79561575023349,300.3431374384869,0.0005225041264957,-3.2819102753466014,-3.2830384,-3.279141453746275,0.0038969240155659612,-0.0011281024152394181,0.002768821600326543,True
0.0,1.011801650795657e-09,2503.197375042157,521.464297637573,42.04226242943757,288.6545802497056,0.0004550106762044,-3.3419784130961574,-3.348755,-3.3448010775057266,0.003953805306773361,-0.0067764697163426035,-0.002822664409569242,True
-0.8,8.920412889937108e-10,2700.220283946353,481.8164609958477,41.48473029075561,294.1535226587993,0.0004792001926223,-3.3194830160469895,-3.3208306,-3.3205454950700712,0.0002850885023164551,-0.0013475675253982189,-0.0010624790230817638,True
-0.4,1.0676002138658572e-09,2409.8209682971515,478.7831941058398,39.56928699408093,298.75903253628616,0.0004711316375973,-3.3268577308868355,-3.3235605,-3.326851133149898,-0.003290656846797635,0.0032972545837348655,6.597736937230536e-06,True
0.0,8.920412889937108e-10,2700.220283946353,481.8164609958477,41.48473029075561,294.1535226587993,0.0004366679984841,-3.359848634483562,-3.362592,-3.360387342344108,0.002204639543709419,-0.002743347404255303,-0.0005387078605458839,True
-2.4000000000000004,9.973807555784963e-10,2483.6702561944007,499.2076886794748,40.248277237816566,302.09732544564235,0.0005214107149743,-3.2828200483376215,-3.285289,-3.283337843300995,0.0019512058475643634,-0.002469000810938038,-0.0005177949633736745,True
-2.8000000000000003,8.64757430416121e-10,2613.398572092139,483.2695161383806,39.73131063338137,294.42197627514213,0.0005231058379944,-3.281410433108474,-3.284381,-3.284007399815522,0.00037351296523979727,-0.002970479672287585,-0.0025969667070477875,True
-1.6,1.2225745089622023e-09,2432.279761567632,478.07469592026655,37.79561575023349,300.3431374384869,0.0005022453298765,-3.2990840928441143,-3.302061,-3.2970856215858513,0.004975459346765909,-0.0029769880885028854,0.0019984712582630237,True
-0.4,9.973807555784963e-10,2483.6702561944007,499.2076886794748,40.248277237816566,302.09732544564235,0.0004702029364691,-3.327714662985762,-3.330489,-3.328125816926039,0.0023631032857531764,-0.0027742572260298637,-0.0004111539402766873,True
-0.8,8.688108546297865e-10,2646.5653288453154,498.36187777461095,39.94029005251662,299.6218359156308,0.000473291579902,-3.3248712217830656,-3.3210628,-3.321623922734888,-0.0005611194664552066,0.003808418514632983,0.0032472990481777764,True
-1.2000000000000002,9.431291378149591e-10,2617.847164727645,540.4486468445567,38.69622270488729,301.9657628923453,0.0004848347174512,-3.314406289300434,-3.3104918,-3.308843901728772,0.0016478985794554646,0.003914488992206255,0.00556238757166172,True
-2.6,9.91880560193061e-10,2562.543459042286,488.1664551370801,40.47383155665718,295.6008889602198,0.0005278129236069,-3.277519980196968,-3.2787728,-3.281496892512882,-0.0027240615497472476,-0.0012528507661668797,-0.003976912315914127,True
-3.0,9.676899592457672e-10,2498.119875502734,535.4265253830317,42.346830624956574,300.5747457097431,0.0005264808856342,-3.278617391647123,-3.2687342,-3.2705611186832413,-0.0018269019931778097,0.00988317495705937,0.008056272963881561,True
-2.2,1.0676002138658572e-09,2409.8209682971515,478.7831941058398,39.56928699408093,298.75903253628616,0.0005183964060975,-3.285338017973564,-3.2835546,-3.28479660753899,-0.001242053553394129,0.0017834639879681369,0.0005414104345740078,True
-2.2,1.0284216851224184e-09,2501.257472196243,454.39559500401634,39.58517778577758,297.0863250737395,0.0005175590227124,-3.2860401158678902,-3.2875426,-3.2887148006042266,-0.0011722190459990678,-0.0015024656903372957,-0.0026746847363363635,True
-0.6000000000000001,1.0511173572717443e-09,2495.130349883853,523.8477826070769,41.27631172344517,301.59948365785385,0.0004733068953595,-3.324857168477774,-3.3182914,-3.315821676344775,0.0024697493601810727,0.006565742772818073,0.009035492132999146,True
-1.2000000000000002,9.973807555784963e-10,2483.6702561944007,499.2076886794748,40.248277237816566,302.09732544564235,0.000498532222995,-3.3023067655034906,-3.305092,-3.3038423078040906,0.001249788524644746,-0.0027853308252447917,-0.0015355423006000457,True
-2.8000000000000003,1.2225745089622023e-09,2432.279761567632,478.07469592026655,37.79561575023349,300.3431374384869,0.0005202577122335,-3.283781473143002,-3.2846565,-3.2809493222933215,0.0037072023648816455,-0.0008750515152011751,0.0028321508496804704,True
-2.6,1.058962492367367e-09,2306.068264987093,513.3151002778768,40.55455133934368,303.4784744400111,0.0005338470457935,-3.272583156235652,-3.2746632,-3.276423006211072,-0.0017597962959108315,-0.0020800536795091418,-0.0038398499754199733,True
-0.2,8.64757430416121e-10,2613.398572092139,483.2695161383806,39.73131063338137,294.42197627514213,0.0004546066087961,-3.34236425505448,-3.346526,-3.344525308288666,0.002000599227813371,-0.004161652461999399,-0.002161053234186028,True
-2.8000000000000003,1.0676002138658572e-09,2409.8209682971515,478.7831941058398,39.56928699408093,298.75903253628616,0.0005264389925432,-3.278651950664647,-3.2770896,-3.277736401678742,-0.0006468058840640722,0.0015623548699692513,0.0009155489859051791,True
-0.4,1.011801650795657e-09,2503.197375042157,521.464297637573,42.04226242943757,288.6545802497056,0.000480593811118,-3.3182218261551064,-3.3229935,-3.3212878552424514,0.001705661679545667,-0.004771690766890657,-0.0030660290873449902,True
-0.2,9.676899592457672e-10,2498.119875502734,535.4265253830317,42.346830624956574,300.5747457097431,0.00045610687665,-3.3409333799216676,-3.3297887,-3.3293103968631184,0.00047828798185234334,0.011144695076696909,0.011622983058549252,True
-2.6,9.676899592457672e-10,2498.119875502734,535.4265253830317,42.346830624956574,300.5747457097431,0.0005214690875761,-3.2827714312317564,-3.272247,-3.2743735182361844,-0.00212644220163849,0.010524355197210511,0.008397912995572021,True
-2.0,1.0676002138658572e-09,2409.8209682971515,478.7831941058398,39.56928699408093,298.75903253628616,0.0005152258395637,-3.288002364401111,-3.2860603,-3.287679208859426,-0.0016188756074728694,0.00194203114915803,0.0003231555416851606,True
-1.4,9.973807555784963e-10,2483.6702561944007,499.2076886794748,40.248277237816566,302.09732544564235,0.0005034374159734,-3.2980545103869288,-3.3009777,-3.2994885184922333,0.001489188416946341,-0.002923196522250926,-0.001434008105304585,True
-0.6000000000000001,1.1065063764088474e-09,2603.202340784687,488.6799605874269,40.68035124967265,296.73843693227377,0.0004820083434256,-3.3169454441836876,-3.3165522,-3.321126361005995,-0.004574198835584742,0.000393282013277485,-0.004180916822307257,True
-1.0,1.1065063764088474e-09,2603.202340784687,488.6799605874269,40.68035124967265,296.73843693227377,0.0004959529584716,-3.304559514729699,-3.3043318,-3.3090641722764715,-0.0047323927964910695,0.00022773524971864134,-0.004504657546772428,True
-0.4,1.0511173572717443e-09,2495.130349883853,523.8477826070769,41.27631172344517,301.59948365785385,0.0004645018595891,-3.333012543010128,-3.3262866,-3.3232325441783463,0.0030540101582015033,0.006725988673580208,0.009779998831781711,True
-1.8,9.91880560193061e-10,2562.543459042286,488.1664551370801,40.47383155665718,295.6008889602198,0.0005151435999476,-3.288071691402034,-3.2892458,-3.2927615506708747,-0.0035157067835456246,-0.0011741524852952878,-0.004689859268840912,True
-2.0,9.431291378149591e-10,2617.847164727645,540.4486468445567,38.69622270488729,301.9657628923453,0.000501691775753,-3.299563018315214,-3.2954378,-3.2941565030151203,0.0012813097900554737,0.0041252055100380325,0.005406515300093506,True
