sample_id,terminal_charge_bias_v,trap_assisted_recomb_A,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature,compact_port_positive_charge_C,compact_port_negative_charge_C,compact_port_charge_conservation_residual_C,production_source_row,split
0,-3.0,1.050818199825069e-09,2510.995503216453,520.189852554912,38.50508417894045,294.1262317171733,-2.443656669072926e-15,2.443656669072926e-15,0.0,0,train
0,-2.75,1.050818199825069e-09,2510.995503216453,520.189852554912,38.50508417894045,294.1262317171733,-2.1456144580494844e-15,2.1456144580494844e-15,0.0,0,train
0,-2.5,1.050818199825069e-09,2510.995503216453,520.189852554912,38.50508417894045,294.1262317171733,-1.868398313047305e-15,1.868398313047305e-15,0.0,0,train
0,-2.25,1.050818199825069e-09,2510.995503216453,520.189852554912,38.50508417894045,294.1262317171733,-1.6105502599488353e-15,1.6105502599488353e-15,0.0,0,train
0,-2.0,1.050818199825069e-09,2510.995503216453,520.189852554912,38.50508417894045,294.1262317171733,-1.3707097204578793e-15,1.3707097204578793e-15,0.0,0,train
0,-1.75,1.050818199825069e-09,2510.995503216453,520.189852554912,38.50508417894045,294.1262317171733,-1.147916342648225e-15,1.147916342648225e-15,0.0,0,train
0,-1.5,1.050818199825069e-09,2510.995503216453,520.189852554912,38.50508417894045,294.1262317171733,-9.413360829556054e-16,9.413360829556054e-16,0.0,0,train
0,-1.25,1.050818199825069e-09,2510.995503216453,520.189852554912,38.50508417894045,294.1262317171733,-7.502760476962464e-16,7.502760476962464e-16,0.0,0,train
0,-1.0,1.050818199825069e-09,2510.995503216453,520.189852554912,38.50508417894045,294.1262317171733,-5.739135580265852e-16,5.739135580265852e-16,0.0,0,train
0,-0.75,1.050818199825069e-09,2510.995503216453,520.189852554912,38.50508417894045,294.1262317171733,-4.11246691240336e-16,4.11246691240336e-16,0.0,0,train
0,-0.5,1.050818199825069e-09,2510.995503216453,520.189852554912,38.50508417894045,294.1262317171733,-2.614929193850814e-16,2.614929193850814e-16,0.0,0,train
0,-0.25,1.050818199825069e-09,2510.995503216453,520.189852554912,38.50508417894045,294.1262317171733,-1.2422694791402968e-16,1.2422694791402968e-16,0.0,0,train
0,0.0,1.050818199825069e-09,2510.995503216453,520.189852554912,38.50508417894045,294.1262317171733,0.0,-0.0,0.0,0,train
1,-3.0,8.758150413106088e-10,2554.792538970499,492.8309420700668,37.207464786418186,297.95471711920453,-2.3753355572419905e-15,2.3753355572419905e-15,0.0,1,train
