stage,step,temperature,train_total,train_value,train_observed_weight,train_bayesian_distillation,train_derivative,train_curve_shape,train_kan_residual,train_complexity,train_binary,validation_total,validation_value,validation_observed_weight,validation_bayesian_distillation,validation_derivative,validation_curve_shape,validation_kan_residual,validation_complexity,validation_binary,active_terms
symbolic_warmup,1,2.0,0.31889986991882324,0.25513726472854614,1.0,0.2550504207611084,0.0,0.08241494745016098,0.0026106613222509623,0.3309127390384674,0.16301405429840088,0.3006684184074402,0.24052730202674866,1.0,0.2405644804239273,0.0,0.07593698054552078,0.001675156643614173,0.33090826869010925,0.16301433742046356,68
symbolic_warmup,25,2.0,0.17690807580947876,0.14153815805912018,1.0,0.14147968590259552,0.0,0.4147767424583435,0.0026106613222509623,0.33144110441207886,0.1630007028579712,0.15200471878051758,0.12156718969345093,1.0,0.121750108897686,0.0,0.4228662848472595,0.001675156643614173,0.3314566910266876,0.1629997193813324,68
symbolic_warmup,50,2.0,0.10419444739818573,0.08336474746465683,1.0,0.083318792283535,0.0,0.3025241494178772,0.0026106613222509623,0.33141204714775085,0.16298896074295044,0.08660527318716049,0.06926405429840088,1.0,0.06936487555503845,0.0,0.2999264895915985,0.001675156643614173,0.3314245343208313,0.16298818588256836,68
symbolic_warmup,75,2.0,0.04447811841964722,0.035588715225458145,1.0,0.03555760532617569,0.0,0.11725972592830658,0.0026106613222509623,0.33172357082366943,0.16297632455825806,0.03912417218089104,0.031274210661649704,1.0,0.03139984607696533,0.0,0.10925665497779846,0.001675156643614173,0.33173656463623047,0.16297590732574463,68
symbolic_warmup,100,2.0,0.0025281812995672226,0.0020263371989130974,1.0,0.002007376868277788,0.0,0.00035835488233715296,0.0026106613222509623,0.33218780159950256,0.1629582941532135,0.001751445815898478,0.0013968029525130987,1.0,0.001418571569956839,0.0,0.00015181618800852448,0.001675156643614173,0.33220821619033813,0.1629573553800583,68
symbolic_warmup,125,2.0,0.0006564871873706579,0.0005240747123025358,1.0,0.0005296500166878104,0.0,4.6226134145399556e-05,0.0026106613222509623,0.3322501480579376,0.16295340657234192,0.0006175106973387301,0.000501325586810708,1.0,0.0004647403839044273,0.0,4.233238723827526e-05,0.001675156643614173,0.33224010467529297,0.1629536896944046,68
symbolic_warmup,150,2.0,0.0001610493054613471,0.00012969027739018202,1.0,0.0001254360977327451,0.0,2.5374869437655434e-05,0.0026106613222509623,0.3320814073085785,0.16295714676380157,0.00015685870312154293,0.00012850762868765742,1.0,0.00011340428318362683,0.0,1.949467696249485e-05,0.001675156643614173,0.3320784568786621,0.16295716166496277,68
symbolic_warmup,175,2.0,0.00011002618703059852,8.852909377310425e-05,1.0,8.598836575401947e-05,0.0,2.1260797439026646e-05,0.0026106613222509623,0.3320469856262207,0.1629558503627777,0.00011905808059964329,9.910222433973104e-05,1.0,7.982341048773378e-05,0.0,1.9592531316448003e-05,0.001675156643614173,0.33204585313796997,0.16295580565929413,68
symbolic_warmup,200,2.0,9.599579789210111e-05,7.745660695945844e-05,1.0,7.41567782824859e-05,0.0,1.9022143533220515e-05,0.0026106613222509623,0.332009881734848,0.16295509040355682,0.00010264864249620587,8.582290320191532e-05,1.0,6.730294262524694e-05,0.0,1.7615027900319546e-05,0.001675156643614173,0.3320084810256958,0.16295507550239563,68
symbolic_warmup,225,2.0,8.474469359498471e-05,6.85800114297308e-05,1.0,6.465872866101563e-05,0.0,1.713754863885697e-05,0.0026106613222509623,0.33198124170303345,0.16295436024665833,9.02468673302792e-05,7.585275307064876e-05,1.0,5.757644976256415e-05,0.0,1.5711982996435836e-05,0.001675156643614173,0.33198028802871704,0.16295433044433594,68
