mechanism_index,mechanism,photo_role,mechanism_drive,mechanism_initial_sign,mechanism_scale,term_index,term_name,expression,dependencies,probability,active_gate,coefficient_model_space
2,surface_recombination,surface_loss,reverse,1.0,0.04940785840153694,8,temperature_z,scaled(simulation_temperature),simulation_temperature,0.8611969947814941,1.0,0.31381461024284363
1,field_collection,main,reverse,-1.0,-0.2731887102127075,3,soft_reverse_light_voltage,softplus(-light_voltage/0.2),light_voltage,0.8591762781143188,1.0,0.12476766854524612
1,field_collection,main,reverse,-1.0,-0.2731887102127075,1,light_voltage_z,scaled(light_voltage),light_voltage,0.8561848402023315,1.0,-0.14724516868591309
1,field_collection,main,reverse,-1.0,-0.2731887102127075,19,reverse_drive_over_length,softplus(-light_voltage/0.2)/active_layer_length,"light_voltage,active_layer_length",0.8543747067451477,1.0,0.12041262537240982
1,field_collection,main,reverse,-1.0,-0.2731887102127075,13,light_voltage_over_length,light_voltage/active_layer_length,"light_voltage,active_layer_length",0.8517392873764038,1.0,-0.13677377998828888
2,surface_recombination,surface_loss,reverse,1.0,0.04940785840153694,7,reverse_gate_light_voltage,sigmoid(-light_voltage/0.2),light_voltage,0.8513453602790833,1.0,-0.12344388663768768
2,surface_recombination,surface_loss,reverse,1.0,0.04940785840153694,9,inverse_temperature,1/simulation_temperature,simulation_temperature,0.8493072986602783,1.0,-0.3386630713939667
1,field_collection,main,reverse,-1.0,-0.2731887102127075,0,one,1,,0.8153229355812073,1.0,0.07826036959886551
4,higher_order_symbolic_residual,residual,all,0.0,1.0,0,one,1,,0.8106414675712585,1.0,-0.08316177129745483
1,field_collection,main,reverse,-1.0,-0.2731887102127075,10,light_voltage_over_temperature,light_voltage/simulation_temperature,"light_voltage,simulation_temperature",0.8089324235916138,1.0,-0.09207098186016083
1,field_collection,main,reverse,-1.0,-0.2731887102127075,4,tanh_reverse_light_voltage,tanh(-light_voltage/1.0),light_voltage,0.8064892292022705,1.0,0.08920254558324814
0,photogeneration,main,all,-1.0,-1.0631887912750244,10,light_voltage_over_temperature,light_voltage/simulation_temperature,"light_voltage,simulation_temperature",0.7957281470298767,1.0,0.05637481436133385
0,photogeneration,main,all,-1.0,-1.0631887912750244,13,light_voltage_over_length,light_voltage/active_layer_length,"light_voltage,active_layer_length",0.7943494319915771,1.0,0.0937209352850914
0,photogeneration,main,all,-1.0,-1.0631887912750244,0,one,1,,0.7920972108840942,1.0,0.05870480462908745
3,trap_recombination,trap_loss,reverse,1.0,0.038386691361665726,8,temperature_z,scaled(simulation_temperature),simulation_temperature,0.7873730659484863,1.0,0.2506217956542969
