mechanism_index,mechanism,photo_role,mechanism_drive,mechanism_initial_sign,mechanism_scale,term_index,term_name,expression,dependencies,probability,active_gate,coefficient_model_space
3,trap_recombination,trap_loss,reverse,1.0,0.03766010329127312,19,reverse_drive_over_length,softplus(-light_voltage/0.2)/active_layer_length,"light_voltage,active_layer_length",0.7121474742889404,1.0,-0.10858597606420517
2,surface_recombination,surface_loss,reverse,1.0,0.04464130476117134,27,reverse_thermal_surface_recomb,softplus(-light_voltage/0.2)*(ge_sio2_recomb_velocity + ge_si_recomb_velocity)/(active_layer_length*simulation_temperature),"light_voltage,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature",0.6854413151741028,1.0,-0.08103234320878983
3,trap_recombination,trap_loss,reverse,1.0,0.03766010329127312,0,one,1,,0.6638056039810181,1.0,-0.07897332310676575
3,trap_recombination,trap_loss,reverse,1.0,0.03766010329127312,1,light_voltage_z,scaled(light_voltage),light_voltage,0.6534767746925354,1.0,0.0806458592414856
2,surface_recombination,surface_loss,reverse,1.0,0.04464130476117134,22,reverse_drive_surface_recomb,softplus(-light_voltage/0.2)*(ge_sio2_recomb_velocity + ge_si_recomb_velocity)/active_layer_length,"light_voltage,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length",0.6251387000083923,1.0,-0.06611938029527664
3,trap_recombination,trap_loss,reverse,1.0,0.03766010329127312,13,light_voltage_over_length,light_voltage/active_layer_length,"light_voltage,active_layer_length",0.6228268146514893,1.0,0.07746419310569763
2,surface_recombination,surface_loss,reverse,1.0,0.04464130476117134,0,one,1,,0.6176367998123169,1.0,-0.026010001078248024
3,trap_recombination,trap_loss,reverse,1.0,0.03766010329127312,5,reverse_saturation_light_voltage,1-exp(-(softplus(-light_voltage/0.2)-log(2))),light_voltage,0.6085522770881653,1.0,-0.0531134270131588
2,surface_recombination,surface_loss,reverse,1.0,0.04464130476117134,10,light_voltage_over_temperature,light_voltage/simulation_temperature,"light_voltage,simulation_temperature",0.5725858211517334,1.0,0.060456227511167526
2,surface_recombination,surface_loss,reverse,1.0,0.04464130476117134,3,soft_reverse_light_voltage,softplus(-light_voltage/0.2),light_voltage,0.5292806029319763,1.0,-0.055082838982343674
2,surface_recombination,surface_loss,reverse,1.0,0.04464130476117134,5,reverse_saturation_light_voltage,1-exp(-(softplus(-light_voltage/0.2)-log(2))),light_voltage,0.5217711925506592,1.0,-0.05395035073161125
3,trap_recombination,trap_loss,reverse,1.0,0.03766010329127312,4,tanh_reverse_light_voltage,tanh(-light_voltage/1.0),light_voltage,0.517067551612854,1.0,-0.031155478209257126
3,trap_recombination,trap_loss,reverse,1.0,0.03766010329127312,3,soft_reverse_light_voltage,softplus(-light_voltage/0.2),light_voltage,0.5105775594711304,1.0,-0.060527294874191284
1,field_collection,main,reverse,-1.0,-0.27876028418540955,25,length_collection_saturation,1-exp(-active_layer_length/40),active_layer_length,0.4923527240753174,1.0,0.10631640255451202
2,surface_recombination,surface_loss,reverse,1.0,0.04464130476117134,4,tanh_reverse_light_voltage,tanh(-light_voltage/1.0),light_voltage,0.4847756326198578,1.0,-0.023194750770926476
3,trap_recombination,trap_loss,reverse,1.0,0.03766010329127312,23,reverse_drive_trap_A,softplus(-light_voltage/0.2)*trap_assisted_recomb_A,"light_voltage,trap_assisted_recomb_A",0.4788828492164612,1.0,-0.04027622565627098
1,field_collection,main,reverse,-1.0,-0.27876028418540955,11,length_z,scaled(active_layer_length),active_layer_length,0.4736015498638153,1.0,0.0965171605348587
3,trap_recombination,trap_loss,reverse,1.0,0.03766010329127312,7,reverse_gate_light_voltage,sigmoid(-light_voltage/0.2),light_voltage,0.45211905241012573,1.0,-0.0386832058429718
1,field_collection,main,reverse,-1.0,-0.27876028418540955,12,inverse_length,1/active_layer_length,active_layer_length,0.44997093081474304,1.0,-0.0828409418463707
2,surface_recombination,surface_loss,reverse,1.0,0.04464130476117134,13,light_voltage_over_length,light_voltage/active_layer_length,"light_voltage,active_layer_length",0.44991713762283325,1.0,0.05341733619570732
0,photogeneration,main,all,-1.0,-1.0617555379867554,12,inverse_length,1/active_layer_length,active_layer_length,0.42440468072891235,1.0,-0.06919636577367783
0,photogeneration,main,all,-1.0,-1.0617555379867554,11,length_z,scaled(active_layer_length),active_layer_length,0.4241880178451538,1.0,0.0325382724404335
4,higher_order_symbolic_residual,residual,all,0.0,1.0,11,length_z,scaled(active_layer_length),active_layer_length,0.4049568474292755,1.0,0.05195191130042076
4,higher_order_symbolic_residual,residual,all,0.0,1.0,12,inverse_length,1/active_layer_length,active_layer_length,0.3871524930000305,1.0,-0.02662103809416294
4,higher_order_symbolic_residual,residual,all,0.0,1.0,25,length_collection_saturation,1-exp(-active_layer_length/40),active_layer_length,0.3865811824798584,1.0,0.019102340564131737
4,higher_order_symbolic_residual,residual,all,0.0,1.0,26,thermal_surface_recomb_over_length,(ge_sio2_recomb_velocity + ge_si_recomb_velocity)/(active_layer_length*simulation_temperature),"ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature",0.3755394220352173,1.0,-0.03548640385270119
4,higher_order_symbolic_residual,residual,all,0.0,1.0,21,surface_recomb_over_length,(ge_sio2_recomb_velocity + ge_si_recomb_velocity)/active_layer_length,"ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length",0.36205777525901794,1.0,0.034007806330919266
4,higher_order_symbolic_residual,residual,all,0.0,1.0,17,ge_sio2_velocity_over_length,ge_sio2_recomb_velocity/active_layer_length,"ge_sio2_recomb_velocity,active_layer_length",0.35731810331344604,1.0,0.03626623377203941
2,surface_recombination,surface_loss,reverse,1.0,0.04464130476117134,1,light_voltage_z,scaled(light_voltage),light_voltage,0.3383447229862213,1.0,0.03781743347644806
4,higher_order_symbolic_residual,residual,all,0.0,1.0,15,ge_sio2_velocity_z,scaled(ge_sio2_recomb_velocity),ge_sio2_recomb_velocity,0.3374873697757721,1.0,-0.02365276962518692
4,higher_order_symbolic_residual,residual,all,0.0,1.0,8,temperature_z,scaled(simulation_temperature),simulation_temperature,0.3226000666618347,1.0,-0.04498269036412239
3,trap_recombination,trap_loss,reverse,1.0,0.03766010329127312,10,light_voltage_over_temperature,light_voltage/simulation_temperature,"light_voltage,simulation_temperature",0.2968926727771759,1.0,0.03614256903529167
4,higher_order_symbolic_residual,residual,all,0.0,1.0,9,inverse_temperature,1/simulation_temperature,simulation_temperature,0.279634565114975,1.0,-0.03370315209031105
