task,model,fraction,n_seeds,n_train_mean,rmse_target_mean,rmse_target_std,mae_target_mean,mae_target_std,r2_target_mean,r2_target_std,rmse_raw_mean,rmse_raw_std,mae_raw_mean,mae_raw_std,medape_percent_mean,medape_percent_std,p95ape_percent_mean,p95ape_percent_std,param_count_mean,param_count_std,train_time_s_mean,train_time_s_std,n_train_std
I_photo,dkan,0.01,3,17.0,0.021024364620014873,0.001095889087841411,0.016030266092091502,0.000831109194524472,0.17061057228524187,0.08485521420414709,2.3566008062737673e-05,1.4011153486269253e-06,1.8107242587407845e-05,9.740873331352155e-07,2.972972404574326,0.20270890927271715,10.147271031814787,0.8886831309416411,952.0,0.0,2.7979226666502655,0.4053578961695291,0.0
I_photo,bkan,0.01,3,17.0,0.023199521966040137,0.0012253449289550253,0.018823226557607254,0.0011598953298867312,-0.009955650941069724,0.10443504913003554,2.6033206144296352e-05,1.382880224561082e-06,2.1258150023841856e-05,1.3165275467702115e-06,3.760364951275154,0.6509511984373916,10.500824360459792,1.6638411603259635,1664.0,0.0,2.4655607666936703,0.5759829312709767,0.0
I_photo,mlp_n,0.01,3,17.0,0.009134726963309317,0.0009568880321787031,0.007052307900258021,0.0006692745136943376,0.8421425349955612,0.03150654001879267,1.0114436665109145e-05,9.86325534981091e-07,7.92414115470279e-06,7.334055644352565e-07,1.3278449111894959,0.09360610255818197,4.318162081803429,0.5887003645939728,769.0,0.0,0.547495600010734,0.06618765152976708,0.0
I_photo,mlp_l,0.01,3,17.0,0.008640657028322814,0.00045084505849339433,0.0066183991551639855,0.00025243178953770465,0.8599095148309107,0.014408793122964265,9.555476922285839e-06,3.652604352274433e-07,7.434736618885538e-06,2.8760895156723554e-07,1.2180756244564763,0.05699094067641335,3.8666208782664775,0.1762432663502467,2561.0,0.0,0.5699879999932213,0.07089435138926328,0.0
I_photo,dkan,0.05,3,89.0,0.008727028031968868,0.0004928932135693286,0.006454283309901864,0.0005434982971733475,0.8570282466331386,0.015782615214524235,9.687602262408406e-06,5.458918408092751e-07,7.268822649067473e-06,6.088459289071606e-07,1.1463954324394952,0.14721357971859367,4.172782837729996,0.24433788063019887,952.0,0.0,2.836978766679143,0.13307464493394333,0.0
I_photo,bkan,0.05,3,89.0,0.020004811416613016,0.000484634988223391,0.015948513089064396,0.0004117012506719351,0.25069591994252516,0.03649082121484234,2.2248261534468227e-05,5.531421757181022e-07,1.7980971228814607e-05,4.6985046726183974e-07,3.079021310599444,0.10351320927225552,10.074895390999183,0.2868802276756228,1664.0,0.0,2.426636799995322,0.09274906147072164,0.0
I_photo,mlp_n,0.05,3,89.0,0.005444425142426983,0.00014934308696834257,0.004331625893548639,0.00013042730974653164,0.9444907859045725,0.0030392422494085044,6.090279287438174e-06,1.5565226399949263e-07,4.891776966747847e-06,1.4212138070008372e-07,0.8606233451347144,0.07922380504917081,2.4255525336494728,0.02185575813705604,769.0,0.0,0.5151473666580083,0.06728496461862762,0.0
I_photo,mlp_l,0.05,3,89.0,0.005259057896837138,0.00019449078692907978,0.004221097507252314,0.00019131570166212714,0.9481744602033224,0.0038753173973997256,5.892149946937372e-06,2.1128914605824186e-07,4.771086106814867e-06,2.120192148876277e-07,0.8491471246797214,0.08055696158443318,2.368913810465765,0.06718977861997022,2561.0,0.0,0.48971230001188815,0.05872662404994495,0.0
I_photo,dkan,0.1,3,179.0,0.006097189989585739,0.0007463666347111837,0.004552309635356383,0.000489499207954741,0.9293921041381793,0.017627471192669907,6.794361977680302e-06,7.720583685035592e-07,5.126966308602058e-06,5.304477715575089e-07,0.7923035951860199,0.051858582105998786,2.8863429610592615,0.4751456063934037,952.0,0.0,3.662071033322718,0.1419363216689469,0.0
I_photo,bkan,0.1,3,179.0,0.019495005750809268,0.0005889275594366469,0.015701547351472736,0.00041954663018179436,0.2881684189579441,0.04258815292355136,2.1715534913547733e-05,6.254044914168902e-07,1.771005118610626e-05,4.7097208945489735e-07,3.127530291439618,0.09106179213644479,9.574243877159725,0.5662101157979236,1664.0,0.0,3.0011161000002176,0.0922413732295119,0.0
