task,model,fraction,seed,rmse_target,mae_target,r2_target,rmse_raw,mae_raw,medape_percent,p95ape_percent,param_count,train_time_s,wall_time_s,n_train,n_test
I_photo,dkan,0.01,42,0.022019883987830613,0.01670423927989361,0.0926717844331566,2.4974721960578995e-05,1.896081396950003e-05,3.025304187770909,11.398378272298594,952,3.370156000019051,3.874815999995917,17,768
I_photo,bkan,0.01,42,0.021469629137735778,0.018121917865228813,0.13745165029576945,2.4122242678562162e-05,2.0479448521006338e-05,3.9634001486301704,9.084439249607305,1664,3.2387000000453554,3.639442000014242,17,768
I_photo,mlp_n,0.01,42,0.00778208561788536,0.0061227404335388825,0.886674831739537,8.733646744765838e-06,6.919891630144418e-06,1.1970649718030302,3.509536966106881,769,0.5720358000253327,0.5757490000105463,17,768
I_photo,mlp_l,0.01,42,0.008030096894570377,0.0063116909551819795,0.8793364954515264,9.039036460309153e-06,7.132893248122124e-06,1.2362857737840671,3.62674073221919,2561,0.6053159000002779,0.6091993000009097,17,768
I_photo,dkan,0.01,43,0.019497933350758875,0.014859352734962661,0.2886038238592016,2.1654866047718474e-05,1.674406428606592e-05,2.7027114675564246,9.625083583201237,952,2.4820688999607228,2.5018529999651946,17,768
I_photo,bkan,0.01,43,0.023976103260888608,0.01788968451969652,-0.0757009797047754,2.6628548254662623e-05,2.018288985449654e-05,2.8812300138011966,12.836266443004975,1664,2.301086399995256,2.6606718000257388,17,768
I_photo,mlp_n,0.01,43,0.009846020513762445,0.0076714315365403645,0.8185922503521651,1.0976066809581064e-05,8.65084942535939e-06,1.4110002754675275,4.550875555714251,769,0.6134530000272207,0.617612200032454,17,768
I_photo,mlp_l,0.01,43,0.008786864336827203,0.006929962839572812,0.8555218387180044,9.82316896613087e-06,7.821764844153462e-06,1.2769649894541253,3.9279463622362436,2561,0.633582699985709,0.6370477000018582,17,768
I_photo,dkan,0.01,44,0.021555276521455134,0.016527206261418233,0.1305561085633674,2.4068436179915558e-05,1.8616849506657584e-05,3.190901558395644,9.41835123994453,952,2.5415430999710225,2.5654005999676883,17,768
I_photo,bkan,0.01,44,0.02415283349949602,0.020458077287896434,-0.09161762341420321,2.7348827499664277e-05,2.3112111696022692e-05,4.436464691394095,9.581767388767094,1664,1.8568959000403993,2.1274474000092596,17,768
I_photo,mlp_n,0.01,44,0.009776074758280146,0.0073627517306948135,0.8211605228949819,1.0633596440980533e-05,8.201682408604566e-06,1.3754694862979298,4.894073723589155,769,0.45699799997964874,0.4605345000163652,17,768
I_photo,mlp_l,0.01,44,0.009105009853570862,0.006613543670737164,0.8448702103232015,9.804225340417495e-06,7.3495517643810274e-06,1.1409761101312361,4.045175540343999,2561,0.4710653999936767,0.47535309998784214,17,768
I_photo,dkan,0.05,42,0.009037532468490097,0.006787913171250035,0.8471610291967372,1.000782055289138e-05,7.632211334474376e-06,1.2491168216491313,4.335329632272744,952,2.9678352000191808,2.9887838999857195,89,768
I_photo,bkan,0.05,42,0.01984066722127456,0.015775153718216927,0.26337422791832654,2.2023936798969346e-05,1.7777309654617126e-05,2.987442916157806,10.005650923390881,1664,2.295478399959393,2.5297797999810427,89,768
I_photo,mlp_n,0.05,42,0.005622495752772905,0.004512670810073504,0.9408448397074987,6.277750439623877e-06,5.088892494190609e-06,0.955842832010051,2.426810497304096,769,0.4200266000116244,0.4231372000067495,89,768
I_photo,mlp_l,0.05,42,0.005532407896414693,0.0044853449956690225,0.9427253098395928,6.189814290983982e-06,5.063730227827236e-06,0.9471041650395959,2.4588230699700886,2561,0.42611780000152066,0.4297884999541566,89,768
I_photo,dkan,0.05,43,0.009112243968320092,0.006887138234446542,0.8446236048755364,1.0135845019952905e-05,7.763147200485269e-06,1.2518594623824217,4.3555840597505835,952,2.6544149999972433,2.6721264999941923,89,768
I_photo,bkan,0.05,43,0.020663163932193477,0.0165165520749195,0.2010345380623123,2.3009429456600486e-05,1.8630552565685603e-05,3.223717155697852,10.455717423078921,1664,2.4909166999859735,2.7511430999729782,89,768
