mechanism_index,mechanism,photo_role,mechanism_drive,mechanism_initial_sign,mechanism_scale,term_index,term_name,expression,dependencies,probability,active_gate,coefficient_model_space
4,higher_order_symbolic_residual,residual,all,0.0,1.0,25,length_collection_saturation,1-exp(-active_layer_length/40),active_layer_length,0.36971569061279297,1.0,-0.023290187120437622
4,higher_order_symbolic_residual,residual,all,0.0,1.0,21,surface_recomb_over_length,(ge_sio2_recomb_velocity + ge_si_recomb_velocity)/active_layer_length,"ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length",0.36882442235946655,1.0,0.02422334998846054
4,higher_order_symbolic_residual,residual,all,0.0,1.0,9,inverse_temperature,1/simulation_temperature,simulation_temperature,0.35103389620780945,1.0,0.042934298515319824
0,photogeneration,main,all,-1.0,-1.0690897703170776,11,length_z,scaled(active_layer_length),active_layer_length,0.3496119976043701,1.0,0.016116313636302948
0,photogeneration,main,all,-1.0,-1.0690897703170776,25,length_collection_saturation,1-exp(-active_layer_length/40),active_layer_length,0.3416416645050049,1.0,-0.019283033907413483
0,photogeneration,main,all,-1.0,-1.0690897703170776,12,inverse_length,1/active_layer_length,active_layer_length,0.3367019593715668,1.0,0.0037110140547156334
4,higher_order_symbolic_residual,residual,all,0.0,1.0,26,thermal_surface_recomb_over_length,(ge_sio2_recomb_velocity + ge_si_recomb_velocity)/(active_layer_length*simulation_temperature),"ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature",0.335575670003891,1.0,0.003451388329267502
0,photogeneration,main,all,-1.0,-1.0690897703170776,8,temperature_z,scaled(simulation_temperature),simulation_temperature,0.33425483107566833,1.0,-0.05583478882908821
4,higher_order_symbolic_residual,residual,all,0.0,1.0,17,ge_sio2_velocity_over_length,ge_sio2_recomb_velocity/active_layer_length,"ge_sio2_recomb_velocity,active_layer_length",0.3316604495048523,1.0,-0.020888732746243477
4,higher_order_symbolic_residual,residual,all,0.0,1.0,11,length_z,scaled(active_layer_length),active_layer_length,0.3311862647533417,1.0,0.01876889541745186
0,photogeneration,main,all,-1.0,-1.0690897703170776,9,inverse_temperature,1/simulation_temperature,simulation_temperature,0.3149127960205078,1.0,0.014852904714643955
1,field_collection,main,reverse,-1.0,-0.2708856463432312,12,inverse_length,1/active_layer_length,active_layer_length,0.299329549074173,1.0,-0.03350478783249855
4,higher_order_symbolic_residual,residual,all,0.0,1.0,8,temperature_z,scaled(simulation_temperature),simulation_temperature,0.2859371602535248,1.0,0.0015629465924575925
1,field_collection,main,reverse,-1.0,-0.2708856463432312,25,length_collection_saturation,1-exp(-active_layer_length/40),active_layer_length,0.28361281752586365,1.0,0.029357168823480606
1,field_collection,main,reverse,-1.0,-0.2708856463432312,8,temperature_z,scaled(simulation_temperature),simulation_temperature,0.2818244993686676,1.0,-0.05847478657960892
4,higher_order_symbolic_residual,residual,all,0.0,1.0,28,trap_A_times_length,trap_assisted_recomb_A*active_layer_length,"trap_assisted_recomb_A,active_layer_length",0.2773760259151459,1.0,-0.0003934822743758559
4,higher_order_symbolic_residual,residual,all,0.0,1.0,15,ge_sio2_velocity_z,scaled(ge_sio2_recomb_velocity),ge_sio2_recomb_velocity,0.26085489988327026,1.0,-0.004341563675552607
1,field_collection,main,reverse,-1.0,-0.2708856463432312,11,length_z,scaled(active_layer_length),active_layer_length,0.2540215253829956,1.0,0.029830966144800186
4,higher_order_symbolic_residual,residual,all,0.0,1.0,12,inverse_length,1/active_layer_length,active_layer_length,0.24782337248325348,1.0,-0.0006856303079985082
2,surface_recombination,surface_loss,reverse,1.0,0.04257352277636528,8,temperature_z,scaled(simulation_temperature),simulation_temperature,0.24481815099716187,1.0,0.5143581628799438
4,higher_order_symbolic_residual,residual,all,0.0,1.0,14,trap_A_z,scaled(trap_assisted_recomb_A),trap_assisted_recomb_A,0.24032743275165558,1.0,0.0005913529894314706
1,field_collection,main,reverse,-1.0,-0.2708856463432312,9,inverse_temperature,1/simulation_temperature,simulation_temperature,0.21284258365631104,1.0,0.020511269569396973
4,higher_order_symbolic_residual,residual,all,0.0,1.0,16,ge_si_velocity_z,scaled(ge_si_recomb_velocity),ge_si_recomb_velocity,0.19307321310043335,1.0,0.0031439836602658033
4,higher_order_symbolic_residual,residual,all,0.0,1.0,20,surface_recomb_sum_z,scaled(ge_sio2_recomb_velocity + ge_si_recomb_velocity),"ge_sio2_recomb_velocity,ge_si_recomb_velocity",0.14684312045574188,1.0,0.0010256745154038072
2,surface_recombination,surface_loss,reverse,1.0,0.04257352277636528,1,light_voltage_z,scaled(light_voltage),light_voltage,0.09334824979305267,1.0,0.05133303254842758
2,surface_recombination,surface_loss,reverse,1.0,0.04257352277636528,3,soft_reverse_light_voltage,softplus(-light_voltage/0.2),light_voltage,0.08675830811262131,1.0,0.036047596484422684
2,surface_recombination,surface_loss,reverse,1.0,0.04257352277636528,27,reverse_thermal_surface_recomb,softplus(-light_voltage/0.2)*(ge_sio2_recomb_velocity + ge_si_recomb_velocity)/(active_layer_length*simulation_temperature),"light_voltage,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature",0.07797019928693771,1.0,-0.03893117979168892
3,trap_recombination,trap_loss,reverse,1.0,0.036041177809238434,1,light_voltage_z,scaled(light_voltage),light_voltage,0.0774116963148117,1.0,0.039414700120687485
3,trap_recombination,trap_loss,reverse,1.0,0.036041177809238434,0,one,1,,0.0754043236374855,1.0,-0.031583406031131744
3,trap_recombination,trap_loss,reverse,1.0,0.036041177809238434,23,reverse_drive_trap_A,softplus(-light_voltage/0.2)*trap_assisted_recomb_A,"light_voltage,trap_assisted_recomb_A",0.07146115601062775,1.0,-0.03669360652565956
3,trap_recombination,trap_loss,reverse,1.0,0.036041177809238434,10,light_voltage_over_temperature,light_voltage/simulation_temperature,"light_voltage,simulation_temperature",0.06531660258769989,1.0,0.03321220353245735
2,surface_recombination,surface_loss,reverse,1.0,0.04257352277636528,17,ge_sio2_velocity_over_length,ge_sio2_recomb_velocity/active_layer_length,"ge_sio2_recomb_velocity,active_layer_length",0.04724208265542984,1.0,0.23247089982032776
3,trap_recombination,trap_loss,reverse,1.0,0.036041177809238434,4,tanh_reverse_light_voltage,tanh(-light_voltage/1.0),light_voltage,0.04002315178513527,1.0,-0.025164209306240082
2,surface_recombination,surface_loss,reverse,1.0,0.04257352277636528,0,one,1,,0.033585015684366226,1.0,-0.014385473914444447
3,trap_recombination,trap_loss,reverse,1.0,0.036041177809238434,19,reverse_drive_over_length,softplus(-light_voltage/0.2)/active_layer_length,"light_voltage,active_layer_length",0.0253888051956892,1.0,-0.01582205295562744
2,surface_recombination,surface_loss,reverse,1.0,0.04257352277636528,22,reverse_drive_surface_recomb,softplus(-light_voltage/0.2)*(ge_sio2_recomb_velocity + ge_si_recomb_velocity)/active_layer_length,"light_voltage,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length",0.020144561305642128,1.0,0.006712155882269144
0,photogeneration,main,all,-1.0,-1.0690897703170776,3,soft_reverse_light_voltage,softplus(-light_voltage/0.2),light_voltage,0.7317174077033997,0.0,0.012529216706752777
0,photogeneration,main,all,-1.0,-1.0690897703170776,4,tanh_reverse_light_voltage,tanh(-light_voltage/1.0),light_voltage,0.7317174077033997,0.0,0.018287062644958496
0,photogeneration,main,all,-1.0,-1.0690897703170776,5,reverse_saturation_light_voltage,1-exp(-(softplus(-light_voltage/0.2)-log(2))),light_voltage,0.7317174077033997,0.0,0.02019008807837963
0,photogeneration,main,all,-1.0,-1.0690897703170776,6,forward_gate_light_voltage,sigmoid(light_voltage/0.2),light_voltage,0.7317174077033997,0.0,0.01789240725338459
0,photogeneration,main,all,-1.0,-1.0690897703170776,7,reverse_gate_light_voltage,sigmoid(-light_voltage/0.2),light_voltage,0.7317174077033997,0.0,-0.005755950231105089
0,photogeneration,main,all,-1.0,-1.0690897703170776,19,reverse_drive_over_length,softplus(-light_voltage/0.2)/active_layer_length,"light_voltage,active_layer_length",0.7317174077033997,0.0,-0.002179129747673869
0,photogeneration,main,all,-1.0,-1.0690897703170776,22,reverse_drive_surface_recomb,softplus(-light_voltage/0.2)*(ge_sio2_recomb_velocity + ge_si_recomb_velocity)/active_layer_length,"light_voltage,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length",0.7317174077033997,0.0,0.015786314383149147
0,photogeneration,main,all,-1.0,-1.0690897703170776,23,reverse_drive_trap_A,softplus(-light_voltage/0.2)*trap_assisted_recomb_A,"light_voltage,trap_assisted_recomb_A",0.7317174077033997,0.0,-0.02668108604848385
0,photogeneration,main,all,-1.0,-1.0690897703170776,27,reverse_thermal_surface_recomb,softplus(-light_voltage/0.2)*(ge_sio2_recomb_velocity + ge_si_recomb_velocity)/(active_layer_length*simulation_temperature),"light_voltage,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature",0.7317174077033997,0.0,0.036592911928892136
1,field_collection,main,reverse,-1.0,-0.2708856463432312,6,forward_gate_light_voltage,sigmoid(light_voltage/0.2),light_voltage,0.7317174077033997,0.0,0.010877393186092377
1,field_collection,main,reverse,-1.0,-0.2708856463432312,22,reverse_drive_surface_recomb,softplus(-light_voltage/0.2)*(ge_sio2_recomb_velocity + ge_si_recomb_velocity)/active_layer_length,"light_voltage,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length",0.7317174077033997,0.0,0.01845206320285797
1,field_collection,main,reverse,-1.0,-0.2708856463432312,23,reverse_drive_trap_A,softplus(-light_voltage/0.2)*trap_assisted_recomb_A,"light_voltage,trap_assisted_recomb_A",0.7317174077033997,0.0,0.009743282571434975
1,field_collection,main,reverse,-1.0,-0.2708856463432312,27,reverse_thermal_surface_recomb,softplus(-light_voltage/0.2)*(ge_sio2_recomb_velocity + ge_si_recomb_velocity)/(active_layer_length*simulation_temperature),"light_voltage,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature",0.7317174077033997,0.0,-0.005296492017805576
2,surface_recombination,surface_loss,reverse,1.0,0.04257352277636528,6,forward_gate_light_voltage,sigmoid(light_voltage/0.2),light_voltage,0.7317174077033997,0.0,-0.00027918722480535507
2,surface_recombination,surface_loss,reverse,1.0,0.04257352277636528,23,reverse_drive_trap_A,softplus(-light_voltage/0.2)*trap_assisted_recomb_A,"light_voltage,trap_assisted_recomb_A",0.7317174077033997,0.0,0.0184695553034544
