task,model,mae_log,rmse_log,mae_linear,mae_model_space,rmse_model_space,r2_model_space,picp_95,mpiw_log,mean_std_log,raw_picp_95,calibrated_picp_95,raw_mpiw_log,calibrated_mpiw_log,raw_gaussian_nll_model_space,calibrated_gaussian_nll_model_space,raw_interval_score_95,calibrated_interval_score_95,raw_curve_coverage_95,calibrated_curve_coverage_95,mpiw_model_space,mean_std_model_space,calibration_z,calibration_raw_quantile,calibration_std_scale_vs_normal,calibration_unit,calibration_score_count,derivative_mae_model_space,derivative_rmse_model_space,inference_method,comparison_eligible,comparison_status,hmc_acceptance_rate,train_curve_count,validation_curve_count,calibration_curve_count,test_curve_count,train_samples,validation_samples,calibration_samples,test_samples,train_fraction,validation_fraction,calibration_fraction,test_fraction,split_seed
I_dark,bayesian_kan_vi,0.0116788811091207,0.0330825603236056,6.099483174130414e-09,0.0116788811091207,0.0330825603236056,0.9775227990522354,93.75,0.07206636892794129,0.0183842777877401,93.75,93.75,0.0720663689279415,0.07206636892794129,-2.3648276573804305,-2.364827036517243,0.2580308066513393,0.25803094383192193,93.75,93.75,0.07206636892794129,0.0183842777877401,1.96,1.201956686015882,1.0,curve,24.0,0.0199594540478064,0.066390118737958,vi,True,eligible,,104,16,24,16,1560,240,360,240,0.65,0.1,0.15,0.1,43
I_photo,bayesian_kan_vi,0.004961842999247,0.0060278849542069,5.670823802837548e-06,0.004961842999247,0.0060278849542069,0.934736911625621,100.0,0.03958948920835645,0.008022250374099,100.0,100.0,0.031447221466468,0.03958948920835645,-3.6514458141826367,-3.5181885491947535,0.031447221466468,0.03958948920835645,100.0,100.0,0.03958948920835645,0.008022250374099,2.467480280606619,2.467480280606619,1.2589185105135812,curve,24.0,0.0022221222401753,0.0046308626355413,vi,True,eligible,,104,16,24,16,1664,256,384,256,0.65,0.1,0.15,0.1,43
AC_Response,bayesian_kan_vi,0.0325454461021222,0.0580206562457848,0.032545466256265,0.0325454461021222,0.0580206562457848,0.9994325113303676,100.0,0.5205133953605942,0.132784029428723,100.0,100.0,0.5205133953605944,0.5205133953605942,-1.2656526698148645,-1.2656526703173097,0.5205133953605944,0.5205133953605942,100.0,100.0,0.5205133953605942,0.132784029428723,1.96,0.9796789942824856,1.0,curve,24.0,,,vi,True,eligible,,104,16,24,16,2912,448,672,448,0.65,0.1,0.15,0.1,43
