task,seed,teacher,teacher_to_tcad_rmse,teacher_to_tcad_r2,teacher_to_tcad_p95_abs_error,teacher_to_tcad_max_abs_error,checkpoint,checkpoint_sha256,scaler_mean_max_relative_delta,parameter_count,train_time_s,frozen_test_prediction,replay_status,replay_max_abs_error,replay_rmse,replay_tolerance,test_rows,checkpoint_output_scale_applied,frozen_scale_applied
I_dark,46,dkan,0.0137513897201802,0.9923647858898776,0.0249425267745787,0.0800528267264431,,,,1310,2.6328156999661587,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_46\I_dark\dkan\test_predictions.csv,pass,4.76837158203125e-07,1.569463225851973e-07,6.97870445251465e-05,240,,
I_dark,46,mlp_l,0.0172993443683762,0.9879166507678548,0.0459168623760382,0.0538344124198024,,,,2561,0.3344234999967739,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_46\I_dark\mlp_l\test_predictions.csv,pass,8.881784197001252e-16,1.901476395399893e-16,6.931901931762696e-05,240,,
I_photo,46,bkan_parameter_mean,0.0066531527411853,0.9141045301782084,0.0140395331780831,0.015701652970419,<REPO_ROOT>/artifacts\results\net_photocurrent_retrain\uq_repeated_grouped\seed_46\I-photo-bayes-results\model_checkpoint.pt,2f71a73e1df5475b32cbcb8547dc9d830177f34bb63a3a451b8126e3701de1d9,4.835164364816387e-09,1310,,<REPO_ROOT>/artifacts\results\net_photocurrent_retrain\matched_grouped_comparison\predictions\seed_46\I_photo\bkan\test_predictions.csv,reference_difference_only,0.0006121525573732,0.0002261584815552,3.3666484e-05,256,,
I_photo,46,dkan,0.0078691116731248,0.8798381271414792,0.015535329917362,0.0194156148369351,,,,1310,2.766399800020736,<REPO_ROOT>/artifacts\results\net_photocurrent_retrain\matched_grouped_comparison\predictions\seed_46\I_photo\dkan\test_predictions.csv,pass,2.384185791015625e-07,3.9424766765007245e-08,3.370081424713135e-05,256,,
I_photo,46,mlp_l,0.0051402188861837,0.9487282079101556,0.0110438852335535,0.0141511270064897,,,,2561,0.3230179999954998,<REPO_ROOT>/artifacts\results\net_photocurrent_retrain\matched_grouped_comparison\predictions\seed_46\I_photo\mlp_l\test_predictions.csv,pass,4.440892098500626e-16,1.442222014787673e-16,3.3587136268615724e-05,256,,
AC_Response,46,bkan_parameter_mean,0.0432293941545048,0.9996884185636656,0.0936421915649636,0.2446885664716989,<REPO_ROOT>/artifacts\results\uq_repeated_grouped\seed_46\AC-response-bayes-results\model_checkpoint.pt,72ec3645dc11d3f00ca3956193220623f16e52cc4f7ec4722903ad22dd79e4ab,5.812431418669051e-09,809,,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_46\AC_Response\bkan\test_predictions.csv,reference_difference_only,0.0104708195739746,0.0029624698583815,6.9461727e-05,448,,
AC_Response,46,dkan,0.0784829667026443,0.9989730150024192,0.18197408144264,0.3177417150369184,,,,809,2.425214099988807,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_46\AC_Response\dkan\test_predictions.csv,pass,3.314018249511719e-05,2.8107725281791984e-06,6.837799549102784e-05,448,,
AC_Response,46,mlp_l,0.1669844540933855,0.995350937774369,0.3366623162332207,0.4353810169703385,,,,2369,0.3687239999999292,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_46\AC_Response\mlp_l\test_predictions.csv,pass,8.881784197001252e-16,1.288251193034699e-16,6.972306728363038e-05,448,,
Capacitance,46,bkan_parameter_mean,5.923792434740881e-17,0.9997008832773336,9.369888869104903e-17,1.028129273567741e-15,<REPO_ROOT>/artifacts\results\uq_repeated_grouped_capacitance\seed_46\Capacitance-bayes-results\model_checkpoint.pt,381d0f123e2d741c97d79e32c31f013b0c2de826d653dc69f33e7a2d375834a0,7.555675041496707e-09,1477,,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_46\Capacitance\bkan\test_predictions.csv,reference_difference_only,6.606871785237443e-17,5.400349583285191e-18,4.2822505000000015e-19,6400,1000.0,1000.0
Capacitance,46,dkan,1.950337633014389e-16,0.9967576445028952,3.3087337187095923e-16,1.513111581057272e-15,,,,1477,3.095377199992072,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_46\Capacitance\dkan\test_predictions.csv,pass,4.605741650695258e-21,1.4094859285894237e-21,4.1661275806033363e-19,6400,,1000.0
