grid,iteration,train_total_loss,train_value_loss,train_derivative_loss,validation_total_loss,validation_value_loss,validation_derivative_loss
2,1,0.17936508357524872,0.17936508357524872,0.0,0.20187132060527802,0.20187132060527802,0.0
2,2,0.03796662390232086,0.03796662390232086,0.0,0.04237184301018715,0.04237184301018715,0.0
2,3,0.008807727135717869,0.008807727135717869,0.0,0.01038469560444355,0.01038469560444355,0.0
2,4,0.005225247237831354,0.005225247237831354,0.0,0.0055348826572299,0.0055348826572299,0.0
2,5,0.002273726277053356,0.002273726277053356,0.0,0.0027661060448735952,0.0027661060448735952,0.0
2,6,0.001470572897233069,0.001470572897233069,0.0,0.001745310379192233,0.001745310379192233,0.0
2,7,0.0011545642046257854,0.0011545642046257854,0.0,0.0013624168932437897,0.0013624168932437897,0.0
2,8,0.0010491771390661597,0.0010491771390661597,0.0,0.0012699576327577233,0.0012699576327577233,0.0
2,9,0.0009623099467717111,0.0009623099467717111,0.0,0.0011353226145729423,0.0011353226145729423,0.0
2,10,0.0009051708620972931,0.0009051708620972931,0.0,0.0010632240446284413,0.0010632240446284413,0.0
2,11,0.000880142324604094,0.000880142324604094,0.0,0.0010000162292271852,0.0010000162292271852,0.0
2,12,0.0008269885438494384,0.0008269885438494384,0.0,0.0009376103989779949,0.0009376103989779949,0.0
2,13,0.0007868315442465246,0.0007868315442465246,0.0,0.0009023898164741695,0.0009023898164741695,0.0
2,14,0.0007467123796232045,0.0007467123796232045,0.0,0.0008738419855944812,0.0008738419855944812,0.0
2,15,0.0006760666146874428,0.0006760666146874428,0.0,0.0008495217189192772,0.0008495217189192772,0.0
2,16,0.0006350846961140633,0.0006350846961140633,0.0,0.0008200544980354607,0.0008200544980354607,0.0
2,17,0.0006076623685657978,0.0006076623685657978,0.0,0.0007791852694936097,0.0007791852694936097,0.0
2,18,0.0005605528713203967,0.0005605528713203967,0.0,0.0007065889658406377,0.0007065889658406377,0.0
2,19,0.0005130090285092592,0.0005130090285092592,0.0,0.0006131197442300618,0.0006131197442300618,0.0
2,20,0.0004663123399950564,0.0004663123399950564,0.0,0.0006108855013735592,0.0006108855013735592,0.0
2,21,0.00043542333878576756,0.00043542333878576756,0.0,0.0005778581835329533,0.0005778581835329533,0.0
2,22,0.0004094451433047652,0.0004094451433047652,0.0,0.0005392277962528169,0.0005392277962528169,0.0
2,23,0.00039978016866371036,0.00039978016866371036,0.0,0.000532828678842634,0.000532828678842634,0.0
2,24,0.0003891205706167966,0.0003891205706167966,0.0,0.0005241348408162594,0.0005241348408162594,0.0
2,25,0.0003819837293121964,0.0003819837293121964,0.0,0.0005159275024197996,0.0005159275024197996,0.0
2,26,0.0003746128058992326,0.0003746128058992326,0.0,0.0005127727636136115,0.0005127727636136115,0.0
2,27,0.0003618824412114918,0.0003618824412114918,0.0,0.0005277282325550914,0.0005277282325550914,0.0
2,28,0.00034661308745853603,0.00034661308745853603,0.0,0.0005186122143641114,0.0005186122143641114,0.0
2,29,0.0003432449302636087,0.0003432449302636087,0.0,0.0005213344120420516,0.0005213344120420516,0.0
2,30,0.0003360634436830878,0.0003360634436830878,0.0,0.0004727494379039854,0.0004727494379039854,0.0
4,1,0.0011792866280302405,0.0011792866280302405,0.0,0.0013718808768317103,0.0013718808768317103,0.0
4,2,0.0005667986697517335,0.0005667986697517335,0.0,0.0007164676790125668,0.0007164676790125668,0.0
4,3,0.0003906868805643171,0.0003906868805643171,0.0,0.0004916646867059171,0.0004916646867059171,0.0
4,4,0.0003383020230103284,0.0003383020230103284,0.0,0.0004434971488080919,0.0004434971488080919,0.0
4,5,0.00031335168750956655,0.00031335168750956655,0.0,0.0004216491070110351,0.0004216491070110351,0.0
4,6,0.00029179104603827,0.00029179104603827,0.0,0.0004088716523256153,0.0004088716523256153,0.0
4,7,0.0002809374127537012,0.0002809374127537012,0.0,0.00040582744986750185,0.00040582744986750185,0.0
4,8,0.00026876942138187587,0.00026876942138187587,0.0,0.00038788910023868084,0.00038788910023868084,0.0
4,9,0.00026118033565580845,0.00026118033565580845,0.0,0.00037188452552072704,0.00037188452552072704,0.0
4,10,0.0002572328085079789,0.0002572328085079789,0.0,0.00036894838558509946,0.00036894838558509946,0.0
