bias_v,log_frequency_ghz,trap_assisted_recomb_A,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature,model_prediction,exported_formula_prediction,formula_minus_model
-3.0,-1.0,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7726233864940433e-17,2.7726233559792672e-17,-3.051477608402949e-25
-3.0,-0.9000000000000005,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7710131967136475e-17,2.771013067212629e-17,-1.2950101843555634e-24
-3.0,-0.8000000000000007,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7694028414971293e-17,2.7694027795594663e-17,-6.193766295765095e-25
-3.0,-0.6999999999999995,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.767792486280611e-17,2.7677924907928276e-17,4.512216585130145e-26
-3.0,-0.5999999999999998,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7661822965002153e-17,2.7661822042531408e-17,-9.22470745124457e-25
-3.0,-0.5000000000000001,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7645717758475746e-17,2.7645719154865027e-17,1.3963892815723851e-24
-3.0,-0.40000000000000047,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.762961586067179e-17,2.762961628946816e-17,4.287963705966266e-25
-3.0,-0.3000000000000007,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.761351396286783e-17,2.7613513407369152e-17,-5.554986794059963e-25
-3.0,-0.19999999999999923,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7597408756341424e-17,2.75974105364049e-17,1.7800634770732465e-24
-3.0,-0.09999999999999964,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7581310167259917e-17,2.758130764873852e-17,-2.5185213966541327e-24
-3.0,0.0,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.756520496073351e-17,2.756520477499058e-17,-1.8574293001270066e-25
-3.0,0.09999999999999964,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7549099754207102e-17,2.7549101897067112e-17,2.142860009575735e-24
-3.0,0.1999999999999993,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7533001165125595e-17,2.7532999018143248e-17,-2.1469823470658993e-24
-3.0,0.3000000000000007,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7516895958599188e-17,2.7516896139828323e-17,1.8122913570576008e-25
-3.0,0.4000000000000003,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.750079406079523e-17,2.7500793257729316e-17,-8.030659142968628e-25
-3.0,0.5,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7484692162991273e-17,2.748469038398138e-17,-1.7790098917045656e-24
-3.0,0.5999999999999996,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7468586956464866e-17,2.746858750744975e-17,5.509848850990557e-25
-3.0,0.6999999999999993,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7452485058660908e-17,2.7452484625350744e-17,-4.333101649035672e-25
-3.0,0.8000000000000007,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.743638316085695e-17,2.743638174881912e-17,-1.4120378321490807e-24
-3.0,0.9000000000000004,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7420277954330544e-17,2.7420278861152735e-17,9.068221914662735e-25
-3.0,1.0,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7404177710887812e-17,2.740417599575587e-17,-1.7151319415340524e-24
-3.0,1.0999999999999996,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.738807415872263e-17,2.738807310808948e-17,-1.0506331491877294e-24
-3.0,1.1999999999999993,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7371968952196222e-17,2.7371970231557856e-17,1.2793616337788678e-24
-3.0,1.3000000000000005,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.735586870875349e-17,2.735586735502623e-17,-1.353727258572701e-24
-3.0,1.3010299956639813,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7355701618269754e-17,2.7355701491660016e-17,-1.2660973783103478e-25
-2.8,-1.0,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.717806789044644e-17,2.7178069971678798e-17,2.0812323560115868e-24
-2.8,-0.9000000000000005,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7160842681370637e-17,2.7160844878487406e-17,2.197116768708628e-24
-2.8,-0.8000000000000007,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7143617472294833e-17,2.7143619807565524e-17,2.335270690863691e-24
-2.8,-0.6999999999999995,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.712639226321903e-17,2.712639473664365e-17,2.473424622263218e-24
-2.8,-0.5999999999999998,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.710916870850445e-17,2.710916967685653e-17,9.683520817449568e-25
-2.8,-0.5000000000000001,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7091943499428645e-17,2.7091944605934655e-17,1.1065060100629959e-24
-2.8,-0.40000000000000047,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.707471829035284e-17,2.7074719546147536e-17,1.25579469465079e-24
-2.8,-0.3000000000000007,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7057494735638262e-17,2.705749448079304e-17,-2.548452224616048e-25
-2.8,-0.19999999999999923,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7040269526562458e-17,2.7040269415438537e-17,-1.111239206309201e-25
-2.8,-0.09999999999999964,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7023044317486653e-17,2.702304434451666e-17,2.7030007687118957e-26
-2.8,0.0,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.700581910841085e-17,2.7005819276378475e-17,1.6796762584296876e-25
-2.8,0.09999999999999964,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.698859224497382e-17,2.698859421102398e-17,1.9660501589426846e-24
-2.8,0.1999999999999993,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.6971367035898016e-17,2.6971369144408122e-17,2.108510106082288e-24
-2.8,0.3000000000000007,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.695414182682221e-17,2.695414407753129e-17,2.250709078929219e-24
-2.8,0.4000000000000003,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.6936916617746407e-17,2.6936919009393104e-17,2.391646697085069e-24
