task,model,rmse_target_mean,rmse_target_std,mae_target_mean,mae_target_std,r2_target_mean,r2_target_std,rmse_raw_mean,rmse_raw_std,mae_raw_mean,mae_raw_std,medape_percent_mean,medape_percent_std,p95ape_percent_mean,p95ape_percent_std,group_macro_rmse_target_mean,group_macro_rmse_target_std,group_macro_mae_target_mean,group_macro_mae_target_std,wall_time_s_mean,wall_time_s_std,param_count_mean,param_count_std
APD_I_dark,bkan,0.10713466382908185,0.019190698750198826,0.06794543321187312,0.00947468282626306,0.9919673514836491,0.0032144506787559314,3.0055947595578233e-07,1.1308453146035117e-07,4.964431905420746e-08,1.5335162697114637e-08,9.488292865860839,2.0394457259818073,54.24912034974528,10.326899232941111,0.1044643716997558,0.017299148738372027,0.06794543321187312,0.009474682826263058,175.31692728996276,3.2220516162265125,1664.0,0.0
APD_I_dark,dkan,0.12747844589574614,0.024346243087298585,0.09360050292626544,0.021786651401352226,0.9885801979490921,0.0045460902600536575,3.096788561026168e-07,7.931255620825447e-08,6.286256707184903e-08,1.2924331231362154e-08,15.707748698909825,4.655157854670186,61.89943503876435,15.057510343571616,0.12401488273155907,0.02337265386123609,0.09360050292626544,0.021786651401352233,5.508321269974113,0.155833382925006,952.0,0.0
APD_I_dark,mlp_l,0.27910774995646936,0.029258182704820376,0.21099020236833388,0.026450998910281177,0.9464438585357827,0.011036553511429664,5.652208228290922e-07,9.519912305986528e-08,1.3883021781362274e-07,1.8834655659884646e-08,42.81722891817974,6.627352644083248,105.45859659519574,21.03777069914118,0.2776733069708736,0.02926803665254716,0.21099020236833388,0.026450998910281177,1.2076711500296369,0.04592996361063902,2561.0,0.0
APD_I_dark,spline_ridge,0.14299279437795204,0.005946935785281668,0.10288791431966882,0.005389708226300191,0.9860667288672303,0.0012268586902103153,2.3063982910831484e-07,6.560604518654109e-08,5.47889227811335e-08,1.042725636736135e-08,17.017176451380813,1.4921042375184967,68.6521377129504,4.667619473225228,0.14118165363476284,0.00518349979367473,0.10288791431966882,0.005389708226300195,0.00515003998298198,0.001175983179457049,43.0,0.0
APD_I_dark,gmls,0.18782468669401015,0.02025245184645003,0.14018972472886732,0.017744904589106065,0.9757662559439494,0.005238444058746255,3.239259075784554e-07,5.9624056846436e-08,7.800227805756482e-08,1.3716907922236125e-08,24.245657808757503,5.023858329427564,85.91884025755296,14.531049764903408,0.1820168762886337,0.01823035327222902,0.14018972472886732,0.017744904589106054,0.17199535000108881,0.010583031673584146,28203.0,0.0
APD_I_dark,autopinn,0.1820417083985645,0.01726860435714519,0.12859826318447434,0.01261044358779702,0.9773062987647613,0.004051419650244245,4.791275882817529e-07,8.963358135471811e-08,1.0619752179505902e-07,1.8217491486178225e-08,20.948980703946646,2.2167082388160972,84.34989441151524,21.424862623484817,0.18046948595243678,0.01667863385187399,0.12859826318447432,0.012610443587797025,1.3641459100006614,0.15052370608431237,1058.6,345.1824638265005
APD_I_dark,curve_lut,0.13073628603191026,0.023723014768550692,0.10687651897796138,0.023608028445388896,0.9880618255529754,0.003954113231190685,2.3355658172786655e-07,6.318317983574305e-08,7.146713168496603e-08,1.6482255071517808e-08,21.59596296741604,6.70055569615223,63.374657625627336,14.643617893908068,0.11739516854849848,0.02280069617060284,0.10687651897796138,0.023608028445388896,0.03486823479998975,0.003814779821470724,4284.0,0.0
APD_I_photo,bkan,0.048363398971324134,0.009471757081323048,0.03153614630388309,0.004665816374486591,0.9964217647545025,0.001616425816032713,2.647606233255593e-07,4.7690540735941485e-08,4.645199722668269e-08,6.537820120285968e-09,5.0042251520417125,0.7675692210519767,20.800518411238738,2.8347087969206095,0.047301355899045994,0.008992937338520945,0.0315361463038831,0.004665816374486591,289.5555800099857,69.98275476774344,1872.0,0.0
APD_I_photo,dkan,0.08100873565177148,0.011925358335732134,0.054641562494955755,0.009314145757898797,0.9901233316680257,0.0030428230275831554,4.5410299387358603e-07,7.035110089959812e-08,8.321206273579534e-08,1.1748527832620122e-08,8.802360659281039,1.9836597776001559,34.86691110473814,6.684428474478553,0.07834444804071476,0.010070713381555137,0.054641562494955755,0.009314145757898799,4.526220169966109,1.2883232957149942,1088.0,0.0
APD_I_photo,mlp_l,0.25819196722718074,0.007464989376888823,0.19162511551390576,0.0056821242174422614,0.901659574334008,0.004983667362704683,8.598965146004737e-07,9.051387518845783e-08,2.2080488048073425e-07,1.831501540056273e-08,36.92036899048203,2.397265499800149,99.74405010345286,5.121700069158023,0.2578131639672988,0.007603288723970141,0.19162511551390576,0.005682124217442263,1.0066392299951985,0.30880102613713406,2625.0,0.0
APD_I_photo,spline_ridge,0.09821562458396141,0.008197298986529076,0.07158107045813913,0.005355572031250664,0.9857274544474794,0.002153140338608259,2.924300531795714e-07,6.153762411125523e-08,7.592920170073366e-08,1.0635073263408876e-08,12.263281421192053,0.8816197492177441,45.59267002849286,3.053938484706507,0.09605397427527737,0.006864791096680396,0.07158107045813913,0.005355572031250658,0.009155070013366639,0.002125687141523373,50.0,0.0
APD_I_photo,gmls,0.12242790412412455,0.011085464915803417,0.09283846678047367,0.008930193204195802,0.9777684626311085,0.003806658923819321,4.718703923394128e-07,7.10446552477805e-08,1.1107163198114394e-07,1.2387918495327242e-08,16.960913585595527,2.2682348759878406,54.25209065661841,4.671237915088213,0.11889503390629479,0.011130482216260845,0.09283846678047367,0.008930193204195793,0.4372736699981033,0.01814595505705882,65280.0,0.0
APD_I_photo,autopinn,0.17389442078757728,0.03612096139166191,0.11666773392554877,0.028112965824988057,0.9538956682706227,0.01861240639943302,7.58228316441376e-07,9.694040038408998e-08,1.7114652466921223e-07,2.7237332741614387e-08,19.704515091679006,6.034017574019448,68.44434072737823,11.466298967124184,0.1731244588075511,0.036074933379169484,0.11666773392554877,0.028112965824988057,1.7208761100002448,0.01991577250329256,1236.2,229.37053961754643
APD_I_photo,curve_lut,0.07584873987438347,0.008273510347428922,0.0591385598644499,0.006405482978036361,0.9914397158702867,0.0018285234747828446,2.5771567190651237e-07,6.770748196513368e-08,7.520784704959684e-08,1.4619647114452726e-08,10.951963588965771,1.6689822314542078,36.283179333532374,5.890706092382188,0.06830056187922873,0.006800807195985109,0.0591385598644499,0.006405482978036359,0.06258922059999464,0.00471369586099653,8772.0,0.0
APD_I_net,bkan,0.03746513399584608,0.006222226454025786,0.019289339246150446,0.0017177492126688554,0.9972028380484114,0.0009236099694430941,1.2583930138084219e-07,3.237232097279562e-08,1.7560725459467056e-08,2.917400812262747e-09,2.2985566886476523,0.20972105220147205,15.05831074700644,1.8556512813443133,0.03629922714796781,0.005586715330893089,0.019289339246150446,0.001717749212668857,297.3008947300026,52.09118157802551,1872.0,0.0
APD_I_net,dkan,0.06825607368214934,0.009435241654797895,0.04056384194360682,0.008051195475531844,0.9907690641347571,0.0025893686639129744,1.9569384458973043e-07,2.0930729198389602e-08,3.0805714554501833e-08,4.507541287925926e-09,5.83128778329151,1.7578930669983588,27.90149539588348,5.516572645375606,0.06651869956804432,0.008800317450848938,0.04056384194360682,0.008051195475531842,4.7246475599939,1.0483161090534152,1088.0,0.0
APD_I_net,mlp_l,0.26560415026098594,0.008747645976548217,0.2003447571000093,0.006647500258139481,0.8626621378476974,0.008498551339449623,3.603408142410135e-07,8.037592857246731e-09,8.994729036111817e-08,1.5818887306463508e-09,42.4452193637523,1.0706432706105657,85.57685230819179,2.5691969805297994,0.265457806487183,0.008774375489870421,0.2003447571000093,0.006647500258139475,1.0342548200162127,0.23333708397984773,2625.0,0.0
APD_I_net,spline_ridge,0.04955321550688008,0.006364533191943059,0.03361535276933304,0.003593957715636717,0.9951623371416162,0.0011815475933423013,9.955498603276172e-08,8.884708976612073e-09,1.879111742382597e-08,1.3204836973435867e-09,5.36936322287174,0.795724893128934,24.00305618227408,3.0860229807511,0.04689446380858027,0.005169801557727788,0.03361535276933304,0.0035939577156367144,0.009382120030932129,0.0008931498651055327,50.0,0.0
APD_I_net,gmls,0.10897322710713538,0.008879375346084113,0.06861502382297797,0.006050037219966853,0.9767901631149896,0.0035543822781261116,1.8910555274938658e-07,1.2309837570850835e-08,3.6165498479630414e-08,1.827623363818669e-09,8.874585244482063,1.0797595864976466,44.84681148678749,2.1117347312759285,0.10551743739935257,0.009300175057289617,0.06861502382297797,0.0060500372199668575,0.4339050000009593,0.015128194005442986,65280.0,0.0
APD_I_net,autopinn,0.1937905515188047,0.04753260870115942,0.13265029705160697,0.03983530026699034,0.9232665502182632,0.03519416743197597,3.360526891249157e-07,2.2693162655425024e-08,7.380455491410227e-08,1.008604153326334e-08,24.20198179188775,9.534621263012651,69.70144325172808,13.341788505136309,0.19340888657045133,0.04757509100480798,0.13265029705160697,0.039835300266990344,1.7208638600015547,0.020212863426526766,1181.8,262.7769649975685
APD_I_net,curve_lut,0.039101062849647206,0.010801729940360919,0.020080161317458337,0.005777138874079306,0.9968286876790853,0.0016491467077769622,6.9095351027829e-08,1.6512651988288187e-08,1.0996363411910792e-08,2.4773315342712883e-09,1.688689454150876,0.4758185850147321,20.165155285639223,6.727590578264121,0.033161596912269393,0.008227483578417813,0.020080161317458337,0.0057771388740793074,0.061906066199998125,0.006229900880370341,8772.0,0.0
APD_M,bkan,0.03780316404657918,0.00887841206972121,0.018555907478011537,0.0028669907107940953,0.9967107733607994,0.0015555986779473793,1.5312497162980985,0.41146297571413565,0.23999291119869456,0.04964377697876662,1.956982983081711,0.287163819380158,15.662259700812081,2.4041538217214855,0.036424191299097755,0.008144970809070375,0.018555907478011537,0.002866990710794096,302.1905807199655,39.122715133231296,1872.0,0.0
APD_M,dkan,0.0610975643015483,0.013344611668079516,0.036091630211934185,0.01097643455336942,0.9914567403917183,0.003785271851227593,2.0443031028117287,0.28896558707362513,0.35585424708047697,0.05953158348560243,5.203267690994176,2.0216577874802057,24.37400453178808,7.457292204539123,0.059543692095864964,0.012943807399373801,0.036091630211934185,0.010976434553369422,4.953787389956415,0.6685063598755034,1088.0,0.0
APD_M,mlp_l,0.2616296988319456,0.013047090966627792,0.19732704451490446,0.010271320618910415,0.8498427895295352,0.013595633958377037,4.438841309988549,0.19318066727142988,1.248574010514637,0.043081529998106806,42.15765585005848,1.9277933393900197,84.9215131180375,3.9462718063179274,0.26149076830969814,0.013079964670228377,0.19732704451490446,0.010271320618910415,1.0923021799651906,0.16322684702565446,2625.0,0.0
APD_M,spline_ridge,0.049459223104580875,0.006524802178666127,0.0333818140010112,0.0038353163481257297,0.9945715185008301,0.0013579491344569267,1.2853830118039098,0.1941004890094161,0.2633236477866404,0.025163426596090062,5.233961834527582,0.8626083790727451,24.12806244346735,3.3067140229454526,0.04681165440240565,0.005324513185354312,0.0333818140010112,0.003835316348125729,0.009599620057269932,0.00116186202689607,50.0,0.0
APD_M,gmls,0.10852883232468795,0.008802871292468806,0.06817147653041128,0.0059224470541991946,0.9740856357356362,0.003943737514071167,2.3245355464366604,0.20614468893372173,0.49539379973212583,0.029312353895184648,8.867228298097292,1.0639270173182551,44.813891969528626,2.3687910338903477,0.10506665976899816,0.009209674297457683,0.06817147653041128,0.005922447054199195,0.4350575500022387,0.013686275939020658,65280.0,0.0
APD_M,autopinn,0.19738783592926623,0.05009859251798925,0.13591413579999803,0.04024074286959094,0.9103444318015924,0.04355154385278053,4.077126551863165,0.4947595385739097,1.0128949066855248,0.1831571656919622,25.174528406051827,9.038401064938135,71.43769569416457,15.689588977359966,0.19709740113819418,0.050022043815167505,0.13591413579999803,0.04024074286959094,1.711558860001969,0.015438283410015363,1127.4,280.9203920449113
APD_M,curve_lut,0.03285005546882699,0.009541690165210477,0.015595983699431604,0.003557145422148998,0.997465707535833,0.0014810310687859572,0.9930467495974513,0.28116961242866306,0.13938214835623136,0.030349306349584815,1.131492882577144,0.1419607726682553,17.32543364126928,5.679115156832194,0.028529393923922196,0.00698592667201047,0.0155959836994316,0.0035571454221489988,0.06002219900000796,0.0023160425598035966,8772.0,0.0
APD_V_M10,bkan,0.02104211997166145,0.004805493008331866,0.017345781640013446,0.003909044761188931,-0.18609985227005238,0.28594588226333595,0.02104211997166145,0.004805493008331866,0.017345781640013446,0.003909044761188931,0.16216782856882542,0.03737477518130463,0.3998209850531401,0.1087790635399451,0.018675791735817293,0.004094842839493197,0.017502246698623557,0.003950955361189265,3.9692991899559273,2.2355026049916837,1664.0,0.0
APD_V_M10,dkan,0.031683522259825674,0.023536528542200272,0.02373403351828497,0.012000035488592563,-3.305003964738934,8.527835761741338,0.031683522259825674,0.023536528542200272,0.02373403351828497,0.012000035488592563,0.20242658067989563,0.06362299674374755,0.6134500186502565,0.5242478400842676,0.025372040829741833,0.012955347295385083,0.023913610476588874,0.011924705749119418,4.274998779944144,0.06306247594125484,952.0,0.0
APD_V_M10,mlp_l,0.03879207397151019,0.009717820531250733,0.030835487725149647,0.007318972934030174,-3.7297967934055274,2.8235309794099157,0.03879207397151019,0.009717820531250733,0.030835487725149647,0.007318972934030174,0.28775678112313074,0.093430745205194,0.7500973516890147,0.21988121035932315,0.03272371811660882,0.007520278744537164,0.030891590725290963,0.00736115251909176,0.9161821599816904,0.029715317638184618,2561.0,0.0
APD_V_M10,spline_ridge,0.05039417691435455,0.011939839876519077,0.039745755118356305,0.00886820259985976,-6.945360813778583,5.243089191735657,0.05039417691435455,0.011939839876519077,0.039745755118356305,0.00886820259985976,0.35182295759806903,0.10632969290209092,1.0018367165506599,0.38177081721683803,0.040920797091257545,0.008717670262344705,0.039949879090892294,0.008674021099572757,0.0020071400329470636,0.0003440113441574764,43.0,0.0
